model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.898008406162262,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,0.5629919648170472,0.2880270779132843,1.2546948194503784,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,3,0.4785962402820587,0.2604787349700928,0.9928949475288391,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,4,0.602013111114502,0.29878565669059753,1.3569368124008179,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,5,0.494783490896225,0.2775179445743561,1.1548235416412354,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4503,8c63b2397fed,6,0.5537841796875,0.45511114597320557,2.842543601989746,0.0,0.7142857313156128,0.0,1
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,319,c185ddac8b5a,7,0.5802664041519165,0.5281000137329102,3.5361781120300293,0.0,0.2857142984867096,0.0,1
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4838,53dd4fb611bb,8,0.5614772915840149,0.4782467484474182,3.062407970428467,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,1652,ebcee30ccff3,9,0.5142558991909028,0.42854005098342896,2.5900306701660156,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-albert-small-v2,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4813,2bd4f6ae2127,10,0.48802520632743834,0.37085360288619995,2.0418193340301514,0.0,0.8571428656578064,0.0,1
