model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9637227058410645,0.49665042757987976,3.2373032569885254,0.1666666716337204,0.4285714328289032,1.0,0
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,0.5693414688110352,0.2880270779132843,1.2546948194503784,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,3,0.4670856297016144,0.2604787349700928,0.9928949475288391,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,789,0185cf91ab80,4,0.44339194893836975,0.2080802172422409,0.4949365556240082,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1844,3e122c78f945,5,0.4292111873626709,0.38713961839675903,2.1965901851654053,0.0,0.5714285969734192,0.0,1
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,6,0.5141039490699768,0.18013885617256165,0.22940166294574738,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3229,095a703ccc5d,7,0.4529322266578674,0.41511663794517517,2.462463855743408,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2198,d24136be4b15,8,0.48327288031578064,0.2775179445743561,1.1548235416412354,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3651,1efe61d0a58c,9,0.4402161717414856,0.40173131227493286,2.335259199142456,0.0,0.4285714328289032,0.0,1
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,10,0.42709222435951233,0.2183804214000702,0.5928223729133606,0.0,0.7142857313156128,0.45632249116897583,0
