q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.920811891555786,0.2222222238779068,0.09116076173031373,1.0,1,1.7764395088537097,191,a9be4c9c15a1,0.8656420707702637,0.7243326306343079,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,0.7915260067131006,3,33b4e36b0d81,0.8680416345596313,0.8285967707633972,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.8301248624726497,103,6680fc36f234,0.8678971529006958,0.8223188519477844,0.1111111119389534,0.0,0.42020984140568113,0,0.7209270606763482,115,830e9df61ddd,0.8631854057312012,0.6175873279571533,0.125,0.11157175065711056,0.48843550658302737,0,0.7167710817564584,54,00ee16f445cd,0.8762550354003906,1.1854796409606934,0.1111111119389534,0.0,0.2913848927649772,1,0.7811899038874149,61,dc17b84d2d6b,0.9011738300323486,2.26823353767395,0.0,0.0,0.0,1,0.8025279062986374,151,506120811a05,0.8721280694007874,1.006157636642456,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.6792892829789566,119,b729f6985724,0.8484538793563843,-0.022516582161188126,0.1111111119389534,0.0,0.42020984140568113,0,0.5570589798517346,100,6002eddcd7d0,0.8833179473876953,1.4923723936080933,0.125,0.11157175065711056,0.31816080182986706,0,0.7667974105772831
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.7793960571289062,0.5,0.0,1.0,1,1.730000025331974,77,9b108680399f,0.9679151177406311,1.2692512273788452,0.5,0.0,1.0,1,1.5971371072530747,30,c6a87cc5d35e,0.9773536324501038,1.5991195440292358,0.20000000298023224,0.0,0.4185432430857448,1,1.3330634418852947,35,e19513a85bed,0.9666408896446228,1.2247179746627808,0.20000000298023224,0.0,0.4185432430857448,1,1.2293952289946697,118,eb485b5cf6a6,0.9752962589263916,1.5272160768508911,0.0,0.0,0.0,1,1.0574084091186524,15,c5e6a1a8c44d,0.9499849081039429,0.6426050662994385,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,1.0314961448390259,57,c1933354ef21,0.9737752079963684,1.474056601524353,0.0,0.0,0.0,1,1.0421061235666276,79,5b935f6121b7,0.9702692031860352,1.3515245914459229,0.0,0.0,0.0,1,1.0068344640731812,31,53acfaed8c01,0.9695610404014587,1.3267748355865479,0.0,0.20273247072078354,0.0,1,0.9794369122296794,200,9ff41f315fd5,0.96819007396698,1.2788606882095337,0.0,0.0,0.0,1,0.9859177190065384
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4,9fc64a999e12,0.8468748331069946,1.9563050270080566,0.06666667014360428,0.12565719826743915,0.2530296612542252,1,1.1875481624102302,66,196087c93944,0.8210670351982117,1.3691397905349731,0.0625,0.05889151088374822,0.3711060210039858,1,1.1079067189355365,154,17f9d29c543d,0.8246914744377136,1.4516011476516724,0.06666667014360428,0.12565719826743915,0.2530296612542252,1,1.0417726356482215,29,ef7349785e11,0.725237250328064,-0.8111279606819153,0.1818181872367859,0.4054650386637325,0.860558325794011,0,0.7023174813568691,73,a40c650a049f,0.8611295819282532,2.280621290206909,0.0,0.12565719826743915,0.0,1,1.1174343069953463,62,c6d9ce80244c,0.8418183922767639,1.8412635326385498,0.06666667014360428,0.12565719826743915,0.25792930770211675,0,1.0777500837984948,113,322cdff981bb,0.8487023115158081,1.9978828430175781,0.0,0.20273252627630822,0.0,1,1.0270119483258529,28,ce1178bafa1d,0.8503251075744629,2.034803867340088,0.0,0.12565719826743915,0.0,1,1.0455206772250674,32,85a88cfd39f0,0.8340734243392944,1.665054202079773,0.0,0.20273252627630822,0.0,1,0.9296433503415388,183,ff9c96c6d776,0.8158715963363647,1.2509360313415527,0.0714285746216774,0.20273252627630822,0.272671233132407,1,0.9891761073063489
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.4717397689819336,0.0833333358168602,0.07707532800886907,0.485764528545711,1,1.445660998329945,145,7809c19536e4,0.9031169414520264,0.9902660250663757,0.27272728085517883,0.0,1.0,1,1.3965373995900154,44,2d4009710863,0.9178847074508667,1.596004843711853,0.20000000298023224,0.1682360897391828,0.5983085886151066,1,1.2647324819231383,163,3ac212a9f7c3,0.9250744581222534,1.8909114599227905,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,1.2308387080156766,61,dc17b84d2d6b,0.9246058464050293,1.8716901540756226,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,1.135404899661349,191,a9be4c9c15a1,0.9062695503234863,1.1195785999298096,0.1538461595773697,0.06676568738369093,0.4355340937421637,1,1.0433248871797982,63,50171927f859,0.9330109357833862,2.216447114944458,0.0,0.0,0.0,1,1.0611258167028428,102,f2c8cd5b27ab,0.8967130184173584,0.7275922298431396,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,0.9224269682490787,214,fc824bfe7bf0,0.9018871784210205,0.9398240447044373,0.09090909361839294,0.1682360897391828,0.33780099145550035,1,0.9253235070353265,98,207462e43a8e,0.904608428478241,1.051443338394165,0.07692307978868484,0.0,0.2439304707225717,1,0.9078059922102679
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.548413038253784,0.1666666716337204,0.0,1.0,1,1.7966666954755783,199,0d99df7b9f80,0.8629135489463806,0.6082332730293274,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.2074490062601901,116,1cf7420e0aac,0.8921663761138916,1.478380799293518,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,1.156595831392869,183,ff9c96c6d776,0.9021545052528381,1.7754852771759033,0.0833333358168602,0.07707532800886907,0.26970467609811594,1,1.0944868393151834,113,322cdff981bb,0.881372332572937,1.157303810119629,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,1.010725225861961,154,17f9d29c543d,0.8382570743560791,-0.12519226968288422,0.1666666716337204,0.0,0.6014932466855267,1,0.837288227857891,196,0f2541e582f8,0.9135481119155884,2.114396810531616,0.0,0.07707532800886907,0.0,1,1.0082152835948728,28,ce1178bafa1d,0.901413083076477,1.7534312009811401,0.0,0.0,0.0,1,0.9210463482141494,73,a40c650a049f,0.8963234424591064,1.6020358800888062,0.0,0.0,0.0,1,0.8812534826993942,186,4c7ceb754866,0.8776192665100098,1.045665979385376,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9115326328753754
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.9011721611022949,1.9385337829589844,0.1666666716337204,0.14384099455923594,1.0,1,1.433333178547769,127,3d77dabe7560,0.9491155743598938,3.578537702560425,0.1428571492433548,0.0,0.46335877870863124,1,1.4257797450496934,155,f6d7dbe3f71e,0.9061822295188904,2.1099135875701904,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.1269706341601449,70,d5bb4574fc4d,0.8310227394104004,-0.4610729217529297,0.125,0.11157175065711056,0.4243632379262217,1,0.5243296776012231,21,c9b70de179fe,0.9039748311042786,2.034404993057251,0.0,0.0,0.0,1,0.7906772661209106,181,49ccfbfcfc0a,0.8986497521400452,1.8522495031356812,0.0,0.0,0.0,1,0.7506487238407135,206,c32f9f13a109,0.8941020965576172,1.6966875791549683,0.0,0.11157175065711056,0.0,1,0.7053068023307771,148,253c9a1feb09,0.8540544509887695,0.32677462697029114,0.125,0.11157175065711056,0.4243632379262217,0,0.6133368280575324,59,da6e8742f6bf,0.89656001329422,1.7807656526565552,0.0,0.0,0.0,1,0.734940202832222,180,893bb3cbc01a,0.8759806752204895,1.076806664466858,0.0,0.11157175065711056,0.0,1,0.569088202355668
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9234888553619385,0.375,0.09116076173031373,1.0,1,1.7458839476688266,157,018f6a0e7f9a,0.8878378868103027,2.812814235687256,0.1538461595773697,0.20273252627630822,0.4653176280529234,1,1.3778653645372247,66,196087c93944,0.8739868402481079,2.317087173461914,0.0,0.14384101539256,0.0,1,0.9642600775665027,126,ebdb003908ef,0.8218483924865723,0.45105913281440735,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.840821862420767,28,ce1178bafa1d,0.8519936800003052,1.5299549102783203,0.0,0.07707532800886907,0.0,1,0.7744710795505306,213,f1b4c19341de,0.8246273994445801,0.5505194067955017,0.0,0.0,0.0,1,0.5377148258686065,116,1cf7420e0aac,0.8384153246879578,1.0439873933792114,0.0,0.0,0.0,1,0.6608827877044677,192,8562bf3caec4,0.8575725555419922,1.7296221256256104,0.0,0.09116076173031373,0.0,0,0.742898799238956,70,d5bb4574fc4d,0.8496978282928467,1.4477866888046265,0.0,0.09116076173031373,0.0,1,0.7525536805971026,60,90e3d91fbf4d,0.8567813038825989,1.701303243637085,0.0,0.0,0.0,0,0.744946613907814
7,bfcc3cdee21d,devise research or testing protocols,188,be19a52818cf,0.931056797504425,1.3446388244628906,0.125,0.11157175065711056,1.0,1,1.5141086366160363,197,3a46124701c0,0.9454963207244873,2.1246843338012695,0.0,0.0,0.0,1,1.0526820141077042,49,824d3015533f,0.9508320093154907,2.41292667388916,0.0,0.11157175065711056,0.0,1,1.118842851756379,141,dbc0d59bd942,0.9103766083717346,0.22746270895004272,0.125,0.11157175065711056,0.666730880547555,1,0.9882844413366509,87,bd28ef3a0af3,0.9362006187438965,1.6225160360336304,0.0,0.0,0.0,1,0.9179806578159332,48,23ca56c5d573,0.9379435777664185,1.7166733741760254,0.0,0.0,0.0,1,0.9432373362779617,67,3574e4789085,0.9353547692298889,1.5768219232559204,0.0,0.11157175065711056,0.0,1,0.8945664879067392,9,3cdbc3929112,0.9371958374977112,1.6762793064117432,0.0,0.0,0.0,1,0.9324021208286285,144,7a053b14e6ec,0.9366430044174194,1.6464143991470337,0.0,0.0,0.0,1,0.9243911075592041,59,da6e8742f6bf,0.8965562582015991,-0.5191341638565063,0.1428571492433548,0.0,0.7279980425438168,1,0.8459337951323009
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.3216731548309326,0.1428571492433548,0.25541277854966626,0.9517409927963266,1,1.7421060170561136,196,0f2541e582f8,0.8514794111251831,2.0114448070526123,0.06666667014360428,0.25541277854966626,0.5307918967805789,0,1.2937173501758243,163,3ac212a9f7c3,0.8529791235923767,2.0706610679626465,0.0714285746216774,0.34657354027998,0.47465136373451294,0,1.2613977940876335,56,269bfa3db5c6,0.8533832430839539,2.086617946624756,0.0714285746216774,0.34657354027998,0.525348636265487,0,1.3014575015089431,72,91e3b64a6f04,0.8210703730583191,0.8107413053512573,0.0625,0.1783374505407972,0.5779808570257332,0,0.9906232690613783,22,bab0b2935945,0.8226231336593628,0.8720521926879883,0.13333334028720856,0.1783374505407972,0.7705082336308209,0,1.1345024587464745,133,70f88532846f,0.8477686047554016,1.864923357963562,0.0,0.25541277854966626,0.0,1,0.971794575125647,191,a9be4c9c15a1,0.8411663770675659,1.6042338609695435,0.05882352963089943,0.11157176315710626,0.29928663482705686,0,1.0305315080813109,134,469df54e4928,0.8334624171257019,1.3000422716140747,0.0,0.05268025227335804,0.0,1,0.8279966999809466,71,1cb040da80f9,0.8339754343032837,1.3202987909317017,0.0,0.1783374505407972,0.0,0,0.7413144801341756
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.1837079524993896,0.3333333432674408,0.0,1.0,1,1.7633333492279053,49,824d3015533f,0.9270074367523193,1.6428723335266113,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.534948987875521,59,da6e8742f6bf,0.9369021058082581,2.0194754600524902,0.1428571492433548,0.0,0.5091386755288673,1,1.4115716191119674,10,365ec2897755,0.9170449376106262,1.2636876106262207,0.125,0.11157175065711056,0.4945492360194517,1,1.1800090219203279,195,6b483cafcca2,0.9023965001106262,0.7061503529548645,0.1428571492433548,0.0,0.5399943009509689,1,1.0632888822601072,7,bfcc3cdee21d,0.9371958374977112,2.0306551456451416,0.0,0.0,0.0,1,1.0856888908147813,135,4055e1544ee0,0.9300020337104797,1.7568503618240356,0.0,0.14384099455923594,0.0,1,0.9920339963711791,197,3a46124701c0,0.9257937669754028,1.596678614616394,0.0,0.0,0.0,1,0.960045935511589,182,8729852fc4b8,0.8655663132667542,-0.695651113986969,0.25,0.2027325123874243,0.8447488584474884,1,0.8571279423501613,74,318da22b73fb,0.9230011701583862,1.4903889894485474,0.0,0.0,0.0,1,0.9292733985185623
