q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.920811891555786,0.2222222238779068,0.09116076173031373,1.0,1,1.5275505865199923,61,dc17b84d2d6b,0.9011738300323486,2.26823353767395,0.0,0.0,0.0,1,0.8769339424371719,191,a9be4c9c15a1,0.8656420707702637,0.7243326306343079,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,0.7285392453290732,55,4805101e52c6,0.8877776861190796,1.686153769493103,0.0,0.0,0.0,1,0.7560974386334419,3,33b4e36b0d81,0.8680416345596313,0.8285967707633972,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,0.7619337742930344,54,00ee16f445cd,0.8762550354003906,1.1854796409606934,0.1111111119389534,0.0,0.2913848927649772,1,0.7460819613795996,103,6680fc36f234,0.8678971529006958,0.8223188519477844,0.1111111119389534,0.0,0.42020984140568113,0,0.5969227892819702,100,6002eddcd7d0,0.8833179473876953,1.4923723936080933,0.125,0.11157175065711056,0.31816080182986706,0,0.6859116948982631,102,f2c8cd5b27ab,0.8745931386947632,1.1132681369781494,0.0,0.0,0.0,1,0.6371695426106453,44,2d4009710863,0.8774192929267883,1.2360681295394897,0.1111111119389534,0.0,0.2913848927649772,0,0.6364247456055403
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.7793960571289062,0.5,0.0,1.0,1,1.4949999910593035,77,9b108680399f,0.9679151177406311,1.2692512273788452,0.5,0.0,1.0,1,1.3516478922963144,30,c6a87cc5d35e,0.9773536324501038,1.5991195440292358,0.20000000298023224,0.0,0.4185432430857448,1,1.283607940858991,35,e19513a85bed,0.9666408896446228,1.2247179746627808,0.20000000298023224,0.0,0.4185432430857448,1,1.173781241959722,118,eb485b5cf6a6,0.9752962589263916,1.5272160768508911,0.0,0.0,0.0,1,1.1439516347646714,57,c1933354ef21,0.9737752079963684,1.474056601524353,0.0,0.0,0.0,1,1.1279206973314286,79,5b935f6121b7,0.9702692031860352,1.3515245914459229,0.0,0.0,0.0,1,1.0909694385528566,31,53acfaed8c01,0.9695610404014587,1.3267748355865479,0.0,0.20273247072078354,0.0,1,1.0632326021701322,200,9ff41f315fd5,0.96819007396698,1.2788606882095337,0.0,0.0,0.0,1,1.0690566849708558,85,e9ceea91a9c3,0.9637342691421509,1.1231340169906616,0.0,0.0,0.0,1,1.0220950943231584
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",73,a40c650a049f,0.8611295819282532,2.280621290206909,0.0,0.12565719826743915,0.0,1,1.2074342742127917,113,322cdff981bb,0.8487023115158081,1.9978828430175781,0.0,0.20273252627630822,0.0,1,1.113073136308412,4,9fc64a999e12,0.8468748331069946,1.9563050270080566,0.06666667014360428,0.12565719826743915,0.2530296612542252,1,1.1875018938014135,28,ce1178bafa1d,0.8503251075744629,2.034803867340088,0.0,0.12565719826743915,0.0,1,1.132096163885071,154,17f9d29c543d,0.8246914744377136,1.4516011476516724,0.06666667014360428,0.12565719826743915,0.2530296612542252,1,1.0342266126105413,66,196087c93944,0.8210670351982117,1.3691397905349731,0.0625,0.05889151088374822,0.3711060210039858,1,1.0576532060374761,32,85a88cfd39f0,0.8340734243392944,1.665054202079773,0.0,0.20273252627630822,0.0,1,1.011067900457601,62,c6d9ce80244c,0.8418183922767639,1.8412635326385498,0.06666667014360428,0.12565719826743915,0.25792930770211675,0,1.0342794255666936,183,ff9c96c6d776,0.8158715963363647,1.2509360313415527,0.0714285746216774,0.20273252627630822,0.272671233132407,1,0.9719435508835752,142,c71cb5036aef,0.8327152729034424,1.6341543197631836,0.0,0.12565719826743915,0.0,1,1.0093052088779948
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.4717397689819336,0.0833333358168602,0.07707532800886907,0.485764528545711,1,1.3698100432494154,163,3ac212a9f7c3,0.9250744581222534,1.8909114599227905,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,1.172329130884557,145,7809c19536e4,0.9031169414520264,0.9902660250663757,0.27272728085517883,0.0,1.0,1,1.1259507325291636,44,2d4009710863,0.9178847074508667,1.596004843711853,0.20000000298023224,0.1682360897391828,0.5983085886151066,1,1.1418238474364761,63,50171927f859,0.9330109357833862,2.216447114944458,0.0,0.0,0.0,1,1.1478460681438447,61,dc17b84d2d6b,0.9246058464050293,1.8716901540756226,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,1.1217949014133755,191,a9be4c9c15a1,0.9062695503234863,1.1195785999298096,0.1538461595773697,0.06676568738369093,0.4355340937421637,1,0.9685366768994521,98,207462e43a8e,0.904608428478241,1.051443338394165,0.07692307978868484,0.0,0.2439304707225717,1,0.8966264211358422,214,fc824bfe7bf0,0.9018871784210205,0.9398240447044373,0.09090909361839294,0.1682360897391828,0.33780099145550035,1,0.8801690887139507,102,f2c8cd5b27ab,0.8967130184173584,0.7275922298431396,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,0.8476136953796437
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.548413038253784,0.1666666716337204,0.0,1.0,1,1.5449999880790712,116,1cf7420e0aac,0.8921663761138916,1.478380799293518,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,1.072376652221387,183,ff9c96c6d776,0.9021545052528381,1.7754852771759033,0.0833333358168602,0.07707532800886907,0.26970467609811594,1,1.0837765329992939,199,0d99df7b9f80,0.8629135489463806,0.6082332730293274,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,0.9709320524151622,196,0f2541e582f8,0.9135481119155884,2.114396810531616,0.0,0.07707532800886907,0.0,1,1.0927830026967786,28,ce1178bafa1d,0.901413083076477,1.7534312009811401,0.0,0.0,0.0,1,1.0010961097478868,113,322cdff981bb,0.881372332572937,1.157303810119629,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,0.9535615272315544,62,c6d9ce80244c,0.9012966752052307,1.7499685287475586,0.0,0.0,0.0,1,1.0001426514983178,73,a40c650a049f,0.8963234424591064,1.6020358800888062,0.0,0.0,0.0,1,0.9594083604216576,53,a68e486bae8e,0.8940012454986572,1.5329604148864746,0.0,0.07707532800886907,0.0,1,0.9326803894264958
5,abdac161e57b,design medical devices or appliances,127,3d77dabe7560,0.9491155743598938,3.578537702560425,0.1428571492433548,0.0,0.46335877870863124,1,1.3607469964362275,162,957f012e4031,0.9011721611022949,1.9385337829589844,0.1666666716337204,0.14384099455923594,1.0,1,1.1616447643317276,155,f6d7dbe3f71e,0.9061822295188904,2.1099135875701904,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.0287883258290356,21,c9b70de179fe,0.9039748311042786,2.034404993057251,0.0,0.0,0.0,1,0.864519017636776,206,c32f9f13a109,0.8941020965576172,1.6966875791549683,0.0,0.11157175065711056,0.0,1,0.7756145944579096,181,49ccfbfcfc0a,0.8986497521400452,1.8522495031356812,0.0,0.0,0.0,1,0.8225843933224678,59,da6e8742f6bf,0.89656001329422,1.7807656526565552,0.0,0.0,0.0,1,0.8061277669668198,110,d9dbdf9d5d1a,0.8926516175270081,1.6470708847045898,0.0,0.0,0.0,1,0.7753493589162826,180,893bb3cbc01a,0.8759806752204895,1.076806664466858,0.0,0.11157175065711056,0.0,1,0.6329094072564097,138,ef5aeb4ce41e,0.8636296987533569,0.6543158292770386,0.0,0.14384099455923594,0.0,1,0.5324191951133304
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9234888553619385,0.375,0.09116076173031373,1.0,1,1.5046339119060397,157,018f6a0e7f9a,0.8878378868103027,2.812814235687256,0.1538461595773697,0.20273252627630822,0.4653176280529234,1,1.311178636890752,66,196087c93944,0.8739868402481079,2.317087173461914,0.0,0.14384101539256,0.0,1,1.0470526213353855,28,ce1178bafa1d,0.8519936800003052,1.5299549102783203,0.0,0.07707532800886907,0.0,1,0.8479081527812741,161,f1f35b083d3a,0.8477932214736938,1.3796210289001465,0.0,0.09116076173031373,0.0,1,0.8071899512989879,70,d5bb4574fc4d,0.8496978282928467,1.4477866888046265,0.0,0.09116076173031373,0.0,1,0.8250141242726207,192,8562bf3caec4,0.8575725555419922,1.7296221256256104,0.0,0.09116076173031373,0.0,0,0.7787090388520121,126,ebdb003908ef,0.8218483924865723,0.45105913281440735,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.648330762962344,60,90e3d91fbf4d,0.8567813038825989,1.701303243637085,0.0,0.0,0.0,0,0.780420258641243,116,1cf7420e0aac,0.8384153246879578,1.0439873933792114,0.0,0.0,0.0,1,0.728543872833252
7,bfcc3cdee21d,devise research or testing protocols,188,be19a52818cf,0.931056797504425,1.3446388244628906,0.125,0.11157175065711056,1.0,1,1.2450073545558902,49,824d3015533f,0.9508320093154907,2.41292667388916,0.0,0.11157175065711056,0.0,1,1.2088428189738245,197,3a46124701c0,0.9454963207244873,2.1246843338012695,0.0,0.0,0.0,1,1.1390002322196962,48,23ca56c5d573,0.9379435777664185,1.7166733741760254,0.0,0.0,0.0,1,1.024343903064728,87,bd28ef3a0af3,0.9362006187438965,1.6225160360336304,0.0,0.0,0.0,1,0.9978844550251961,9,3cdbc3929112,0.9371958374977112,1.6762793064117432,0.0,0.0,0.0,1,1.0129926529526712,67,3574e4789085,0.9353547692298889,1.5768219232559204,0.0,0.11157175065711056,0.0,1,0.9738866587861033,144,7a053b14e6ec,0.9366430044174194,1.6464143991470337,0.0,0.0,0.0,1,1.0046001848578454,141,dbc0d59bd942,0.9103766083717346,0.22746270895004272,0.125,0.11157175065711056,0.666730880547555,1,0.8197735664462171,78,98d9410b9c2c,0.9240902662277222,0.9682959318161011,0.0,0.0,0.0,1,0.8140401643514633
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.3216731548309326,0.1428571492433548,0.25541277854966626,0.9517409927963266,1,1.506139493511954,196,0f2541e582f8,0.8514794111251831,2.0114448070526123,0.06666667014360428,0.25541277854966626,0.5307918967805789,0,1.156696696321924,163,3ac212a9f7c3,0.8529791235923767,2.0706610679626465,0.0714285746216774,0.34657354027998,0.47465136373451294,0,1.1451214727406371,56,269bfa3db5c6,0.8533832430839539,2.086617946624756,0.0714285746216774,0.34657354027998,0.525348636265487,0,1.1676735715007684,133,70f88532846f,0.8477686047554016,1.864923357963562,0.0,0.25541277854966626,0.0,1,1.0554771801537997,72,91e3b64a6f04,0.8210703730583191,0.8107413053512573,0.0625,0.1783374505407972,0.5779808570257332,1,0.9392510259690176,191,a9be4c9c15a1,0.8411663770675659,1.6042338609695435,0.05882352963089943,0.11157176315710626,0.29928663482705686,0,0.9682156771089773,134,469df54e4928,0.8334624171257019,1.3000422716140747,0.0,0.05268025227335804,0.0,1,0.9038663952271663,22,bab0b2935945,0.8226231336593628,0.8720521926879883,0.13333334028720856,0.1783374505407972,0.7705082336308209,0,0.898768095971926,71,1cb040da80f9,0.8339754343032837,1.3202987909317017,0.0,0.1783374505407972,0.0,0,0.7774644066178067
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.1837079524993896,0.3333333432674408,0.0,1.0,1,1.5199999895691874,59,da6e8742f6bf,0.9369021058082581,2.0194754600524902,0.1428571492433548,0.0,0.5091386755288673,1,1.3279282976183655,49,824d3015533f,0.9270074367523193,1.6428723335266113,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.318994144128017,7,bfcc3cdee21d,0.9371958374977112,2.0306551456451416,0.0,0.0,0.0,1,1.173578794002533,135,4055e1544ee0,0.9300020337104797,1.7568503618240356,0.0,0.14384099455923594,0.0,1,1.076149107602983,10,365ec2897755,0.9170449376106262,1.2636876106262207,0.125,0.11157175065711056,0.4945492360194517,1,1.0888974805676588,197,3a46124701c0,0.9257937669754028,1.596678614616394,0.0,0.0,0.0,1,1.0419528287649156,74,318da22b73fb,0.9230011701583862,1.4903889894485474,0.0,0.0,0.0,1,1.0097150158882142,195,6b483cafcca2,0.9023965001106262,0.7061503529548645,0.1428571492433548,0.0,0.5399943009509689,1,0.948153393211257,141,dbc0d59bd942,0.9200794696807861,1.3791855573654175,0.0,0.11157175065711056,0.0,1,0.9648295616491289
