q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.920811891555786,0.2567567527294159,0.09116076173031373,1.0,1,1.7484149599365175,191,a9be4c9c15a1,0.8656420707702637,0.7243326306343079,0.2164948433637619,0.23500177712287373,0.5898036247287963,0,0.7726299483797585,3,33b4e36b0d81,0.8680416345596313,0.8285967707633972,0.28378379344940186,0.1682360897391828,0.6090768487392924,0,0.8004763737506616,61,dc17b84d2d6b,0.9011738300323486,2.26823353767395,0.0,0.0,0.0,1,0.8713400828838348,103,6680fc36f234,0.8678971529006958,0.8223188519477844,0.09859155118465424,0.0,0.42020984140568113,0,0.7173764043899366,54,00ee16f445cd,0.8762550354003906,1.1854796409606934,0.20588235557079315,0.0,0.2913848927649772,1,0.7812996745725224,151,506120811a05,0.8721280694007874,1.006157636642456,0.30000001192092896,0.2554127452163465,0.35035564487217496,0,0.6743791868520667,55,4805101e52c6,0.8877776861190796,1.686153769493103,0.09876543283462524,0.0,0.0,1,0.7278770077228546,100,6002eddcd7d0,0.8833179473876953,1.4923723936080933,0.2063492089509964,0.11157175065711056,0.31816080182986706,0,0.774738569796449,115,830e9df61ddd,0.8631854057312012,0.6175873279571533,0.20588235557079315,0.11157175065711056,0.48843550658302737,0,0.6973210426923095
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.7793960571289062,0.4000000059604645,0.0,1.0,1,1.7100000309944154,77,9b108680399f,0.9679151177406311,1.2692512273788452,0.5483871102333069,0.0,1.0,1,1.527658358514309,30,c6a87cc5d35e,0.9773536324501038,1.5991195440292358,0.11363636702299118,0.0,0.4185432430857448,1,1.391883910700919,35,e19513a85bed,0.9666408896446228,1.2247179746627808,0.11363636702299118,0.0,0.4185432430857448,1,1.2773450026961584,118,eb485b5cf6a6,0.9752962589263916,1.5272160768508911,0.02222222276031971,0.0,0.0,1,1.144289152622223,57,c1933354ef21,0.9737752079963684,1.474056601524353,0.0,0.0,0.0,1,1.1337352859973908,31,53acfaed8c01,0.9695610404014587,1.3267748355865479,0.0,0.20273247072078354,0.0,1,1.0771649752512686,79,5b935f6121b7,0.9702692031860352,1.3515245914459229,0.0,0.0,0.0,1,1.0951044130325318,15,c5e6a1a8c44d,0.9499849081039429,0.6426050662994385,0.11363636702299118,0.14384099455923594,0.38008251264002774,1,1.06899345252883,200,9ff41f315fd5,0.96819007396698,1.2788606882095337,0.0,0.0,0.0,1,1.0721956062316895
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4,9fc64a999e12,0.8468748331069946,1.9563050270080566,0.07971014827489853,0.12565719826743915,0.2530296612542252,1,1.2498683244524598,73,a40c650a049f,0.8611295819282532,2.280621290206909,0.03076923079788685,0.12565719826743915,0.0,1,1.214486413129307,66,196087c93944,0.8210670351982117,1.3691397905349731,0.09701492637395859,0.05889151088374822,0.3711060210039858,1,1.1359574958108363,154,17f9d29c543d,0.8246914744377136,1.4516011476516724,0.0746268630027771,0.12565719826743915,0.2530296612542252,1,1.092691278511107,113,322cdff981bb,0.8487023115158081,1.9978828430175781,0.015625,0.20273252627630822,0.0,1,1.1249527580035827,62,c6d9ce80244c,0.8418183922767639,1.8412635326385498,0.0555555559694767,0.12565719826743915,0.25792930770211675,0,1.1430734263041582,28,ce1178bafa1d,0.8503251075744629,2.034803867340088,0.007462686393409967,0.12565719826743915,0.0,1,1.1428691376528513,32,85a88cfd39f0,0.8340734243392944,1.665054202079773,0.0,0.20273252627630822,0.0,1,1.022629181195607,183,ff9c96c6d776,0.8158715963363647,1.2509360313415527,0.06976744532585144,0.20273252627630822,0.272671233132407,1,1.0386184403879097,142,c71cb5036aef,0.8327152729034424,1.6341543197631836,0.0,0.12565719826743915,0.0,1,1.0165822584709894
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.4717397689819336,0.09000000357627869,0.07707532800886907,0.485764528545711,1,1.4906049764761897,145,7809c19536e4,0.9031169414520264,0.9902660250663757,0.18888889253139496,0.0,1.0,1,1.3571588921546938,163,3ac212a9f7c3,0.9250744581222534,1.8909114599227905,0.06818182021379471,0.1682360897391828,0.41404231592543655,1,1.2809890383258635,44,2d4009710863,0.9178847074508667,1.596004843711853,0.2151898741722107,0.1682360897391828,0.5983085886151066,1,1.2717810317685,61,dc17b84d2d6b,0.9246058464050293,1.8716901540756226,0.1265822798013687,0.1682360897391828,0.28498807470557874,1,1.1831590539949117,63,50171927f859,0.9330109357833862,2.216447114944458,0.0917431190609932,0.0,0.0,1,1.1288488078117371,191,a9be4c9c15a1,0.9062695503234863,1.1195785999298096,0.18421052396297455,0.06676568738369093,0.4355340937421637,1,1.0523833722898175,102,f2c8cd5b27ab,0.8967130184173584,0.7275922298431396,0.10000000149011612,0.1682360897391828,0.41404231592543655,1,0.938098716117459,214,fc824bfe7bf0,0.9018871784210205,0.9398240447044373,0.07865168899297714,0.1682360897391828,0.33780099145550035,1,0.9573116295558433,98,207462e43a8e,0.904608428478241,1.051443338394165,0.07894736528396606,0.0,0.2439304707225717,1,0.9416492609844539
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.548413038253784,0.18421052396297455,0.0,1.0,1,1.7747368741035463,116,1cf7420e0aac,0.8921663761138916,1.478380799293518,0.09345794469118118,0.07707532800886907,0.4682199018857571,1,1.1785170684068151,199,0d99df7b9f80,0.8629135489463806,0.6082332730293274,0.19819819927215576,0.07707532800886907,0.8768824657917131,1,1.163168287563701,183,ff9c96c6d776,0.9021545052528381,1.7754852771759033,0.07377049326896667,0.07707532800886907,0.26970467609811594,1,1.1476146562666354,113,322cdff981bb,0.881372332572937,1.157303810119629,0.10810811072587967,0.07707532800886907,0.3784798271794378,1,1.0316324529663012,196,0f2541e582f8,0.9135481119155884,2.114396810531616,0.08620689809322357,0.07707532800886907,0.0,1,1.078152272622956,28,ce1178bafa1d,0.901413083076477,1.7534312009811401,0.01587301678955555,0.0,0.0,1,0.9973317402601242,62,c6d9ce80244c,0.9012966752052307,1.7499685287475586,0.016129031777381897,0.0,0.0,1,0.996277602314949,73,a40c650a049f,0.8963234424591064,1.6020358800888062,0.04098360612988472,0.0,0.0,1,0.948180975317955,154,17f9d29c543d,0.8382570743560791,-0.12519226968288422,0.17094017565250397,0.0,0.6014932466855267,1,0.8042757915443551
5,abdac161e57b,design medical devices or appliances,127,3d77dabe7560,0.9491155743598938,3.578537702560425,0.095238097012043,0.0,0.46335877870863124,1,1.479443876119527,162,957f012e4031,0.9011721611022949,1.9385337829589844,0.12244898080825806,0.14384099455923594,1.0,1,1.4039684121746567,155,f6d7dbe3f71e,0.9061822295188904,2.1099135875701904,0.0784313753247261,0.14384099455923594,0.5102462741731951,1,1.159192465617096,21,c9b70de179fe,0.9039748311042786,2.034404993057251,0.04838709533214569,0.0,0.0,1,0.848535777926445,206,c32f9f13a109,0.8941020965576172,1.6966875791549683,0.025974025949835777,0.11157175065711056,0.0,1,0.7667777158013805,181,49ccfbfcfc0a,0.8986497521400452,1.8522495031356812,0.06666667014360428,0.0,0.0,1,0.8017457741498947,59,da6e8742f6bf,0.89656001329422,1.7807656526565552,0.0,0.0,0.0,1,0.7973154652118682,180,893bb3cbc01a,0.8759806752204895,1.076806664466858,0.0,0.11157175065711056,0.0,1,0.6223092145911678,110,d9dbdf9d5d1a,0.8926516175270081,1.6470708847045898,0.0,0.0,0.0,0,0.6851380169391632,138,ef5aeb4ce41e,0.8636296987533569,0.6543158292770386,0.0,0.14384099455923594,0.0,1,0.519011398150399
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9234888553619385,0.4166666567325592,0.09116076173031373,1.0,1,1.7004419976762712,157,018f6a0e7f9a,0.8878378868103027,2.812814235687256,0.14159291982650757,0.20273252627630822,0.4653176280529234,1,1.4274387671645146,66,196087c93944,0.8739868402481079,2.317087173461914,0.01666666753590107,0.14384101539256,0.0,1,1.0527580494138589,28,ce1178bafa1d,0.8519936800003052,1.5299549102783203,0.00917431153357029,0.07707532800886907,0.0,1,0.8433584307841192,126,ebdb003908ef,0.8218483924865723,0.45105913281440735,0.2530120611190796,0.09116076173031373,0.6219592058133134,0,0.8114417224500984,116,1cf7420e0aac,0.8384153246879578,1.0439873933792114,0.0,0.0,0.0,1,0.7162049579620361,192,8562bf3caec4,0.8575725555419922,1.7296221256256104,0.0555555559694767,0.09116076173031373,0.0,0,0.807140562563318,70,d5bb4574fc4d,0.8496978282928467,1.4477866888046265,0.0,0.09116076173031373,0.0,1,0.8220326507381379,60,90e3d91fbf4d,0.8567813038825989,1.701303243637085,0.020618556067347527,0.0,0.0,0,0.8115054219961166,161,f1f35b083d3a,0.8477932214736938,1.3796210289001465,0.032967034727334976,0.09116076173031373,0.0,0,0.7171378320745408
7,bfcc3cdee21d,devise research or testing protocols,188,be19a52818cf,0.931056797504425,1.3446388244628906,0.0923076942563057,0.11157175065711056,1.0,1,1.4904385484448897,197,3a46124701c0,0.9454963207244873,2.1246843338012695,0.0,0.0,0.0,1,1.1453184056282044,49,824d3015533f,0.9508320093154907,2.41292667388916,0.014285714365541935,0.11157175065711056,0.0,1,1.2201357252589689,48,23ca56c5d573,0.9379435777664185,1.7166733741760254,0.014925372786819935,0.0,0.0,1,1.0217692571878434,87,bd28ef3a0af3,0.9362006187438965,1.6225160360336304,0.0,0.0,0.0,1,0.997788341641426,67,3574e4789085,0.9353547692298889,1.5768219232559204,0.0,0.11157175065711056,0.0,1,0.9787854320994839,9,3cdbc3929112,0.9371958374977112,1.6762793064117432,0.016393441706895828,0.0,0.0,1,1.0095907765626908,144,7a053b14e6ec,0.9366430044174194,1.6464143991470337,0.0,0.0,0.0,1,1.0048093217611314,141,dbc0d59bd942,0.9103766083717346,0.22746270895004272,0.10000000149011612,0.11157175065711056,0.666730880547555,1,0.9691502770826991,135,4055e1544ee0,0.9256011247634888,1.049914836883545,0.0,0.14384099455923594,0.0,1,0.8223739986557509
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.3216731548309326,0.11711711436510086,0.25541277854966626,0.9517409927963266,1,1.7531388723596726,196,0f2541e582f8,0.8514794111251831,2.0114448070526123,0.07751937955617905,0.25541277854966626,0.5307918967805789,0,1.3357562371646219,163,3ac212a9f7c3,0.8529791235923767,2.0706610679626465,0.04273504391312599,0.34657354027998,0.47465136373451294,0,1.3256812760342953,56,269bfa3db5c6,0.8533832430839539,2.086617946624756,0.07758620381355286,0.34657354027998,0.525348636265487,0,1.351343606132317,72,91e3b64a6f04,0.8210703730583191,0.8107413053512573,0.028776979073882103,0.1783374505407972,0.5779808570257332,0,1.0021971322823102,133,70f88532846f,0.8477686047554016,1.864923357963562,0.007751937955617905,0.25541277854966626,0.0,1,1.069898784891105,191,a9be4c9c15a1,0.8411663770675659,1.6042338609695435,0.0939597338438034,0.11157176315710626,0.29928663482705686,0,1.0731716443624861,22,bab0b2935945,0.8226231336593628,0.8720521926879883,0.16521738469600677,0.1783374505407972,0.7705082336308209,0,1.1125525559670348,134,469df54e4928,0.8334624171257019,1.3000422716140747,0.020134227350354195,0.05268025227335804,0.0,1,0.8980369646211724,71,1cb040da80f9,0.8339754343032837,1.3202987909317017,0.012987012974917889,0.1783374505407972,0.0,0,0.8197143199187151
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.1837079524993896,0.3461538553237915,0.0,1.0,1,1.726153873205185,49,824d3015533f,0.9270074367523193,1.6428723335266113,0.21666666865348816,0.11157175065711056,0.8875827192916397,1,1.5301714427256763,59,da6e8742f6bf,0.9369021058082581,2.0194754600524902,0.11290322244167328,0.0,0.5091386755288673,1,1.451069831847014,10,365ec2897755,0.9170449376106262,1.2636876106262207,0.07692307978868484,0.11157175065711056,0.4945492360194517,1,1.212200297426365,7,bfcc3cdee21d,0.9371958374977112,2.0306551456451416,0.016393441706895828,0.0,0.0,1,1.1767583060264588,135,4055e1544ee0,0.9300020337104797,1.7568503618240356,0.0,0.14384099455923594,0.0,1,1.0874563579697158,195,6b483cafcca2,0.9023965001106262,0.7061503529548645,0.14814814925193787,0.0,0.5399943009509689,1,1.0591426280435352,197,3a46124701c0,0.9257937669754028,1.596678614616394,0.0,0.0,0.0,1,1.0438598263263703,74,318da22b73fb,0.9230011701583862,1.4903889894485474,0.015625,0.0,0.0,1,1.0063651967048646,141,dbc0d59bd942,0.9200794696807861,1.3791855573654175,0.0,0.11157175065711056,0.0,1,0.9693166531316265
