q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,167,00c6f12023ab,0.6099096536636353,2.3750429153442383,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,1.4640086821221567,40,f64df278da5d,0.5992062091827393,2.205152750015259,0.0,0.11157175065711056,0.0,1,1.1834972628338785,103,6680fc36f234,0.5674048066139221,1.7003860473632812,0.1111111119389534,0.0,0.42020984140568113,1,1.159136458999282,191,a9be4c9c15a1,0.5953623056411743,2.1441404819488525,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.3236251757063182,114,98e7b9000779,0.4980168342590332,0.5990277528762817,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.8050935507537355,46,f64f2eefbcb7,0.5659328699111938,1.6770228147506714,0.1111111119389534,0.0,0.4473295481082181,1,1.1611581956224375,48,23ca56c5d573,0.5906665325164795,2.0696070194244385,0.125,0.11157175065711056,0.48843550658302737,1,1.2873655714140686,37,78a6d412d86e,0.5390938520431519,1.251021385192871,0.2222222238779068,0.09116076173031373,1.0,1,1.1938258645518185,184,389dd43f303d,0.5465056896209717,1.3686655759811401,0.125,0.11157175065711056,0.4588237187240411,1,1.0534109375600529,115,830e9df61ddd,0.552287220954895,1.4604326486587524,0.125,0.11157175065711056,0.48843550658302737,1,1.09304750040634
1,06d678da6c8d,prepare procedural documents,61,dc17b84d2d6b,0.6534450054168701,2.9760255813598633,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,1.3651430308305461,95,7c80e08ee743,0.47763073444366455,0.9696016907691956,0.5,0.0,1.0,1,0.9557874999940396,77,9b108680399f,0.5345077514648438,1.618692398071289,0.5,0.0,1.0,1,1.131843650341034,167,00c6f12023ab,0.630706250667572,2.716526985168457,0.0,0.14384099455923594,0.0,1,1.1588321272410445,196,0f2541e582f8,0.5148738622665405,1.3946269750595093,0.125,0.3465735069466602,0.4460490190027163,1,0.8882837787179158,153,8594b6595861,0.4757733941078186,0.948405385017395,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.7320472372875984,186,4c7ceb754866,0.5032205581665039,1.2616373300552368,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.8225235490308578,124,3b11edaeeba4,0.5279889702796936,1.5442988872528076,0.0,0.2554127452163465,0.0,1,0.8008211297056221,17,e1dbddbff402,0.5307812690734863,1.5761650800704956,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.9326086357710991,198,edb3d68bc36f,0.3694339394569397,-0.2651595175266266,0.1428571492433548,0.2554127452163465,0.5866964104389011,0,0.41502213772896374
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.8296459913253784,5.15571928024292,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.362451425245258,51,6385c0e2eb2e,0.6161251068115234,2.0355453491210938,0.27272728085517883,0.29389328800662196,1.0,1,0.9330420588026207,81,e9ce432833f3,0.6195206642150879,2.0851645469665527,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.8360382202850525,45,aa03c0034762,0.47949838638305664,0.039023447781801224,0.0833333358168602,0.4054650386637325,0.30614161182113425,1,0.31223461275863545,154,17f9d29c543d,0.507409930229187,0.44689393043518066,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.36824991099166493,198,edb3d68bc36f,0.5142754912376404,0.5472201704978943,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.3797097001028026,145,7809c19536e4,0.5530206561088562,1.113402009010315,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.4972717828266583,76,298036041aa4,0.4986032247543335,0.31820183992385864,0.0,0.29389328800662196,0.0,1,0.2736478556761902,9,3cdbc3929112,0.5429620742797852,0.9664162993431091,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.4551313684321128,156,ae5e42c6c3d0,0.5276988744735718,0.7433756589889526,0.0833333358168602,0.4054650386637325,0.30614161182113425,1,0.448199304397582
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7598580121994019,3.745408058166504,0.27272728085517883,0.0,0.99530758268517,1,1.5438122096897027,61,dc17b84d2d6b,0.6426385045051575,2.0621535778045654,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.9170797242945973,4,9fc64a999e12,0.6351668834686279,1.954862117767334,0.07692307978868484,0.0,0.2439304707225717,1,0.8959821548284883,46,f64f2eefbcb7,0.5958287715911865,1.3899726867675781,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.8227847575507264,145,7809c19536e4,0.5268634557723999,0.39964112639427185,0.27272728085517883,0.0,1.0,1,0.7793541379272938,183,ff9c96c6d776,0.5641586184501648,0.9351940751075745,0.0833333358168602,0.07707532800886907,0.262865712742132,1,0.6528783695075799,103,6680fc36f234,0.6558325290679932,2.251617670059204,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,1.0780251160461853,84,c6940290ea74,0.6206892728805542,1.746965765953064,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.8426181747741047,83,4ffdd533affb,0.5579915046691895,0.8466352224349976,0.10000000149011612,0.27980784039629336,0.45208944765912534,1,0.6764832259691972,38,a3c08ed1a115,0.5727226734161377,1.058172583580017,0.0833333358168602,0.07707532800886907,0.485764528545711,1,0.7599832701423634
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6609911322593689,2.7625374794006348,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.5128377017195522,84,c6940290ea74,0.5787630677223206,1.6184009313583374,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9787460117382977,142,c71cb5036aef,0.6314840912818909,2.351970911026001,0.1666666716337204,0.0,1.0,1,1.4467235893011094,103,6680fc36f234,0.6128793358802795,2.0931010246276855,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.1192261426491712,27,88a991273442,0.5433144569396973,1.1251623630523682,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.9122038865073538,198,edb3d68bc36f,0.6091063618659973,2.0406031608581543,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.1036901919884656,3,33b4e36b0d81,0.6351668834686279,2.4032139778137207,0.07692307978868484,0.0,0.25027679688765847,1,1.2156243806129892,116,1cf7420e0aac,0.5246000289916992,0.8647662997245789,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,0.8271668319508487,16,6e6ec1a475b8,0.5115195512771606,0.682762086391449,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.7018582745237324,67,3574e4789085,0.5335261821746826,0.9889664053916931,0.09090909361839294,0.1682360897391828,0.5076245470939644,1,0.8678023927849053
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7029567956924438,4.10877799987793,0.125,0.11157175065711056,0.4243632379262217,1,1.3623699552282342,162,957f012e4031,0.586557149887085,2.4568045139312744,0.1666666716337204,0.14384099455923594,1.0,1,1.1866973940409713,157,018f6a0e7f9a,0.4432757794857025,0.4233190715312958,0.0833333358168602,0.4054650386637325,0.31748657059665475,1,0.47665584783487225,6,75e527217c38,0.4443211555480957,0.43815532326698303,0.0,0.2027325123874243,0.0,1,0.39420111611159747,127,3d77dabe7560,0.5375180244445801,1.7608288526535034,0.1428571492433548,0.0,0.46335877870863124,1,0.8618772274590623,147,a2140782858a,0.40375879406929016,-0.13751597702503204,0.125,0.11157175065711056,0.4243632379262217,1,0.41594385792460536,75,f634ee56b726,0.5473957061767578,1.9010154008865356,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.8922862241096562,155,f6d7dbe3f71e,0.4798177480697632,0.941931962966919,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.6300390312500065,182,8729852fc4b8,0.4869975745677948,1.0438299179077148,0.0,0.2027325123874243,0.0,0,0.4820678403941006,160,56c85bc2a8f3,0.4389367401599884,0.3617383539676666,0.0,0.0,0.0,1,0.3970799587666988
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6823859810829163,3.738354444503784,0.375,0.09116076173031373,1.0,1,1.5158839238269688,126,ebdb003908ef,0.554253101348877,2.2041237354278564,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,1.0458285614647893,59,da6e8742f6bf,0.5374099016189575,2.0024476051330566,0.25,0.2027325123874243,0.6211695670957962,1,0.9824299251957407,187,02b0fa193387,0.3965454697608948,0.31577256321907043,0.10000000149011612,0.09116076173031373,0.27002580046778907,1,0.4764120070028274,204,62b52b411f3a,0.5325334072113037,1.9440577030181885,0.25,0.2027325123874243,0.7370548607343586,1,1.0090404582489692,5,abdac161e57b,0.4443211555480957,0.8878265023231506,0.0,0.2027325123874243,0.0,1,0.519130689498505,188,be19a52818cf,0.4168020188808441,0.5583193302154541,0.0,0.09116076173031373,0.0,1,0.44814642792776815,160,56c85bc2a8f3,0.4326619803905487,0.7482225298881531,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.5791044986787276,181,49ccfbfcfc0a,0.5242239832878113,1.8445627689361572,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.9089045302056992,141,dbc0d59bd942,0.5502656698226929,2.156379222869873,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,1.0343673705854444
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.6501659154891968,3.4339215755462646,0.1428571492433548,0.0,0.7279980425438168,1,1.4762278910021294,56,269bfa3db5c6,0.5335773229598999,1.614205241203308,0.0,0.11157175065711056,0.0,1,0.7552642875297518,209,2ac9980eb5e6,0.6218950748443604,2.9926700592041016,0.1111111119389534,0.2027325123874243,0.6149755153908953,1,1.3076574834998775,188,be19a52818cf,0.49028271436691284,0.9384624361991882,0.125,0.11157175065711056,1.0,1,0.9145054408295603,195,6b483cafcca2,0.5889445543289185,2.4783778190612793,0.0,0.0,0.0,1,0.9960700601339341,59,da6e8742f6bf,0.47880643606185913,0.7593405246734619,0.1428571492433548,0.0,0.7279980425438168,0,0.7323969613055694,187,02b0fa193387,0.46498072147369385,0.543548583984375,0.125,0.11157175065711056,0.666730880547555,1,0.6951016865884386,183,ff9c96c6d776,0.4467517137527466,0.25902995467185974,0.1111111119389534,0.2027325123874243,0.6149755153908953,1,0.5946620996113945,214,fc824bfe7bf0,0.515916645526886,1.3385571241378784,0.125,0.11157175065711056,1.0,1,1.0186131485684367,124,3b11edaeeba4,0.4533226490020752,0.3615892231464386,0.0,0.11157175065711056,0.0,1,0.4223892369254083
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.6930978894233704,2.7755234241485596,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2987632127737905,148,253c9a1feb09,0.6526259183883667,2.304725170135498,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.197147495273094,174,003763627ff4,0.6145662665367126,1.8619887828826904,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,1.0047698816894932,9,3cdbc3929112,0.4883824586868286,0.3941306471824646,0.27272728085517883,0.45814529093709055,1.0,0,0.7513082794521188,176,62eda05f366c,0.6510254740715027,2.2861077785491943,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,1.1921509156893977,101,ae138f31c069,0.4592762589454651,0.05554702877998352,0.0714285746216774,0.34657354027998,0.3384517146224187,1,0.49386103931728265,72,91e3b64a6f04,0.5746114253997803,1.39720618724823,0.0625,0.1783374505407972,0.3399328564670396,1,0.9196218188163253,81,e9ce432833f3,0.5349780917167664,0.9361635446548462,0.0714285746216774,0.34657354027998,0.22046322892919656,1,0.7198778679737277,175,825fff3275ff,0.6720342636108398,2.530496597290039,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2243848862385656,92,3f67b920ee49,0.5354416370391846,0.9415558576583862,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.7597666190856496
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6946560144424438,3.1774230003356934,0.3333333432674408,0.0,1.0,1,1.5333333253860475,84,c6940290ea74,0.6505595445632935,2.487596273422241,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.278635267543303,195,6b483cafcca2,0.6376032829284668,2.2849137783050537,0.1428571492433548,0.0,0.5399943009509689,1,1.1744914596699592,182,8729852fc4b8,0.6131641864776611,1.9025988578796387,0.25,0.2027325123874243,0.8447488584474884,1,1.144553244550215,204,62b52b411f3a,0.5297398567199707,0.5975432991981506,0.3333333432674408,0.0,1.0,1,0.8735197424888611,186,4c7ceb754866,0.5417941808700562,0.7861161231994629,0.125,0.11157175065711056,0.3639750440568452,1,0.7071639442703531,59,da6e8742f6bf,0.565606951713562,1.1586332321166992,0.1428571492433548,0.0,0.5091386755288673,1,0.8659592799339058,103,6680fc36f234,0.5343116521835327,0.6690625548362732,0.125,0.11157175065711056,0.3639750440568452,1,0.6761264348289774,8,04d0abdf0b41,0.4883824586868286,-0.04943465441465378,0.27272728085517883,0.45814529093709055,0.9727897385813257,1,0.6560093751742488,10,365ec2897755,0.5454995036125183,0.8440806269645691,0.125,0.11157175065711056,0.4945492360194517,1,0.7682345800602087
