q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,167,00c6f12023ab,0.6099096536636353,2.3750429153442383,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,1.4236788667015121,40,f64df278da5d,0.5992062091827393,2.205152750015259,0.0,0.11157175065711056,0.0,1,1.1278356441243143,103,6680fc36f234,0.5674048066139221,1.7003860473632812,0.1111111119389534,0.0,0.42020984140568113,1,0.9211793799624834,191,a9be4c9c15a1,0.5953623056411743,2.1441404819488525,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.2207762798893425,48,23ca56c5d573,0.5906665325164795,2.0696070194244385,0.125,0.11157175065711056,0.48843550658302737,1,1.164957679079569,114,98e7b9000779,0.4980168342590332,0.5990277528762817,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.21126883207953318,35,e19513a85bed,0.5246648192405701,1.0219969749450684,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.4379555408470136,46.0,f64f2eefbcb7,0.5659328699111938,1.6770228147506714,0.1111111119389534,0.0,0.4473295481082181,1.0,0.9143323606573457,184.0,389dd43f303d,0.5465056896209717,1.3686655759811401,0.125,0.11157175065711056,0.4588237187240411,1.0,0.7076164769804297,115.0,830e9df61ddd,0.552287220954895,1.4604326486587524,0.125,0.11157175065711056,0.48843550658302737,1.0,0.7752120338545212
1,06d678da6c8d,prepare procedural documents,61,dc17b84d2d6b,0.6534450054168701,2.9760255813598633,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,1.3409636409390622,167,00c6f12023ab,0.630706250667572,2.716526985168457,0.0,0.14384099455923594,0.0,1,1.1077537182845167,77,9b108680399f,0.5345077514648438,1.618692398071289,0.5,0.0,1.0,1,0.836937414854765,95,7c80e08ee743,0.47763073444366455,0.9696016907691956,0.5,0.0,1.0,1,0.5437645673751831,196,0f2541e582f8,0.5148738622665405,1.3946269750595093,0.125,0.3465735069466602,0.4460490190027163,1,0.5611918479458595,153,8594b6595861,0.4757733941078186,0.948405385017395,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.32503868259275803,124,3b11edaeeba4,0.5279889702796936,1.5442988872528076,0.0,0.2554127452163465,0.0,1,0.5190074262282395,186.0,4c7ceb754866,0.5032205581665039,1.2616373300552368,0.1428571492433548,0.2554127452163465,0.3480953704871541,1.0,0.47570201001847634,17.0,e1dbddbff402,0.5307812690734863,1.5761650800704956,0.1666666716337204,0.14384099455923594,0.38008251264002774,1.0,0.6457171115385193,68.0,7a9450b42a26,0.5646141767501831,1.9622722864151,0.0,0.14384099455923594,0.0,1.0,0.7361116204537445
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.8296459913253784,5.15571928024292,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.3353997741569306,51,6385c0e2eb2e,0.6161251068115234,2.0355453491210938,0.27272728085517883,0.29389328800662196,1.0,1,0.6955822397837801,81,e9ce432833f3,0.6195206642150879,2.0851645469665527,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.6148379095408212,19,9d76ae41867e,0.5122107267379761,0.5170478224754333,0.0,0.4054650386637325,0.0,0,-0.040546503866373255,198,edb3d68bc36f,0.5142754912376404,0.5472201704978943,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.08407269206173434,145,7809c19536e4,0.5530206561088562,1.113402009010315,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.23771775899315606,9,3cdbc3929112,0.5429620742797852,0.9664162993431091,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.18496843671973984,156.0,ae5e42c6c3d0,0.5276988744735718,0.7433756589889526,0.0833333358168602,0.4054650386637325,0.30614161182113425,1.0,0.15903260836883887,99.0,78b76b55f875,0.5556932687759399,1.1524567604064941,0.0833333358168602,0.4054650386637325,0.3341692546148913,1.0,0.2717982397174197,102.0,f2c8cd5b27ab,0.5557608604431152,1.153444528579712,0.07692307978868484,0.29389328800662196,0.2803772187470784,1.0,0.26724567037737157
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7598580121994019,3.745408058166504,0.27272728085517883,0.0,1.0,1,1.4954545557498933,61,dc17b84d2d6b,0.6426385045051575,2.0621535778045654,0.09090909361839294,0.1682360897391828,0.2863316623558012,1,0.6478140531444394,4,9fc64a999e12,0.6351668834686279,1.954862117767334,0.07692307978868484,0.0,0.24508049066047397,1,0.6117876648163215,46,f64f2eefbcb7,0.5958287715911865,1.3899726867675781,0.09090909361839294,0.1682360897391828,0.47149891070466704,1,0.44256720015061546,183,ff9c96c6d776,0.5641586184501648,0.9351940751075745,0.0833333358168602,0.07707532800886907,0.264105003634118,1,0.21313443907603924,103,6680fc36f234,0.6558325290679932,2.251617670059204,0.20000000298023224,0.1682360897391828,0.6637841295013728,1,0.8234409775584928,84,c6940290ea74,0.6206892728805542,1.746965765953064,0.09090909361839294,0.1682360897391828,0.2863316623558012,1,0.5255255205893361,83.0,4ffdd533affb,0.5579915046691895,0.8466352224349976,0.10000000149011612,0.27980784039629336,0.4542208414000677,1.0,0.21533111718618808,71.0,1cb040da80f9,0.5681195259094238,0.9920721054077148,0.07692307978868484,0.0,0.4035711015353506,1.0,0.2849011946496339,38.0,a3c08ed1a115,0.5727226734161377,1.058172583580017,0.0833333358168602,0.07707532800886907,0.48805468479924696,1.0,0.3280945337491691
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6609911322593689,2.7625374794006348,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.4689935784299666,84,c6940290ea74,0.5787630677223206,1.6184009313583374,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.6525675534501822,142,c71cb5036aef,0.6314840912818909,2.351970911026001,0.1666666716337204,0.0,1.0,1,1.2863561272621156,103,6680fc36f234,0.6128793358802795,2.0931010246276855,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.9223126500144752,27,88a991273442,0.5433144569396973,1.1251623630523682,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.43930470981476943,3,33b4e36b0d81,0.6351668834686279,2.4032139778137207,0.07692307978868484,0.0,0.25027679688765847,1,1.1050320514650174,198,edb3d68bc36f,0.6091063618659973,2.0406031608581543,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.8924810840979369,116.0,1cf7420e0aac,0.5246000289916992,0.8647662997245789,0.0833333358168602,0.07707532800886907,0.4682199018857571,1.0,0.2863136812271644,169.0,2d10ff099811,0.5583945512771606,1.3349895477294922,0.09090909361839294,0.1682360897391828,0.41033208986285585,1.0,0.526899841240239,16.0,6e6ec1a475b8,0.5115195512771606,0.682762086391449,0.09090909361839294,0.1682360897391828,0.29240259438360094,1.0,0.120897169341162
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7029567956924438,4.10877799987793,0.125,0.11157175065711056,0.4243632379262217,1,1.3411517933319232,162,957f012e4031,0.586557149887085,2.4568045139312744,0.1666666716337204,0.14384099455923594,1.0,1,0.9492371875919395,127,3d77dabe7560,0.5375180244445801,1.7608288526535034,0.1428571492433548,0.0,0.46335877870863124,1,0.571184688494639,182,8729852fc4b8,0.4869975745677948,1.0438299179077148,0.0,0.2027325123874243,0.0,0,0.12433106474252645,75,f634ee56b726,0.5473957061767578,1.9010154008865356,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.6162447291888096,155,f6d7dbe3f71e,0.4798177480697632,0.941931962966919,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.24516406035942803,141,dbc0d59bd942,0.5330332517623901,1.697179913520813,0.0,0.11157175065711056,0.0,1,0.4084241182489843,219.0,573d5b3bbb3d,0.4587196111679077,0.6425018310546875,0.0,0.0,0.0,1.0,0.056409516790881756,10.0,365ec2897755,0.4798939824104309,0.9430139064788818,0.0,0.11157175065711056,0.0,1.0,0.14873178461031625,84.0,c6940290ea74,0.5120812654495239,1.3998239040374756,0.0,0.11157175065711056,0.0,0.0,0.25603148946003623
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6823859810829163,3.738354444503784,0.375,0.09116076173031373,1.0,1,1.4658839238269687,126,ebdb003908ef,0.554253101348877,2.2041237354278564,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.8255211921160296,59,da6e8742f6bf,0.5374099016189575,2.0024476051330566,0.25,0.2027325123874243,0.6211695670957962,1,0.7383195018698663,188,be19a52818cf,0.4168020188808441,0.5583193302154541,0.0,0.09116076173031373,0.0,1,0.04088392382696863,204,62b52b411f3a,0.5325334072113037,1.9440577030181885,0.25,0.2027325123874243,0.7370548607343586,1,0.7519694590963379,5,abdac161e57b,0.4443211555480957,0.8878265023231506,0.0,0.2027325123874243,0.0,1,0.15406770951720183,160,56c85bc2a8f3,0.4326619803905487,0.7482225298881531,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.1885121719677424,181.0,49ccfbfcfc0a,0.5242239832878113,1.8445627689361572,0.1111111119389534,0.2027325123874243,0.47072232479609577,1.0,0.6473246288706795,141.0,dbc0d59bd942,0.5502656698226929,2.156379222869873,0.2222222238779068,0.09116076173031373,0.6219592058133134,1.0,0.8081718967979029,148.0,253c9a1feb09,0.45444437861442566,1.0090394020080566,0.10000000149011612,0.09116076173031373,0.27002580046778907,1.0,0.2891381584095299
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.6501659154891968,3.4339215755462646,0.1428571492433548,0.0,0.7279980425438168,1,1.4398279888749386,56,269bfa3db5c6,0.5335773229598999,1.614205241203308,0.0,0.11157175065711056,0.0,1,0.48334876978234953,209,2ac9980eb5e6,0.6218950748443604,2.9926700592041016,0.1111111119389534,0.2027325123874243,0.6149755153908953,1,1.2121946782989896,195,6b483cafcca2,0.5889445543289185,2.4783778190612793,0.0,0.0,0.0,1,0.8532856285572052,188,be19a52818cf,0.49028271436691284,0.9384624361991882,0.125,0.11157175065711056,1.0,1,0.49938396633999055,59,da6e8742f6bf,0.47880643606185913,0.7593405246734619,0.1428571492433548,0.0,0.7279980425438168,0,0.3058569299251104,187,02b0fa193387,0.46498072147369385,0.543548583984375,0.125,0.11157175065711056,0.666730880547555,1,0.23886208909855544,9.0,3cdbc3929112,0.5651863217353821,2.1075589656829834,0.0,0.0,0.0,1.0,0.6993322625756264,214.0,fc824bfe7bf0,0.515916645526886,1.3385571241378784,0.125,0.11157175065711056,1.0,1.0,0.6620312490447017,185.0,7b03e0901b8c,0.49445027112960815,1.003509759902954,0.0,0.11157175065711056,0.0,1.0,0.22980550461845106
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.6930978894233704,2.7755234241485596,0.0714285746216774,0.34657354027998,0.4212923481389641,1,1.3274446399597042,148,253c9a1feb09,0.6526259183883667,2.304725170135498,0.0714285746216774,0.34657354027998,0.5993533351656901,1,1.131690516758106,174,003763627ff4,0.6145662665367126,1.8619887828826904,0.06666667014360428,0.25541277854966626,0.3068828138466807,1,0.8193088570767209,176,62eda05f366c,0.6510254740715027,2.2861077785491943,0.07692307978868484,0.45814529093709055,0.6544290470457805,1,1.1263437594857768,48,23ca56c5d573,0.5202651023864746,0.7650117874145508,0.1666666716337204,0.45814529093709055,1.0,0,0.3738718080941772,182,8729852fc4b8,0.514529287815094,0.6982887983322144,0.1428571492433548,0.25541277854966626,0.8447488584474884,1,0.36317019998665384,72,91e3b64a6f04,0.5746114253997803,1.39720618724823,0.0625,0.1783374505407972,0.5130058207774126,1,0.6429876936358663,81.0,e9ce432833f3,0.5349780917167664,0.9361635446548462,0.0714285746216774,0.34657354027998,0.3327095853090251,1.0,0.3273788986434811,175.0,825fff3275ff,0.6720342636108398,2.530496597290039,0.0714285746216774,0.34657354027998,0.4212923481389641,1.0,1.1977629335311764,92.0,3f67b920ee49,0.5354416370391846,0.9415558576583862,0.06666667014360428,0.25541277854966626,0.4561595692964805,1.0,0.37655661191805684
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6946560144424438,3.1774230003356934,0.3333333432674408,0.0,1.0,1,1.4833333253860475,84,c6940290ea74,0.6505595445632935,2.487596273422241,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.1221348813748653,195,6b483cafcca2,0.6376032829284668,2.2849137783050537,0.1428571492433548,0.0,0.5399943009509689,1,0.9920164038388147,182,8729852fc4b8,0.6131641864776611,1.9025988578796387,0.25,0.2027325123874243,0.8447488584474884,1,0.8843034463598389,186,4c7ceb754866,0.5417941808700562,0.7861161231994629,0.125,0.11157175065711056,0.3639750440568452,1,0.27112900093484604,204,62b52b411f3a,0.5297398567199707,0.5975432991981506,0.3333333432674408,0.0,1.0,1,0.38871930157765744,59,da6e8742f6bf,0.565606951713562,1.1586332321166992,0.1428571492433548,0.0,0.5091386755288673,1,0.4888286946708272,103.0,6680fc36f234,0.5343116521835327,0.6690625548362732,0.125,0.11157175065711056,0.3639750440568452,1.0,0.21963858325321162,29.0,ef7349785e11,0.5525535345077515,0.9544309377670288,0.0,0.0,0.0,1.0,0.2513276107609272,10.0,365ec2897755,0.5454995036125183,0.8440806269645691,0.125,0.11157175065711056,0.4945492360194517,1.0,0.33579912904338527
