q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.5226098299026489,3.0462706089019775,0.2222222238779068,0.09116076173031373,1.0,0,1.1391736826590477,40,f64df278da5d,0.586201548576355,3.9439642429351807,0.0,0.11157175065711056,0.0,0,1.0944214139572606,62,c6d9ce80244c,0.3637844920158386,0.8042100071907043,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.5788145208148435,107,750257b28f11,0.3833119571208954,1.0798697471618652,0.0,0.11157175065711056,0.0,0,0.4951146144858823,43,61355ce7e829,0.35533249378204346,0.684897243976593,0.1428571492433548,0.2554127452163465,0.5052523093092118,0,0.5261591660775234,30,c6a87cc5d35e,0.3834959864616394,1.0824676752090454,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.5695455092446543,57,c1933354ef21,0.4227140545845032,1.6360901594161987,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.6838855985061861,103,6680fc36f234,0.37689730525016785,0.9893172383308411,0.1111111119389534,0.0,0.42020984140568113,0,0.581931591400338,39,202cbfb3aef7,0.37997764348983765,1.0328009128570557,0.0,0.2554127452163465,0.0,0,0.4780735044311058,41,babe1d93de49,0.4006441831588745,1.3245404958724976,0.1666666716337204,0.45814521593713003,0.562135019628792,0,0.6611546337015586
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.7685825824737549,4.089778423309326,0.5,0.0,1.0,0,1.300000000745058,151,506120811a05,0.4695252776145935,1.3957716226577759,0.0,0.0,0.0,0,0.5222581252455711,16,6e6ec1a475b8,0.3361220955848694,0.19403178989887238,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.33535722099443505,196,0f2541e582f8,0.33685943484306335,0.20067398250102997,0.125,0.3465735069466602,0.4460490190027163,0,0.35712530681807325,35,e19513a85bed,0.4783393144607544,1.475171446800232,0.20000000298023224,0.0,0.4185432430857448,0,0.6341163612096019,185,7b03e0901b8c,0.416667103767395,0.9196077585220337,0.0,0.2554127452163465,0.0,0,0.4073719947169792,61,dc17b84d2d6b,0.49472570419311523,1.6227854490280151,0.1428571492433548,0.2554127452163465,0.4835877978296777,0,0.6716536988321441,44,2d4009710863,0.4472803473472595,1.195381999015808,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.5473123790343626,167,00c6f12023ab,0.5855053663253784,2.440558433532715,0.0,0.14384099455923594,0.0,0,0.7391252996463324,17,e1dbddbff402,0.3968084454536438,0.740714430809021,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.4638222176627733
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6047323346138,3.798710346221924,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,1.1968031892551203,71,1cb040da80f9,0.4164853096008301,1.3617430925369263,0.0,0.12565719826743915,0.0,0,0.5466356412849198,51,6385c0e2eb2e,0.5117775201797485,2.5953562259674072,0.27272728085517883,0.29389328800662196,1.0,0,1.04458608873535,55,4805101e52c6,0.38283291459083557,0.9260932803153992,0.07692307978868484,0.29389328800662196,0.34345305712870267,0,0.5231041966459323,198,edb3d68bc36f,0.46330326795578003,1.9678287506103516,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.715931507780512,102,f2c8cd5b27ab,0.49541983008384705,2.383596420288086,0.07692307978868484,0.29389328800662196,0.2803772187470784,0,0.8322461385373998,157,018f6a0e7f9a,0.34398117661476135,0.4231349527835846,0.125,0.0,0.36036418183651636,0,0.42841006766758133,192,8562bf3caec4,0.3626868426799774,0.6652906537055969,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.42556594593759356,89,b03b706832f2,0.43559500575065613,1.6091291904449463,0.0,0.20273252627630822,0.0,0,0.5983182754112384,81,e9ce432833f3,0.3464387357234955,0.4549494981765747,0.1666666716337204,0.29389328800662196,0.6661069603241577,0,0.49588877696833555
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.6070749759674072,2.761650800704956,0.27272728085517883,0.0,0.99530758268517,0,1.321554173546239,15,c5e6a1a8c44d,0.5739929676055908,2.3305745124816895,0.2222222238779068,0.27980784039629336,0.8812522236029512,0,1.1690398840681104,145,7809c19536e4,0.5736575722694397,2.3262040615081787,0.27272728085517883,0.0,1.0,0,1.2070448100566864,186,4c7ceb754866,0.49508553743362427,1.3023682832717896,0.20000000298023224,0.1682360897391828,0.6227890661610791,0,0.8369786037819503,78,98d9410b9c2c,0.46471256017684937,0.9065920114517212,0.10000000149011612,0.27980784039629336,0.41020336830242654,0,0.6778032138731023,83,4ffdd533affb,0.5728203654289246,2.3152947425842285,0.10000000149011612,0.27980784039629336,0.45208944765912534,0,1.0685419738193365,10,365ec2897755,0.491601824760437,1.2569736242294312,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,0.7794943448023701,103,6680fc36f234,0.4655452370643616,0.917442262172699,0.20000000298023224,0.1682360897391828,0.6606693773587912,0,0.7434944690052274,98,207462e43a8e,0.5446993112564087,1.9488624334335327,0.07692307978868484,0.0,0.2439304707225717,0,0.9334205343767146,61,dc17b84d2d6b,0.5231220722198486,1.6676993370056152,0.09090909361839294,0.1682360897391828,0.28498807470557874,0,0.8581951758779541
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.5567910075187683,3.6352195739746094,0.1666666716337204,0.0,1.0,0,1.3333333358168602,186,4c7ceb754866,0.39585503935813904,1.3934611082077026,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.6541124968472739,115,830e9df61ddd,0.33435726165771484,0.5368274450302124,0.10000000149011612,0.27980784039629336,0.5900009613842612,0,0.5309715383348909,27,88a991273442,0.3617009222507477,0.9177111387252808,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.6071724274234271,154,17f9d29c543d,0.4665997624397278,2.3789002895355225,0.1666666716337204,0.0,0.6014932466855267,0,0.9546173642901237,53,a68e486bae8e,0.4100832939147949,1.5916537046432495,0.0,0.07707532800886907,0.0,0,0.635187258791102,169,2d10ff099811,0.33566582202911377,0.5550550818443298,0.09090909361839294,0.1682360897391828,0.41033208986285585,0,0.4960419455178173,199,0d99df7b9f80,0.5032651424407959,2.8896307945251465,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,1.1317853651932634,198,edb3d68bc36f,0.42850059270858765,1.84819757938385,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.7558378590885421,3,33b4e36b0d81,0.38369154930114746,1.224029779434204,0.07692307978868484,0.0,0.25027679688765847,0,0.6147978176351245
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7175503969192505,3.3161754608154297,0.125,0.11157175065711056,0.4243632379262217,0,1.1880122204585837,162,957f012e4031,0.5259577631950378,1.5234726667404175,0.1666666716337204,0.14384099455923594,1.0,0,0.8986165257234122,75,f634ee56b726,0.5763775110244751,1.9952424764633179,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.888686007528363,155,f6d7dbe3f71e,0.6149582862854004,2.3562369346618652,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.9747761661995037,189,a49d5a99c1d7,0.47267037630081177,1.024870753288269,0.0,0.0,0.0,0,0.5451617874205112,147,a2140782858a,0.4149330258369446,0.484631210565567,0.125,0.11157175065711056,0.4243632379262217,0,0.5101468456252383,60,90e3d91fbf4d,0.5616966485977173,1.8578758239746094,0.1111111119389534,0.2027325123874243,0.3914217993657387,0,0.8270481809222454,19,9d76ae41867e,0.4354514479637146,0.6766189336776733,0.0,0.0,0.0,0,0.46083279699087143,73,a40c650a049f,0.5121767520904541,1.3945257663726807,0.0,0.27980784039629336,0.0,0,0.6206831438040074,29,ef7349785e11,0.3977773189544678,0.32410791516304016,0.1428571492433548,0.0,0.46335877870863124,0,0.4864358632399277
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7765964269638062,4.33233118057251,0.375,0.09116076173031373,1.0,0,1.3079419619134842,126,ebdb003908ef,0.4616272449493408,1.0441676378250122,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.5873697091797533,207,7663c229a426,0.4640745222568512,1.0697163343429565,0.125,0.3465735069466602,0.4869639139366842,0,0.5498152792623168,157,018f6a0e7f9a,0.42932799458503723,0.7069752216339111,0.1538461595773697,0.20273252627630822,0.4653176280529234,0,0.47921463478712584,210,39fb30c0c188,0.4154530465602875,0.5621258616447449,0.0,0.0,0.0,0,0.34947825968265533,208,c1c0caaa937b,0.4100099503993988,0.5053018927574158,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.3983238374195406,9,3cdbc3929112,0.45357757806777954,0.9601320624351501,0.1111111119389534,0.2027325123874243,0.3263305849633995,0,0.4958236259405018,204,62b52b411f3a,0.6231990456581116,2.7309184074401855,0.25,0.2027325123874243,0.7370548607343586,0,0.9375845443052195,59,da6e8742f6bf,0.6200014352798462,2.6975367069244385,0.25,0.2027325123874243,0.6211695670957962,0,0.9021190266263986,181,49ccfbfcfc0a,0.4980214834213257,1.4241102933883667,0.1111111119389534,0.2027325123874243,0.47072232479609577,0,0.6233511297258281
7,bfcc3cdee21d,devise research or testing protocols,141,dbc0d59bd942,0.5807905197143555,2.1837093830108643,0.125,0.11157175065711056,0.666730880547555,0,1.0981598395818775,214,fc824bfe7bf0,0.5463796854019165,1.748399257659912,0.125,0.11157175065711056,1.0,0,1.0632100824705586,220,7cd42be784e2,0.6245636343955994,2.7374558448791504,0.0,0.11157175065711056,0.0,0,1.0944214139572606,56,269bfa3db5c6,0.6049578189849854,2.4894349575042725,0.0,0.11157175065711056,0.0,0,1.0262634654036984,205,45b6fa08d56b,0.5282946825027466,1.5196170806884766,0.1666666716337204,0.14384099455923594,0.8016645111345602,0,0.9469572436178311,59,da6e8742f6bf,0.5558948516845703,1.8687697649002075,0.1428571492433548,0.0,0.7279980425438168,0,1.0320928231974662,173,49c0d2367c5d,0.5180368423461914,1.3898515701293945,0.125,0.11157175065711056,0.666730880547555,0,0.8824809763545101,208,c1c0caaa937b,0.45680275559425354,0.6152170300483704,0.1428571492433548,0.0,0.7279980425438168,0,0.6920812786718429,158,16ac0e74dbe1,0.5597026944160461,1.916940450668335,0.0,0.0,0.0,0,0.8745164126157761,183,ff9c96c6d776,0.45382189750671387,0.5775080323219299,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.6449224669682246
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,9,3cdbc3929112,0.5453643202781677,3.031778335571289,0.27272728085517883,0.45814529093709055,1.0,0,1.2998200133280922,139,80c1c070d6f0,0.4228295683860779,1.3554542064666748,0.0714285746216774,0.34657354027998,0.3384517146224187,0,0.7271747133546813,72,91e3b64a6f04,0.4133627116680145,1.2259438037872314,0.0625,0.1783374505407972,0.3399328564670396,0,0.7030181664634059,94,832ecabbf00a,0.515148401260376,2.618412494659424,0.0714285746216774,0.34657354027998,0.2791607921593588,0,1.0385531645976942,73,a40c650a049f,0.3836953639984131,0.8200827240943909,0.0625,0.1783374505407972,0.3583795484870567,0,0.6027170219902303,174,003763627ff4,0.4335974454879761,1.502763032913208,0.06666667014360428,0.25541277854966626,0.20334964494839133,0,0.736308728841616,11,810124c49b5c,0.38196176290512085,0.7963663339614868,0.07692307978868484,0.34657354027998,0.22046322892919656,0,0.5530153048451274,57,c1933354ef21,0.38294315338134766,0.809792160987854,0.1818181872367859,0.6019862854963265,0.6591046042245914,0,0.648389868788549,148,253c9a1feb09,0.39764177799224854,1.0108752250671387,0.0714285746216774,0.34657354027998,0.3971492778525809,0,0.6528500413856563,44,2d4009710863,0.399478942155838,1.036008358001709,0.0714285746216774,0.34657354027998,0.22046322892919656,0,0.6151699890609115
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7689198851585388,3.7252237796783447,0.3333333432674408,0.0,1.0,0,1.3166666626930237,12,9251af4a3821,0.4555211067199707,0.4660445749759674,0.125,0.11157175065711056,0.3639750440568452,0,0.48741315321172346,84,c6940290ea74,0.5790575742721558,1.7507575750350952,0.2857142984867096,0.11157175065711056,0.7852673921958094,0,0.8530153257335917,195,6b483cafcca2,0.6156210899353027,2.1309986114501953,0.1428571492433548,0.0,0.5399943009509689,0,0.8859506290528687,198,edb3d68bc36f,0.6258712410926819,2.2375946044921875,0.125,0.11157175065711056,0.3639750440568452,0,0.8600226307019101,6,75e527217c38,0.45357757806777954,0.44583290815353394,0.1111111119389534,0.2027325123874243,0.4300943149444768,0,0.49564182075986585,10,365ec2897755,0.5647495985031128,1.6019623279571533,0.125,0.11157175065711056,0.4945492360194517,0,0.7589739141356769,8,04d0abdf0b41,0.5453643202781677,1.4003658294677734,0.27272728085517883,0.45814529093709055,0.9727897385813257,0,0.8106733086060814,186,4c7ceb754866,0.4836637079715729,0.7587125301361084,0.125,0.11157175065711056,0.3639750440568452,0,0.5489699059828625,49,824d3015533f,0.6104677319526672,2.077406406402588,0.2857142984867096,0.11157175065711056,0.8875827192916397,0,0.9462827679122792
10,365ec2897755,create models of engineering designs or methods,131,c3b47654a283,0.6934937238693237,3.9828298091888428,0.2857142984867096,0.11157175065711056,1.0,0,1.3158499870888218,9,3cdbc3929112,0.5647495985031128,2.348416566848755,0.125,0.11157175065711056,0.37911370641117814,0,0.8376046287859443,141,dbc0d59bd942,0.5788465738296509,2.5273783206939697,0.25,0.0,0.7567483094442703,0,0.9656923092183674,3,33b4e36b0d81,0.491601824760437,1.4198017120361328,0.09090909361839294,0.1682360897391828,0.31776738881410055,0,0.6285152543571624,154,17f9d29c543d,0.443779855966568,0.8126994371414185,0.09090909361839294,0.1682360897391828,0.32995785910006303,0,0.5052112248496621,127,3d77dabe7560,0.45710957050323486,0.9819208383560181,0.0,0.11157175065711056,0.0,0,0.4646600161186681,163,3ac212a9f7c3,0.45885157585144043,1.0040357112884521,0.1111111119389534,0.0,0.3712529889115234,0,0.5628960480632519,144,7a053b14e6ec,0.43764299154281616,0.73479163646698,0.0,0.11157175065711056,0.0,0,0.4127982419423089,29,ef7349785e11,0.5375311374664307,2.0028767585754395,0.0,0.11157175065711056,0.0,0,0.6789146636120305,98,207462e43a8e,0.48891472816467285,1.3856889009475708,0.0,0.1682360897391828,0.0,0,0.5465603263182949
