q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.920811891555786,0.2222222238779068,0.09116076173031373,1.0,0,1.0,191,a9be4c9c15a1,0.8656420707702637,0.7243326306343079,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,0.39675337076187134,103,6680fc36f234,0.8678971529006958,0.8223188519477844,0.1111111119389534,0.0,0.42020984140568113,0,0.41524556279182434,112,6379204aa590,0.8645613193511963,0.6773725748062134,0.0,0.11157175065711056,0.0,0,0.3878909945487976,151,506120811a05,0.8721280694007874,1.006157636642456,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.449940025806427,102,f2c8cd5b27ab,0.8745931386947632,1.1132681369781494,0.0,0.0,0.0,0,0.47015413641929626,3,33b4e36b0d81,0.8680416345596313,0.8285967707633972,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.41643035411834717,115,830e9df61ddd,0.8631854057312012,0.6175873279571533,0.125,0.11157175065711056,0.48843550658302737,0,0.3766081929206848,166,505ab84c8d87,0.8652080297470093,0.7054729461669922,0.0,0.09116076173031373,0.0,0,0.39319413900375366,55,4805101e52c6,0.8877776861190796,1.686153769493103,0.0,0.0,0.0,0,0.5782703757286072
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.7793960571289062,0.5,0.0,1.0,0,1.0,132,22f88df4c22c,0.9520204663276672,0.7137461304664612,0.0,0.0,0.0,0,0.7078531980514526,34,614f5f558eca,0.9567754864692688,0.8799301981925964,0.0,0.20273247072078354,0.0,0,0.7534124255180359,201,42bb588edac5,0.9560341835021973,0.8540222644805908,0.0,0.0,0.0,0,0.746309757232666,15,c5e6a1a8c44d,0.9499849081039429,0.6426050662994385,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.6883499622344971,164,0c9fad019eee,0.9599510431289673,0.9909133315086365,0.0,0.0,0.0,0,0.7838382720947266,212,0cf60304ef43,0.9537111520767212,0.7728342413902283,0.0,0.0,0.0,0,0.7240521311759949,35,e19513a85bed,0.9666408896446228,1.2247179746627808,0.20000000298023224,0.0,0.4185432430857448,0,0.8479356169700623,23,9a8d83e8b2e2,0.9589876532554626,0.9572436213493347,0.0,0.0,0.0,0,0.77460777759552,13,f7e80a0049c6,0.9519511461257935,0.7113234400749207,0.0,0.0,0.0,0,0.7071890234947205
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",73,a40c650a049f,0.8611295819282532,2.280621290206909,0.0,0.12565719826743915,0.0,0,1.0,182,8729852fc4b8,0.7764244079589844,0.3534547686576843,0.0,0.20273252627630822,0.0,0,0.4630569517612457,113,322cdff981bb,0.8487023115158081,1.9978828430175781,0.0,0.20273252627630822,0.0,0,0.9212239980697632,154,17f9d29c543d,0.8246914744377136,1.4516011476516724,0.06666667014360428,0.12565719826743915,0.2530296612542252,0,0.769020140171051,12,9251af4a3821,0.7681515216827393,0.1652344912290573,0.07692307978868484,0.29389328800662196,0.2956188121584017,0,0.4106154143810272,32,85a88cfd39f0,0.8340734243392944,1.665054202079773,0.0,0.20273252627630822,0.0,0,0.8284919857978821,213,f1b4c19341de,0.8019967675209045,0.9352633357048035,0.0,0.20273252627630822,0.0,0,0.6251592040061951,62,c6d9ce80244c,0.8418183922767639,1.8412635326385498,0.06666667014360428,0.12565719826743915,0.25792930770211675,0,0.877587080001831,133,70f88532846f,0.7716156244277954,0.24404789507389069,0.0,0.20273252627630822,0.0,0,0.43257424235343933,89,b03b706832f2,0.8002588152885437,0.8957223892211914,0.0,0.20273252627630822,0.0,0,0.6141424179077148
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.4717397689819336,0.0833333358168602,0.07707532800886907,0.485764528545711,0,1.0,102,f2c8cd5b27ab,0.8967130184173584,0.7275922298431396,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,0.5518617033958435,149,c9b79bbec6f3,0.8940768241882324,0.6194617748260498,0.0,0.27980784039629336,0.0,0,0.5240788459777832,214,fc824bfe7bf0,0.9018871784210205,0.9398240447044373,0.09090909361839294,0.1682360897391828,0.33780099145550035,0,0.6063921451568604,163,3ac212a9f7c3,0.9250744581222534,1.8909114599227905,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,0.8507629632949829,145,7809c19536e4,0.9031169414520264,0.9902660250663757,0.27272728085517883,0.0,1.0,0,0.6193526387214661,115,830e9df61ddd,0.8984416723251343,0.7984974980354309,0.0,0.27980784039629336,0.0,0,0.5700799822807312,14,ccf9fc39d00f,0.9028139114379883,0.9778364300727844,0.0,0.07707532800886907,0.0,0,0.6161590218544006,191,a9be4c9c15a1,0.9062695503234863,1.1195785999298096,0.1538461595773697,0.06676568738369093,0.4355340937421637,0,0.6525779962539673,117,f2f5eb941075,0.9015164971351624,0.9246195554733276,0.0,0.06676568738369093,0.0,0,0.6024855375289917
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.548413038253784,0.1666666716337204,0.0,1.0,0,1.0,186,4c7ceb754866,0.8776192665100098,1.045665979385376,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.6238254308700562,134,469df54e4928,0.8529014587402344,0.310416042804718,0.0,0.12565719826743915,0.0,0,0.4397742450237274,199,0d99df7b9f80,0.8629135489463806,0.6082332730293274,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,0.5143252611160278,66,196087c93944,0.852232813835144,0.29052671790122986,0.0,0.06676568738369093,0.0,0,0.43479546904563904,192,8562bf3caec4,0.8630205392837524,0.6114158034324646,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.5151218771934509,133,70f88532846f,0.8800419569015503,1.117730736732483,0.0,0.07707532800886907,0.0,0,0.6418650150299072,113,322cdff981bb,0.881372332572937,1.157303810119629,0.0833333358168602,0.07707532800886907,0.3784798271794378,0,0.6517711281776428,183,ff9c96c6d776,0.9021545052528381,1.7754852771759033,0.0833333358168602,0.07707532800886907,0.26970467609811594,0,0.8065171837806702,198,edb3d68bc36f,0.8650920391082764,0.673034131526947,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.5305464863777161
5,abdac161e57b,design medical devices or appliances,127,3d77dabe7560,0.9491155743598938,3.578537702560425,0.1428571492433548,0.0,0.46335877870863124,0,1.0,180,893bb3cbc01a,0.8759806752204895,1.076806664466858,0.0,0.11157175065711056,0.0,0,0.4764241576194763,138,ef5aeb4ce41e,0.8636296987533569,0.6543158292770386,0.0,0.14384099455923594,0.0,0,0.38800299167633057,173,49c0d2367c5d,0.8556942939758301,0.38286885619163513,0.0,0.11157175065711056,0.0,0,0.33119308948516846,161,f1f35b083d3a,0.8524264097213745,0.2710840702056885,0.0,0.11157175065711056,0.0,0,0.3077981770038605,120,a04637eaf44a,0.8614722490310669,0.5805158019065857,0.0,0.0,0.0,0,0.37255769968032837,148,253c9a1feb09,0.8540544509887695,0.32677462697029114,0.125,0.11157175065711056,0.4243632379262217,0,0.3194533884525299,21,c9b70de179fe,0.9039748311042786,2.034404993057251,0.0,0.0,0.0,0,0.6768354773521423,125,12a1310a48ad,0.859706699848175,0.5201215147972107,0.0,0.11157175065711056,0.0,0,0.3599180579185486,181,49ccfbfcfc0a,0.8986497521400452,1.8522495031356812,0.0,0.0,0.0,0,0.6387130618095398
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9234888553619385,0.375,0.09116076173031373,1.0,0,1.0,213,f1b4c19341de,0.8246273994445801,0.5505194067955017,0.0,0.0,0.0,0,0.4359188675880432,126,ebdb003908ef,0.8218483924865723,0.45105913281440735,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.4122760593891144,28,ce1178bafa1d,0.8519936800003052,1.5299549102783203,0.0,0.07707532800886907,0.0,0,0.6687415242195129,66,196087c93944,0.8739868402481079,2.317087173461914,0.0,0.14384101539256,0.0,0,0.8558515906333923,133,70f88532846f,0.8251218795776367,0.5682168006896973,0.0,0.0,0.0,0,0.4401257336139679,73,a40c650a049f,0.8194019198417664,0.3635002076625824,0.0,0.07707532800886907,0.0,0,0.3914623558521271,157,018f6a0e7f9a,0.8878378868103027,2.812814235687256,0.1538461595773697,0.20273252627630822,0.4653176280529234,0,0.9736914038658142,219,573d5b3bbb3d,0.8194268941879272,0.36439403891563416,0.0,0.2027325123874243,0.0,0,0.39167481660842896,116,1cf7420e0aac,0.8384153246879578,1.0439873933792114,0.0,0.0,0.0,0,0.5532217025756836
7,bfcc3cdee21d,devise research or testing protocols,49,824d3015533f,0.9508320093154907,2.41292667388916,0.0,0.11157175065711056,0.0,0,1.0,140,f07eaef01260,0.9146219491958618,0.456802636384964,0.0,0.0,0.0,0,0.5002763867378235,112,6379204aa590,0.9142774343490601,0.43819141387939453,0.0,0.0,0.0,0,0.4955218434333801,167,00c6f12023ab,0.9206034541130066,0.7799328565597534,0.0,0.0,0.0,0,0.582825243473053,171,02b5b4014078,0.9146506786346436,0.458354651927948,0.0,0.0,0.0,0,0.5006728768348694,94,832ecabbf00a,0.9153434634208679,0.49577996134757996,0.0,0.11157175065711056,0.0,0,0.5102337598800659,67,3574e4789085,0.9353547692298889,1.5768219232559204,0.0,0.11157175065711056,0.0,0,0.786403477191925,146,284cc33eb902,0.9227931499481201,0.8982236385345459,0.0,0.0,0.0,0,0.6130445599555969,87,bd28ef3a0af3,0.9362006187438965,1.6225160360336304,0.0,0.0,0.0,0,0.7980768084526062,9,3cdbc3929112,0.9371958374977112,1.6762793064117432,0.0,0.0,0.0,0,0.8118115067481995
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.3216731548309326,0.1428571492433548,0.25541277854966626,0.9517409927963266,0,1.0,134,469df54e4928,0.8334624171257019,1.3000422716140747,0.0,0.05268025227335804,0.0,0,0.7173949480056763,72,91e3b64a6f04,0.8210703730583191,0.8107413053512573,0.0625,0.1783374505407972,0.5779808570257332,0,0.5820437669754028,3,33b4e36b0d81,0.8152856826782227,0.5823322534561157,0.0625,0.1783374505407972,0.32084541784426,0,0.518860936164856,133,70f88532846f,0.8477686047554016,1.864923357963562,0.0,0.25541277854966626,0.0,0,0.8736531734466553,174,003763627ff4,0.8107553124427795,0.4034501910209656,0.06666667014360428,0.25541277854966626,0.34575122653536694,0,0.4693782925605774,27,88a991273442,0.817444920539856,0.6675899624824524,0.0,0.45814529093709055,0.0,0,0.5424450039863586,53,a68e486bae8e,0.810447096824646,0.39128026366233826,0.0,0.25541277854966626,0.0,0,0.46601182222366333,4,9fc64a999e12,0.8166204690933228,0.6350364089012146,0.0,0.1783374505407972,0.0,0,0.5334399938583374,71,1cb040da80f9,0.8339754343032837,1.3202987909317017,0.0,0.1783374505407972,0.0,0,0.722998321056366
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.1837079524993896,0.3333333432674408,0.0,1.0,0,1.0,167,00c6f12023ab,0.9009374976158142,0.6506189107894897,0.0,0.0,0.0,0,0.5772827863693237,178,78b65ab85b19,0.913955807685852,1.1461116075515747,0.0,0.11157175065711056,0.0,0,0.7139045000076294,127,3d77dabe7560,0.9113497734069824,1.0469228029251099,0.0,0.0,0.0,0,0.6865552663803101,195,6b483cafcca2,0.9023965001106262,0.7061503529548645,0.1428571492433548,0.0,0.5399943009509689,0,0.5925943851470947,148,253c9a1feb09,0.9022909998893738,0.7021348476409912,0.0,0.11157175065711056,0.0,0,0.5914872288703918,78,98d9410b9c2c,0.8973605632781982,0.514476478099823,0.0,0.0,0.0,0,0.5397443771362305,49,824d3015533f,0.9270074367523193,1.6428723335266113,0.2857142984867096,0.11157175065711056,0.8875827192916397,0,0.8508759140968323,47,8f3ed6033a9e,0.913330078125,1.1222954988479614,0.0,0.11157175065711056,0.0,0,0.7073377370834351,141,dbc0d59bd942,0.9200794696807861,1.3791855573654175,0.0,0.11157175065711056,0.0,0,0.7781697511672974
