q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.8030195236206055,0.2222222238779068,0.09116076173031373,1.0,0,1.3232197425059258,191,a9be4c9c15a1,0.8656420707702637,1.0085452795028687,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,0.6281182273421153,61,dc17b84d2d6b,0.9011738300323486,2.3582775592803955,0.0,0.0,0.0,0,0.7901587039232254,103,6680fc36f234,0.8678971529006958,1.0942082405090332,0.1111111119389534,0.0,0.42020984140568113,0,0.6188740920214184,55,4805101e52c6,0.8877776861190796,1.8494030237197876,0.0,0.0,0.0,0,0.6810247898101807,151,506120811a05,0.8721280694007874,1.2549265623092651,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.6211621220664717,100,6002eddcd7d0,0.8833179473876953,1.679992437362671,0.125,0.11157175065711056,0.31816080182986706,0,0.7113283622708675,3,33b4e36b0d81,0.8680416345596313,1.0996966361999512,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.6546402343897298,54,00ee16f445cd,0.8762550354003906,1.411696195602417,0.1111111119389534,0.0,0.2913848927649772,0,0.6540689622618983,44,2d4009710863,0.8774192929267883,1.4559223651885986,0.1111111119389534,0.0,0.2913848927649772,0,0.6634580051162073
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.746964454650879,0.5,0.0,1.0,0,1.300000000745058,77,9b108680399f,0.9679151177406311,1.3727900981903076,0.5,0.0,1.0,0,1.1828788481652737,30,c6a87cc5d35e,0.9773536324501038,1.614737629890442,0.20000000298023224,0.0,0.4185432430857448,0,1.1420646517662711,118,eb485b5cf6a6,0.9752962589263916,1.561998724937439,0.0,0.0,0.0,0,1.0393465086817741,35,e19513a85bed,0.9666408896446228,1.340126395225525,0.20000000298023224,0.0,0.4185432430857448,0,1.053652106144876,57,c1933354ef21,0.9737752079963684,1.5230079889297485,0.0,0.0,0.0,0,1.026560716331005,31,53acfaed8c01,0.9695610404014587,1.414981722831726,0.0,0.20273247072078354,0.0,0,0.9810003818526976,79,5b935f6121b7,0.9702692031860352,1.433134913444519,0.0,0.0,0.0,0,0.9970897287130356,200,9ff41f315fd5,0.96819007396698,1.3798383474349976,0.0,0.0,0.0,0,0.9796128869056702,85,e9ceea91a9c3,0.9637342691421509,1.2656179666519165,0.0,0.0,0.0,0,0.942157968878746
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",73,a40c650a049f,0.8611295819282532,2.3178608417510986,0.0,0.12565719826743915,0.0,0,1.0937171415767442,113,322cdff981bb,0.8487023115158081,2.077847719192505,0.0,0.20273252627630822,0.0,0,1.0224345776928565,62,c6d9ce80244c,0.8418183922767639,1.94489586353302,0.06666667014360428,0.12565719826743915,0.16216015645362905,0,1.0234454256290018,4,9fc64a999e12,0.8468748331069946,2.042552947998047,0.06666667014360428,0.12565719826743915,0.15907974871851754,0,1.0499446945491249,28,ce1178bafa1d,0.8503251075744629,2.109189510345459,0.0,0.12565719826743915,0.0,0,1.0350934104404221,32,85a88cfd39f0,0.8340734243392944,1.795314073562622,0.0,0.20273252627630822,0.0,0,0.943060011018624,154,17f9d29c543d,0.8246914744377136,1.6141165494918823,0.06666667014360428,0.12565719826743915,0.15907974871851754,0,0.9303100066485817,66,196087c93944,0.8210670351982117,1.5441162586212158,0.0625,0.05889151088374822,0.23331435641424098,0,0.9329947268028573,142,c71cb5036aef,0.8327152729034424,1.7690834999084473,0.0,0.12565719826743915,0.0,0,0.9395446540198098,183,ff9c96c6d776,0.8158715963363647,1.4437745809555054,0.0714285746216774,0.20273252627630822,0.17142840501173576,0,0.8816079706356632
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.5504038333892822,0.0833333358168602,0.07707532800886907,0.485764528545711,0,1.2092540343894724,163,3ac212a9f7c3,0.9250744581222534,2.0381526947021484,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,1.0426464933769608,44,2d4009710863,0.9178847074508667,1.7780652046203613,0.20000000298023224,0.1682360897391828,0.5983085886151066,0,1.0071759862086302,145,7809c19536e4,0.9031169414520264,1.2438446283340454,0.27272728085517883,0.0,1.0,0,0.9631609097123146,63,50171927f859,0.9330109357833862,2.3252530097961426,0.0,0.0,0.0,0,1.0364629551768303,61,dc17b84d2d6b,0.9246058464050293,2.0212008953094482,0.09090909361839294,0.1682360897391828,0.28498807470557874,0,1.0056387088216796,191,a9be4c9c15a1,0.9062695503234863,1.3578895330429077,0.1538461595773697,0.06676568738369093,0.4355340937421637,0,0.858342604254955,214,fc824bfe7bf0,0.9018871784210205,1.1993582248687744,0.09090909361839294,0.1682360897391828,0.33780099145550035,0,0.78883662902345,102,f2c8cd5b27ab,0.8967130184173584,1.0121841430664062,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,0.7555134478824044,98,207462e43a8e,0.904608428478241,1.297798752784729,0.07692307978868484,0.0,0.2439304707225717,0,0.8022800638719538
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.4969639778137207,0.1666666716337204,0.0,1.0,0,1.3333333358168602,116,1cf7420e0aac,0.8921663761138916,1.6159802675247192,0.0833333358168602,0.07707532800886907,0.4682199018857571,0,0.9689215800789152,199,0d99df7b9f80,0.8629135489463806,0.8995663523674011,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,0.873227382450477,183,ff9c96c6d776,0.9021545052528381,1.8605936765670776,0.0833333358168602,0.07707532800886907,0.26970467609811594,0,0.9848055351056606,196,0f2541e582f8,0.9135481119155884,2.1396279335021973,0.0,0.07707532800886907,0.0,0,0.99971340022601,113,322cdff981bb,0.881372332572937,1.351629614830017,0.0833333358168602,0.07707532800886907,0.3784798271794378,0,0.8756878439631607,28,ce1178bafa1d,0.901413083076477,1.8424359560012817,0.0,0.0,0.0,0,0.9233652353286743,73,a40c650a049f,0.8963234424591064,1.717788577079773,0.0,0.0,0.0,0,0.8897271901369095,62,c6d9ce80244c,0.9012966752052307,1.8395850658416748,0.0,0.0,0.0,0,0.9225958958268166,133,70f88532846f,0.8800419569015503,1.3190481662750244,0.0,0.07707532800886907,0.0,0,0.7782670500091444
5,abdac161e57b,design medical devices or appliances,127,3d77dabe7560,0.9491155743598938,3.648449659347534,0.1428571492433548,0.0,0.46335877870863124,0,1.2015539827330546,162,957f012e4031,0.9011721611022949,2.133586883544922,0.1666666716337204,0.14384099455923594,1.0,0,0.99663558919616,21,c9b70de179fe,0.9039748311042786,2.222142457962036,0.0,0.0,0.0,0,0.7849835157394409,206,c32f9f13a109,0.8941020965576172,1.910194754600525,0.0,0.11157175065711056,0.0,0,0.7105076734415516,155,f6d7dbe3f71e,0.9061822295188904,2.2918894290924072,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.908630336343108,181,49ccfbfcfc0a,0.8986497521400452,2.053886651992798,0.0,0.0,0.0,0,0.7478222623467445,59,da6e8742f6bf,0.89656001329422,1.9878573417663574,0.0,0.0,0.0,0,0.7332389429211617,110,d9dbdf9d5d1a,0.8926516175270081,1.8643641471862793,0.0,0.0,0.0,0,0.7059639915823936,180,893bb3cbc01a,0.8759806752204895,1.3376141786575317,0.0,0.11157175065711056,0.0,0,0.584046603410624,138,ef5aeb4ce41e,0.8636296987533569,0.9473616480827332,0.0,0.14384099455923594,0.0,0,0.49624134917445445
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9866325855255127,0.375,0.09116076173031373,1.0,0,1.3079419619134842,157,018f6a0e7f9a,0.8878378868103027,2.887194871902466,0.1538461595773697,0.20273252627630822,0.4653176280529234,0,1.166050588752909,66,196087c93944,0.8739868402481079,2.441800117492676,0.0,0.14384101539256,0.0,0,0.9552335983964791,28,ce1178bafa1d,0.8519936800003052,1.7345870733261108,0.0,0.07707532800886907,0.0,0,0.7799952121786009,126,ebdb003908ef,0.8218483924865723,0.7652338743209839,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.6791212250450792,192,8562bf3caec4,0.8575725555419922,1.913981556892395,0.0,0.09116076173031373,0.0,0,0.8245894795946062,213,f1b4c19341de,0.8246273994445801,0.8545957207679749,0.0,0.0,0.0,0,0.5616444945335388,60,90e3d91fbf4d,0.8567813038825989,1.888538122177124,0.0,0.0,0.0,0,0.8227227926254272,116,1cf7420e0aac,0.8384153246879578,1.297960877418518,0.0,0.0,0.0,0,0.6735975742340088,161,f1f35b083d3a,0.8477932214736938,1.5995168685913086,0.0,0.09116076173031373,0.0,0,0.7451847604206979
7,bfcc3cdee21d,devise research or testing protocols,49,824d3015533f,0.9508320093154907,2.418097734451294,0.0,0.11157175065711056,0.0,0,1.0944214139572606,188,be19a52818cf,0.931056797504425,1.5217634439468384,0.125,0.11157175065711056,1.0,0,1.0809422556749806,197,3a46124701c0,0.9454963207244873,2.1762516498565674,0.0,0.0,0.0,0,1.0315031483769417,87,bd28ef3a0af3,0.9362006187438965,1.754913091659546,0.0,0.0,0.0,0,0.9121697321534157,48,23ca56c5d573,0.9379435777664185,1.8339147567749023,0.0,0.0,0.0,0,0.9345449432730675,67,3574e4789085,0.9353547692298889,1.71657395362854,0.0,0.11157175065711056,0.0,0,0.8957325790516362,9,3cdbc3929112,0.9371958374977112,1.8000226020812988,0.0,0.0,0.0,0,0.9249458834528923,144,7a053b14e6ec,0.9366430044174194,1.7749648094177246,0.0,0.0,0.0,0,0.9178488478064537,78,98d9410b9c2c,0.9240902662277222,1.205997347831726,0.0,0.0,0.0,0,0.7567032501101494,167,00c6f12023ab,0.9206034541130066,1.0479536056518555,0.0,0.0,0.0,0,0.7119413614273071
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.4293744564056396,0.1428571492433548,0.25541277854966626,0.9517409927963266,0,1.3108788973274952,196,0f2541e582f8,0.8514794111251831,2.1533844470977783,0.06666667014360428,0.25541277854966626,0.5307918967805789,0,1.1355308030897364,163,3ac212a9f7c3,0.8529791235923767,2.2060651779174805,0.0714285746216774,0.34657354027998,0.47465136373451294,0,1.1313258949672595,56,269bfa3db5c6,0.8533832430839539,2.2202608585357666,0.0714285746216774,0.34657354027998,0.525348636265487,0,1.1479965108170973,133,70f88532846f,0.8477686047554016,2.023033618927002,0.0,0.25541277854966626,0.0,0,0.9720896844420197,191,a9be4c9c15a1,0.8411663770675659,1.7911149263381958,0.05882352963089943,0.11157176315710626,0.29928663482705686,0,0.9834722772897652,72,91e3b64a6f04,0.8210703730583191,1.0851958990097046,0.0625,0.1783374505407972,0.5779808570257332,0,0.8506093881497292,134,469df54e4928,0.8334624171257019,1.5204954147338867,0.0,0.05268025227335804,0.0,0,0.8398283407946687,22,bab0b2935945,0.8226231336593628,1.1397403478622437,0.13333334028720856,0.1783374505407972,0.7705082336308209,0,0.9093787465941949,71,1cb040da80f9,0.8339754343032837,1.5385162830352783,0.0,0.1783374505407972,0.0,0,0.8386518182497851
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.286855697631836,0.3333333432674408,0.0,1.0,0,1.3166666626930237,59,da6e8742f6bf,0.9369021058082581,2.1429786682128906,0.1428571492433548,0.0,0.5091386755288673,0,1.1700411592915911,49,824d3015533f,0.9270074367523193,1.8130534887313843,0.2857142984867096,0.11157175065711056,0.8875827192916397,0,1.1481423724795685,7,bfcc3cdee21d,0.9371958374977112,2.152772903442383,0.0,0.0,0.0,0,1.0594397187232971,135,4055e1544ee0,0.9300020337104797,1.9129046201705933,0.0,0.14384099455923594,0.0,0,0.9796870233554389,10,365ec2897755,0.9170449376106262,1.480866551399231,0.125,0.11157175065711056,0.4945492360194517,0,0.9645160910975757,197,3a46124701c0,0.9257937669754028,1.7725852727890015,0.0,0.0,0.0,0,0.944432221353054,74,318da22b73fb,0.9230011701583862,1.6794695854187012,0.0,0.0,0.0,0,0.916264533996582,195,6b483cafcca2,0.9023965001106262,0.9924329519271851,0.1428571492433548,0.0,0.5399943009509689,0,0.8342327404889973,141,dbc0d59bd942,0.9200794696807861,1.5820492506027222,0.0,0.11157175065711056,0.0,0,0.8812161360374913
