q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.9392067193984985,3.920811891555786,0.2222222238779068,0.09116076173031373,1.0,1,1.4964394850118519,61,dc17b84d2d6b,0.9011738300323486,2.26823353767395,0.0,0.0,0.0,1,0.6509392738342286,55,4805101e52c6,0.8877776861190796,1.686153769493103,0.0,0.0,0.0,0,0.3899350091814995,191,a9be4c9c15a1,0.8656420707702637,0.7243326306343079,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,0.19346440142422652,100,6002eddcd7d0,0.8833179473876953,1.4923723936080933,0.125,0.11157175065711056,0.31816080182986706,0,0.39732000827685676,54,00ee16f445cd,0.8762550354003906,1.1854796409606934,0.1111111119389534,0.0,0.2913848927649772,0,0.2919957897374903,44,2d4009710863,0.8774192929267883,1.2360681295394897,0.1111111119389534,0.0,0.2913848927649772,0,0.3099945596168314,103,6680fc36f234,0.8678971529006958,0.8223188519477844,0.1111111119389534,0.0,0.42020984140568113,0,0.2014351351858173,15,c5e6a1a8c44d,0.8800499439239502,1.350373387336731,0.0,0.11157175065711056,0.0,0,0.25705721834139533,3,33b4e36b0d81,0.8680416345596313,0.8285967707633972,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.24233382416007315
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9825118780136108,1.7793960571289062,0.5,0.0,1.0,1,1.4500000014901162,30,c6a87cc5d35e,0.9773536324501038,1.5991195440292358,0.20000000298023224,0.0,0.4185432430857448,1,1.1516059439407,118,eb485b5cf6a6,0.9752962589263916,1.5272160768508911,0.0,0.0,0.0,1,0.9837980598211289,77,9b108680399f,0.9679151177406311,1.2692512273788452,0.5,0.0,1.0,1,0.9563654720783235,57,c1933354ef21,0.9737752079963684,1.474056601524353,0.0,0.0,0.0,1,0.9276827305555344,79,5b935f6121b7,0.9702692031860352,1.3515245914459229,0.0,0.0,0.0,1,0.7983376041054726,31,53acfaed8c01,0.9695610404014587,1.3267748355865479,0.0,0.20273247072078354,0.0,1,0.7519384938389286,35,e19513a85bed,0.9666408896446228,1.2247179746627808,0.20000000298023224,0.0,0.4185432430857448,1,0.7695604439602504,200,9ff41f315fd5,0.96819007396698,1.2788606882095337,0.0,0.0,0.0,1,0.7216333627700806,85,e9ceea91a9c3,0.9637342691421509,1.1231340169906616,0.0,0.0,0.0,1,0.5572477832436562
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",73,a40c650a049f,0.8611295819282532,2.280621290206909,0.0,0.12565719826743915,0.0,1,1.2374342831534884,62,c6d9ce80244c,0.8418183922767639,1.8412635326385498,0.06666667014360428,0.12565719826743915,0.6950286255240965,0,1.0729286114723382,113,322cdff981bb,0.8487023115158081,1.9978828430175781,0.0,0.20273252627630822,0.0,1,1.0281995869662566,4,9fc64a999e12,0.8468748331069946,1.9563050270080566,0.06666667014360428,0.12565719826743915,0.6818258043070328,0,1.1500545944119143,28,ce1178bafa1d,0.8503251075744629,2.034803867340088,0.0,0.12565719826743915,0.0,1,1.0622232409877321,154,17f9d29c543d,0.8246914744377136,1.4516011476516724,0.06666667014360428,0.12565719826743915,0.6818258043070328,1,0.8443145836735416,66,196087c93944,0.8210670351982117,1.3691397905349731,0.0625,0.05889151088374822,1.0,1,0.8887028271039547,32,85a88cfd39f0,0.8340734243392944,1.665054202079773,0.0,0.20273252627630822,0.0,1,0.7909697778012557,142,c71cb5036aef,0.8327152729034424,1.6341543197631836,0.0,0.12565719826743915,0.0,1,0.7766528057617685,183,ff9c96c6d776,0.8158715963363647,1.2509360313415527,0.0714285746216774,0.20273252627630822,0.7347529215363455,0,0.6606766911159495
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,38,a3c08ed1a115,0.9392349123954773,2.4717397689819336,0.0833333358168602,0.07707532800886907,0.485764528545711,1,1.3713551630698029,63,50171927f859,0.9330109357833862,2.216447114944458,0.0,0.0,0.0,1,1.0872780412435532,163,3ac212a9f7c3,0.9250744581222534,1.8909114599227905,0.09090909361839294,0.1682360897391828,0.41404231592543655,1,0.9746003710372103,61,dc17b84d2d6b,0.9246058464050293,1.8716901540756226,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.9238181888683393,44,2d4009710863,0.9178847074508667,1.596004843711853,0.20000000298023224,0.1682360897391828,0.5983085886151066,1,0.8330874342382115,145,7809c19536e4,0.9031169414520264,0.9902660250663757,0.27272728085517883,0.0,1.0,1,0.5940946586430074,191,a9be4c9c15a1,0.9062695503234863,1.1195785999298096,0.1538461595773697,0.06676568738369093,0.4355340937421637,1,0.5034545657909211,169,2d10ff099811,0.906436562538147,1.1264290809631348,0.0,0.1682360897391828,0.0,1,0.37568404023915736,98,207462e43a8e,0.904608428478241,1.051443338394165,0.07692307978868484,0.0,0.2439304707225717,1,0.41411298491884935,199,0d99df7b9f80,0.9044727683067322,1.0458788871765137,0.0,0.07707532800886907,0.0,1,0.3334579345507881
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.9281389713287354,2.548413038253784,0.1666666716337204,0.0,1.0,1,1.5166666716337205,196,0f2541e582f8,0.9135481119155884,2.114396810531616,0.0,0.07707532800886907,0.0,1,0.9770644073112271,183,ff9c96c6d776,0.9021545052528381,1.7754852771759033,0.0833333358168602,0.07707532800886907,0.26970467609811594,1,0.8407600113454387,28,ce1178bafa1d,0.901413083076477,1.7534312009811401,0.0,0.0,0.0,1,0.7641852155327797,116,1cf7420e0aac,0.8921663761138916,1.478380799293518,0.0833333358168602,0.07707532800886907,0.4682199018857571,1,0.7212751752855351,62,c6d9ce80244c,0.9012966752052307,1.7499685287475586,0.0,0.0,0.0,1,0.7620692059397698,73,a40c650a049f,0.8963234424591064,1.6020358800888062,0.0,0.0,0.0,1,0.671667318046093,113,322cdff981bb,0.881372332572937,1.157303810119629,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,0.5008675575877467,53,a68e486bae8e,0.8940012454986572,1.5329604148864746,0.0,0.07707532800886907,0.0,1,0.6217476417048238,133,70f88532846f,0.8800419569015503,1.117730736732483,0.0,0.07707532800886907,0.0,1,0.36800008162095754
5,abdac161e57b,design medical devices or appliances,127,3d77dabe7560,0.9491155743598938,3.578537702560425,0.1428571492433548,0.0,0.46335877870863124,1,1.360436209724383,162,957f012e4031,0.9011721611022949,1.9385337829589844,0.1666666716337204,0.14384099455923594,1.0,1,0.8766849015034729,21,c9b70de179fe,0.9039748311042786,2.034404993057251,0.0,0.0,0.0,1,0.6441441282629967,155,f6d7dbe3f71e,0.9061822295188904,2.1099135875701904,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.795133485970626,206,c32f9f13a109,0.8941020965576172,1.6966875791549683,0.0,0.11157175065711056,0.0,1,0.5004801803214998,181,49ccfbfcfc0a,0.8986497521400452,1.8522495031356812,0.0,0.0,0.0,1,0.5726736664772034,59,da6e8742f6bf,0.89656001329422,1.7807656526565552,0.0,0.0,0.0,1,0.5446262389421463,110,d9dbdf9d5d1a,0.8926516175270081,1.6470708847045898,0.0,0.0,0.0,0,0.44216977804899216,180,893bb3cbc01a,0.8759806752204895,1.076806664466858,0.0,0.11157175065711056,0.0,1,0.2572637588663549,138,ef5aeb4ce41e,0.8636296987533569,0.6543158292770386,0.0,0.14384099455923594,0.0,1,0.08826837876215501
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8909302353858948,2.9234888553619385,0.375,0.09116076173031373,1.0,1,1.4658839238269687,157,018f6a0e7f9a,0.8878378868103027,2.812814235687256,0.1538461595773697,0.20273252627630822,0.4653176280529234,1,1.2848898689734423,66,196087c93944,0.8739868402481079,2.317087173461914,0.0,0.14384101539256,0.0,1,0.9338518602555973,28,ce1178bafa1d,0.8519936800003052,1.5299549102783203,0.0,0.07707532800886907,0.0,1,0.5488273937924167,192,8562bf3caec4,0.8575725555419922,1.7296221256256104,0.0,0.09116076173031373,0.0,0,0.5967793462260127,60,90e3d91fbf4d,0.8567813038825989,1.701303243637085,0.0,0.0,0.0,0,0.5918030962347984,70,d5bb4574fc4d,0.8496978282928467,1.4477866888046265,0.0,0.09116076173031373,0.0,1,0.5065294308050036,161,f1f35b083d3a,0.8477932214736938,1.3796210289001465,0.0,0.09116076173031373,0.0,0,0.4226081368906855,116,1cf7420e0aac,0.8384153246879578,1.0439873933792114,0.0,0.0,0.0,0,0.2647026479244232,213,f1b4c19341de,0.8246273994445801,0.5505194067955017,0.0,0.0,0.0,1,0.0691379189491272
7,bfcc3cdee21d,devise research or testing protocols,49,824d3015533f,0.9508320093154907,2.41292667388916,0.0,0.11157175065711056,0.0,1,1.2388428279145212,197,3a46124701c0,0.9454963207244873,2.1246843338012695,0.0,0.0,0.0,1,1.0645140141248703,188,be19a52818cf,0.931056797504425,1.3446388244628906,0.125,0.11157175065711056,1.0,1,0.8407137625797244,48,23ca56c5d573,0.9379435777664185,1.7166733741760254,0.0,0.0,0.0,1,0.8019560158252717,87,bd28ef3a0af3,0.9362006187438965,1.6225160360336304,0.0,0.0,0.0,1,0.7413650557398797,9,3cdbc3929112,0.9371958374977112,1.6762793064117432,0.0,0.0,0.0,1,0.7759621173143387,67,3574e4789085,0.9353547692298889,1.5768219232559204,0.0,0.11157175065711056,0.0,1,0.7008034267409297,144,7a053b14e6ec,0.9366430044174194,1.6464143991470337,0.0,0.0,0.0,1,0.7567438364028931,135,4055e1544ee0,0.9256011247634888,1.049914836883545,0.0,0.14384099455923594,0.0,1,0.35850794800892394,78,98d9410b9c2c,0.9240902662277222,0.9682959318161011,0.0,0.0,0.0,1,0.32036965638399123
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,182,8729852fc4b8,0.859336256980896,2.3216731548309326,0.1428571492433548,0.25541277854966626,1.0,0,1.445887298256827,196,0f2541e582f8,0.8514794111251831,2.0114448070526123,0.06666667014360428,0.25541277854966626,0.5577062465503878,0,1.116783777677342,163,3ac212a9f7c3,0.8529791235923767,2.0706610679626465,0.0714285746216774,0.34657354027998,0.4987190499590982,0,1.1295569838778605,56,269bfa3db5c6,0.8533832430839539,2.086617946624756,0.0714285746216774,0.34657354027998,0.5519869799050592,0,1.1564151062250292,133,70f88532846f,0.8477686047554016,1.864923357963562,0.0,0.25541277854966626,0.0,1,0.9093395033187395,191,a9be4c9c15a1,0.8411663770675659,1.6042338609695435,0.05882352963089943,0.11157176315710626,0.31446227187054077,0,0.781296198410277,134,469df54e4928,0.8334624171257019,1.3000422716140747,0.0,0.05268025227335804,0.0,1,0.5398919360558712,153,8594b6595861,0.8378090858459473,1.4716708660125732,0.0,0.34657354027998,0.0,0,0.5789120471765881,71,1cb040da80f9,0.8339754343032837,1.3202987909317017,0.0,0.1783374505407972,0.0,0,0.49130156082742055,36,e5bfe7745119,0.8309128880500793,1.1993738412857056,0.06666667014360428,0.25541277854966626,0.3632828985536383,0,0.5044207073422284
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9412170648574829,2.1837079524993896,0.3333333432674408,0.0,1.0,1,1.4833333253860475,59,da6e8742f6bf,0.9369021058082581,2.0194754600524902,0.1428571492433548,0.0,0.5091386755288673,1,1.2589155083889076,49,824d3015533f,0.9270074367523193,1.6428723335266113,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.0776859410881825,7,bfcc3cdee21d,0.9371958374977112,2.0306551456451416,0.0,0.0,0.0,1,1.139971348643303,135,4055e1544ee0,0.9300020337104797,1.7568503618240356,0.0,0.14384099455923594,0.0,1,0.9287506584204727,197,3a46124701c0,0.9257937669754028,1.596678614616394,0.0,0.0,0.0,1,0.8279883146286011,74,318da22b73fb,0.9230011701583862,1.4903889894485474,0.0,0.0,0.0,1,0.751577328145504,141,dbc0d59bd942,0.9200794696807861,1.3791855573654175,0.0,0.11157175065711056,0.0,1,0.6604767345769854,10,365ec2897755,0.9170449376106262,1.2636876106262207,0.125,0.11157175065711056,0.4945492360194517,1,0.7145898279889077,47,8f3ed6033a9e,0.913330078125,1.1222954988479614,0.0,0.11157175065711056,0.0,1,0.4758001022918672
