q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,191,a9be4c9c15a1,0.5728573799133301,2.0434482097625732,0.2164948433637619,0.23500177712287373,0.5898036247287963,1,1.4743159673831499,62,c6d9ce80244c,0.5526326298713684,1.800783634185791,0.3055555522441864,0.1682360897391828,0.6090768487392924,1,1.3905031490511643,167,00c6f12023ab,0.5344829559326172,1.5830166339874268,0.35087719559669495,0.11157175065711056,0.8065963084128944,1,1.435102010167469,164,0c9fad019eee,0.5121104121208191,1.314582109451294,0.17543859779834747,0.2554127452163465,0.35035564487217496,1,1.1148245447112013,30,c6a87cc5d35e,0.5817628502845764,2.150299549102783,0.18867924809455872,0.2554127452163465,0.35035564487217496,1,1.3708390109969069,37,78a6d412d86e,0.4847945272922516,0.9868353605270386,0.2567567527294159,0.09116076173031373,1.0,1,1.3945146167568148,57,c1933354ef21,0.5187259316444397,1.3939577341079712,0.1818181872367859,0.2554127452163465,0.35035564487217496,1,1.1380143278075148,114,98e7b9000779,0.4303039312362671,0.3330357074737549,0.15217390656471252,0.45814521593713003,0.562135019628792,1,0.9297861146884379,103,6680fc36f234,0.49996089935302734,1.1688073873519897,0.09859155118465424,0.0,0.42020984140568113,1,1.1407975134106465,3,33b4e36b0d81,0.5437130928039551,1.6937634944915771,0.28378379344940186,0.1682360897391828,0.6090768487392924,1,1.36408036531875
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6226688623428345,3.5808420181274414,0.5483871102333069,0.0,1.0,1,1.6654838997125627,95,7c80e08ee743,0.5646490454673767,2.9869420528411865,0.4000000059604645,0.0,1.0,1,1.576564617753029,203,79676bc4eb6a,0.33347123861312866,0.6205691695213318,0.014705882407724857,0.3465735069466602,0.0,1,0.4685165644111585,198,edb3d68bc36f,0.23608535528182983,-0.3762882649898529,0.15789473056793213,0.2554127452163465,0.5866964104389011,0,0.49011023806527126,196,0f2541e582f8,0.3422057330608368,0.709976851940155,0.09589041024446487,0.3465735069466602,0.4460490190027163,1,0.7493847709144309,186,4c7ceb754866,0.40243110060691833,1.3264533281326294,0.0746268630027771,0.2554127452163465,0.3480953704871541,1,0.8491889847383156,124,3b11edaeeba4,0.460082471370697,1.9165818691253662,0.08771929889917374,0.2554127452163465,0.0,1,0.7829831415544521,61,dc17b84d2d6b,0.4246096909046173,1.5534768104553223,0.18367347121238708,0.2554127452163465,0.4835877978296777,1,0.9680784168070149,17,e1dbddbff402,0.41841939091682434,1.4901119470596313,0.08474576473236084,0.14384099455923594,0.38008251264002774,1,0.9125635359085755,153,8594b6595861,0.3420739769935608,0.7086281776428223,0.10169491171836853,0.2554127452163465,0.3480953704871541,0,0.6141903619036332
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6716803312301636,3.744015693664551,0.20879121124744415,0.4054650386637325,0.5410330217665478,1,1.4717092379856442,51,6385c0e2eb2e,0.537076473236084,1.699987530708313,0.17307692766189575,0.29389328800662196,1.0,1,1.3152447534387193,81,e9ce432833f3,0.49409449100494385,1.0472842454910278,0.1428571492433548,0.29389328800662196,0.6661069603241577,1,0.975993279086663,145,7809c19536e4,0.5914332866668701,2.525423526763916,0.1315789520740509,0.12565719826743915,0.15907974871851754,1,1.0094953069342012,194,094e12b11051,0.500445544719696,1.143728256225586,0.07894736528396606,0.29389328800662196,0.18585554800777296,1,0.7183804616655708,9,3cdbc3929112,0.5429513454437256,1.7892004251480103,0.1340206116437912,0.4054650386637325,0.20293416593281158,1,0.8581296804353763,157,018f6a0e7f9a,0.44015952944755554,0.22825443744659424,0.10000000149011612,0.0,0.36036418183651636,1,0.6300256794929925,99,78b76b55f875,0.4600042402744293,0.5296064615249634,0.05999999865889549,0.4054650386637325,0.3341692546148913,1,0.6657222159167723,102,f2c8cd5b27ab,0.5361248254776001,1.68553626537323,0.0803571417927742,0.29389328800662196,0.2803772187470784,1,0.8966864924161151,24,2ae9204d54c8,0.45033225417137146,0.38273245096206665,0.0882352963089943,0.4054650386637325,0.20686376715165652,1,0.5533572534168206
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7870267629623413,4.712904930114746,0.353658527135849,0.0,0.99530758268517,1,1.7210870212726697,145,7809c19536e4,0.5356360673904419,0.955379068851471,0.18888889253139496,0.0,1.0,1,1.0763062986731529,15,c5e6a1a8c44d,0.5462628602981567,1.1142172813415527,0.1428571492433548,0.27980784039629336,0.8812522236029512,1,1.0259097617673336,186,4c7ceb754866,0.492944598197937,0.31727153062820435,0.18390804529190063,0.1682360897391828,0.6227890661610791,1,0.7235778200880376,103,6680fc36f234,0.6206529140472412,2.2261223793029785,0.1875,0.1682360897391828,0.6606693773587912,1,1.1002619015152983,35,e19513a85bed,0.5082571506500244,0.5461475849151611,0.23076923191547394,0.4236488349555293,0.7193948505967354,1,0.8071658645891923,0,d52ebdd6c51c,0.5437130928039551,1.076106071472168,0.28378379344940186,0.1682360897391828,0.6361888998128188,1,0.8611006377667028,83,4ffdd533affb,0.5284563302993774,0.8480638861656189,0.07894736528396606,0.27980784039629336,0.45208944765912534,1,0.7250172325955389,46,f64f2eefbcb7,0.5581908822059631,1.292504906654358,0.08888889104127884,0.1682360897391828,0.46928644105215295,1,0.8245939604410206,184,389dd43f303d,0.5057406425476074,0.5085334777832031,0.22368420660495758,0.27980784039629336,0.7213795363593288,1,0.809260741224711
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6114763021469116,3.327739715576172,0.18421052396297455,0.0,1.0,1,1.7341762858629228,199,0d99df7b9f80,0.6216088533401489,3.493492603302002,0.19819819927215576,0.07707532800886907,0.8768824657917131,1,1.6928162860754923,84,c6940290ea74,0.5203271508216858,1.83668053150177,0.10280373692512512,0.1682360897391828,0.29240259438360094,1,0.9517134136040779,27,88a991273442,0.40679931640625,-0.020459260791540146,0.10891088843345642,0.27980784039629336,0.5542711270971936,1,0.6382727841605386,18,1c10b347eeee,0.44003063440322876,0.5231537222862244,0.1325301229953766,0.4236488349555293,0.35157930991361547,1,0.6428544651580534,16,6e6ec1a475b8,0.48592203855514526,1.2738661766052246,0.09278350323438644,0.1682360897391828,0.29240259438360094,1,0.81243196190196,115,830e9df61ddd,0.5352112650871277,2.0801615715026855,0.11764705926179886,0.27980784039629336,0.5900009613842612,1,1.1825579311114396,12,9251af4a3821,0.43345338106155396,0.4155600368976593,0.07476635277271271,0.1682360897391828,0.29240259438360094,1,0.5988240099032494,169,2d10ff099811,0.4428010880947113,0.5684740543365479,0.09433962404727936,0.1682360897391828,0.41033208986285585,1,0.706090125810435,198,edb3d68bc36f,0.4356135427951813,0.4508969187736511,0.09803921729326248,0.1682360897391828,0.29240259438360094,1,0.605497033007917
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.5424482226371765,2.920837163925171,0.12244898080825806,0.14384099455923594,1.0,1,1.7109430914063004,127,3d77dabe7560,0.5341053009033203,2.7976481914520264,0.095238097012043,0.0,0.46335877870863124,1,1.3719370794018833,213,f1b4c19341de,0.30950456857681274,-0.518733561038971,0.07407407462596893,0.2027325123874243,0.7671232876712328,1,0.6881647612158608,157,018f6a0e7f9a,0.40266454219818115,0.8568364977836609,0.049504950642585754,0.4054650386637325,0.31748657059665475,1,0.7690039286907974,155,f6d7dbe3f71e,0.39841049909591675,0.7940226793289185,0.0784313753247261,0.14384099455923594,0.5102462741731951,1,0.8774741295713538,70,d5bb4574fc4d,0.5622875690460205,3.213778495788574,0.054054055362939835,0.11157175065711056,0.4243632379262217,1,1.4628231725141374,75,f634ee56b726,0.5295902490615845,2.730980396270752,0.07999999821186066,0.14384099455923594,0.5102462741731951,1,1.379716866089737,131,c3b47654a283,0.40424904227256775,0.8802327513694763,0.03448275849223137,0.0,0.0,1,0.6069874930381775,29,ef7349785e11,0.32543617486953735,-0.2834925949573517,0.06896551698446274,0.0,0.46335877870863124,0,0.49745884922352696,209,2ac9980eb5e6,0.34786954522132874,0.047751303762197495,0.05263157933950424,0.2027325123874243,0.3914217993657387,0,0.5316641472287936
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6294158697128296,3.4934940338134766,0.4166666567325592,0.09116076173031373,1.0,1,1.7004419976762712,126,ebdb003908ef,0.6009416580200195,3.1597237586975098,0.2530120611190796,0.09116076173031373,0.6219592058133134,1,1.4426134350274413,59,da6e8742f6bf,0.5246409177780151,2.2653379440307617,0.20000000298023224,0.2027325123874243,0.6211695670957962,1,1.2334597422092126,10,365ec2897755,0.42169609665870667,1.0586344003677368,0.12345679104328156,0.09116076173031373,0.3519334053455243,1,0.794086239990279,188,be19a52818cf,0.3837120831012726,0.6133915781974792,0.021739130839705467,0.09116076173031373,0.0,1,0.48308580163039566,204,62b52b411f3a,0.5368325710296631,2.4082467555999756,0.2142857164144516,0.2027325123874243,0.7370548607343586,1,1.3345483740512627,157,018f6a0e7f9a,0.38830697536468506,0.667252242565155,0.14159291982650757,0.20273252627630822,0.4653176280529234,1,0.7572077005203227,181,49ccfbfcfc0a,0.4481441378593445,1.3686543703079224,0.10126582533121109,0.2027325123874243,0.47072232479609577,1,0.9403706785409705,183,ff9c96c6d776,0.3753963112831116,0.5159153938293457,0.08653846383094788,0.0,0.24906489358216158,1,0.6056718656770564,207,7663c229a426,0.42110398411750793,1.0516937971115112,0.13432836532592773,0.3465735069466602,0.4869639139366842,1,0.8591258517918953
7,bfcc3cdee21d,devise research or testing protocols,56,269bfa3db5c6,0.3956156373023987,2.956009864807129,0.04411764815449715,0.11157175065711056,0.0,0,1.1311861474505887,209,2ac9980eb5e6,0.32087135314941406,1.0134423971176147,0.09589041024446487,0.2027325123874243,0.6149755153908953,0,0.9734115377859652,188,be19a52818cf,0.29735636711120605,0.4022993743419647,0.0923076942563057,0.11157175065711056,1.0,0,1.050019252716683,195,6b483cafcca2,0.3829441964626312,2.626685380935669,0.0,0.0,0.0,0,1.0619001686573029,59,da6e8742f6bf,0.3071029782295227,0.6556090116500854,0.11666666716337204,0.0,0.7279980425438168,0,0.9551323425412703,134,469df54e4928,0.3771827220916748,2.47694730758667,0.0,0.4054650386637325,0.0,0,1.0015694959935255,48,23ca56c5d573,0.34850722551345825,1.7316851615905762,0.014925372786819935,0.0,0.0,0,0.8192702084779739,150,3ffc9e8eaffb,0.34488773345947266,1.6376163959503174,0.03448275849223137,0.0,0.0,1,0.8701353687047958,204,62b52b411f3a,0.27066099643707275,-0.2915003001689911,0.12727272510528564,0.0,0.7279980425438168,1,0.788697728478961,214,fc824bfe7bf0,0.2493383288383484,-0.8456660509109497,0.09375,0.11157175065711056,1.0,1,0.8041567258230671
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.7064986228942871,3.3423702716827393,0.04958677664399147,0.34657354027998,0.3971492778525809,1,1.4360848876242616,94,832ecabbf00a,0.5944681167602539,2.2865209579467773,0.1111111119389534,0.34657354027998,0.2791607921593588,1,1.073077357889122,9,3cdbc3929112,0.4037397801876068,0.4889717698097229,0.23404255509376526,0.45814529093709055,1.0,0,0.9414936810569929,72,91e3b64a6f04,0.595453679561615,2.295809745788574,0.028776979073882103,0.1783374505407972,0.3399328564670396,1,1.1390588080070077,174,003763627ff4,0.4863418936729431,1.2674684524536133,0.10769230872392654,0.25541277854966626,0.20334964494839133,1,0.7684636004179171,130,cbb58925807f,0.33080625534057617,-0.19840173423290253,0.0833333358168602,0.6019862854963265,0.40694789496267003,1,0.49417856551289197,176,62eda05f366c,0.5737030506134033,2.090817451477051,0.03448275849223137,0.45814529093709055,0.43364407635795327,1,1.1257554803153877,139,80c1c070d6f0,0.373269647359848,0.20180119574069977,0.09243697673082352,0.34657354027998,0.3384517146224187,0,0.48964959715701994,92,3f67b920ee49,0.4787957966327667,1.196349024772644,0.04651162773370743,0.25541277854966626,0.30226484596362396,1,0.8185648070704146,159,3319e1abdfb1,0.5995017290115356,2.333961009979248,0.0416666679084301,0.34657354027998,0.3971492778525809,1,1.172125926852701
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.66581130027771,2.875622272491455,0.3461538553237915,0.0,1.0,1,1.726153873205185,84,c6940290ea74,0.6069260835647583,2.1236915588378906,0.234375,0.11157175065711056,0.7852673921958094,1,1.4280102256513751,182,8729852fc4b8,0.6533716320991516,2.7167749404907227,0.20000000298023224,0.2027325123874243,0.8447488584474884,1,1.6246431833999657,21,c9b70de179fe,0.5739818811416626,1.7030129432678223,0.08064515888690948,0.0,0.4600056990490311,1,1.1610511997047634,8,04d0abdf0b41,0.4037397801876068,-0.4708816111087799,0.23404255509376526,0.45814529093709055,0.9727897385813257,1,0.8425611954799734,59,da6e8742f6bf,0.5363346338272095,1.2222790718078613,0.11290322244167328,0.0,0.5091386755288673,1,1.0532399564970156,204,62b52b411f3a,0.43140196800231934,-0.11765123158693314,0.23076923191547394,0.0,1.0,1,0.9747363555431365,2,771b010da2fa,0.5429513454437256,1.3067706823349,0.1340206116437912,0.4054650386637325,0.2723072551832694,1,0.9098609916234379,10,365ec2897755,0.5096035003662109,0.8809377551078796,0.07692307978868484,0.11157175065711056,0.4945492360194517,1,0.9519015535823326,18,1c10b347eeee,0.45768362283706665,0.2179505079984665,0.1702127605676651,0.14384099455923594,0.4376366601159687,1,0.724690940916643
