q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,30,c6a87cc5d35e,0.6072357296943665,2.288869857788086,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,1.3009939950518115,62,c6d9ce80244c,0.5800195336341858,1.9526385068893433,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,1.1574656298109631,40,f64df278da5d,0.4929722249507904,0.8772481083869934,0.0,0.11157175065711056,0.0,1,0.2901551366730184,164,0c9fad019eee,0.5363146066665649,1.4127038717269897,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.7261818733624917,57,c1933354ef21,0.5224085450172424,1.240907073020935,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.6134739753417474,191,a9be4c9c15a1,0.5640155673027039,1.7549240589141846,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.019110163174865,167,00c6f12023ab,0.5204271078109741,1.216428279876709,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,0.7372598826161907,119,b729f6985724,0.47120627760887146,0.608349621295929,0.1111111119389534,0.0,0.42020984140568113,1,0.2453532690853868,35.0,e19513a85bed,0.558882474899292,1.6915093660354614,0.1428571492433548,0.2554127452163465,0.35035564487217496,1.0,0.9090933140925866,103.0,6680fc36f234,0.5057048797607422,1.0345485210418701,0.1111111119389534,0.0,0.42020984140568113,1.0,0.5264781822190676
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6080136299133301,3.655010938644409,0.5,0.0,1.0,1,1.4500000014901162,203,79676bc4eb6a,0.3315945863723755,0.5291653275489807,0.0,0.3465735069466602,0.0,0,-0.02391654632510465,95,7c80e08ee743,0.5384377241134644,2.8682215213775635,0.5,0.0,1.0,1,1.1756033286452294,124,3b11edaeeba4,0.4217013716697693,1.548125147819519,0.0,0.2554127452163465,0.0,1,0.42287297966690296,17,e1dbddbff402,0.45155400037765503,1.885709285736084,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.6618574383960861,186,4c7ceb754866,0.4140757918357849,1.4618923664093018,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.43578854642594705,61,dc17b84d2d6b,0.3901229500770569,1.1910250186920166,0.1428571492433548,0.2554127452163465,0.4835877978296777,0,0.37583577496892745,153,8594b6595861,0.3552704453468323,0.7969003915786743,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.1888096078463877,188.0,be19a52818cf,0.3422994613647461,0.6502198576927185,0.1428571492433548,0.2554127452163465,0.3480953704871541,0.0,0.13433224681551106,196.0,0f2541e582f8,0.33304262161254883,0.5455402135848999,0.125,0.3465735069466602,0.4460490190027163,0.0,0.11577459585603123
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6696027517318726,3.249246597290039,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.3353997741569306,51,6385c0e2eb2e,0.6304696798324585,2.64729380607605,0.27272728085517883,0.29389328800662196,1.0,1,1.212770088470952,145,7809c19536e4,0.6161850690841675,2.427565097808838,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.9136304465481117,81,e9ce432833f3,0.5197951793670654,0.9448764324188232,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.399499049833704,9,3cdbc3929112,0.5864399671554565,1.9700199365615845,0.0833333358168602,0.4054650386637325,0.20293416593281158,1,0.6975820554661398,157,018f6a0e7f9a,0.5102627873420715,0.7982472777366638,0.125,0.0,0.36036418183651636,1,0.2751530905932399,99,78b76b55f875,0.5252650380134583,1.0290148258209229,0.0833333358168602,0.4054650386637325,0.3341692546148913,1,0.3278938435708838,194,094e12b11051,0.5317597389221191,1.1289176940917969,0.07692307978868484,0.29389328800662196,0.18585554800777296,1,0.3382685018917145,102.0,f2c8cd5b27ab,0.5383456945419312,1.2302241325378418,0.07692307978868484,0.29389328800662196,0.2803772187470784,1.0,0.410711057080982,195.0,6b483cafcca2,0.5210946798324585,0.9648656249046326,0.0,0.4054650386637325,0.0,1.0,0.20243743265205744
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.8027191162109375,4.754767894744873,0.27272728085517883,0.0,0.993793669585766,1,1.493592656625623,145,7809c19536e4,0.5721380710601807,1.1708979606628418,0.27272728085517883,0.0,1.0,1,0.5130629524588585,15,c5e6a1a8c44d,0.568844735622406,1.1197103261947632,0.2222222238779068,0.27980784039629336,0.842940666435089,1,0.4252473187808643,186,4c7ceb754866,0.5432561039924622,0.7219919562339783,0.20000000298023224,0.1682360897391828,0.5010896230675775,1,0.22402255970248786,103,6680fc36f234,0.6440199017524719,2.2881412506103516,0.20000000298023224,0.1682360897391828,0.5511912469670542,1,0.673809147515757,35,e19513a85bed,0.5485631227493286,0.8044777512550354,0.25,0.4236488349555293,0.6288633008773181,1,0.259164386653471,9,3cdbc3929112,0.57563316822052,1.2252215147018433,0.10000000149011612,0.27980784039629336,0.0889411551852869,1,0.2320222636382407,0,d52ebdd6c51c,0.5735250115394592,1.1924548149108887,0.20000000298023224,0.1682360897391828,0.5188126407701238,1,0.35993787644292513,83.0,4ffdd533affb,0.53704434633255,0.6254439949989319,0.10000000149011612,0.27980784039629336,0.27531724117422124,1.0,0.11856889806078297,4.0,9fc64a999e12,0.537752091884613,0.6364443302154541,0.07692307978868484,0.0,0.0,1.0,0.06712753321044147
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6534250378608704,3.6551008224487305,0.1666666716337204,0.0,1.0,1,1.5166666716337205,199,0d99df7b9f80,0.6301275491714478,3.2548272609710693,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.3178391050060088,84,c6940290ea74,0.5371289849281311,1.657020926475525,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.5363950609460624,17,e1dbddbff402,0.4836777448654175,0.7386763095855713,0.0,0.27980784039629336,0.0,1,0.08627958419577993,16,6e6ec1a475b8,0.5071640610694885,1.142194151878357,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.33894444920571165,115,830e9df61ddd,0.5550559759140015,1.9650242328643799,0.10000000149011612,0.27980784039629336,0.5900009613842612,1,0.7318244256450659,3,33b4e36b0d81,0.537752091884613,1.6677265167236328,0.07692307978868484,0.0,0.25027679688765847,1,0.5456799888224431,154,17f9d29c543d,0.5235280990600586,1.423344373703003,0.1666666716337204,0.0,0.6014932466855267,1,0.5521464123818464,103.0,6680fc36f234,0.5299173593521118,1.5331181287765503,0.09090909361839294,0.1682360897391828,0.29240259438360094,1.0,0.48887484439165907,168.0,ab35d13698b5,0.4740734100341797,0.5736644268035889,0.0,0.07707532800886907,0.0,1.0,0.042292467199113094
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.5802626609802246,3.075533628463745,0.125,0.11157175065711056,0.4243632379262217,1,1.3411517933319232,162,957f012e4031,0.5514959096908569,2.6429522037506104,0.1666666716337204,0.14384099455923594,1.0,1,1.3019818935669951,75,f634ee56b726,0.5707234144210815,2.932086706161499,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.2889353926755287,127,3d77dabe7560,0.5705384016036987,2.929304599761963,0.1428571492433548,0.0,0.46335877870863124,1,1.292450585649447,157,018f6a0e7f9a,0.4348820149898529,0.8893656134605408,0.0833333358168602,0.4054650386637325,0.31748657059665475,1,0.2612974094264995,155,f6d7dbe3f71e,0.4289720952510834,0.8004949688911438,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.25193180735183723,131,c3b47654a283,0.41372761130332947,0.5712553262710571,0.0,0.0,0.0,1,0.057298586890101436,219,573d5b3bbb3d,0.44494524598121643,1.0406919717788696,0.0,0.0,0.0,0,0.23087504133582115,60.0,90e3d91fbf4d,0.4931623339653015,1.7657585144042969,0.1111111119389534,0.2027325123874243,0.3914217993657387,1.0,0.7126822252551108,19.0,9d76ae41867e,0.4127085208892822,0.5559307336807251,0.0,0.0,0.0,0.0,0.0
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6770187616348267,3.6558146476745605,0.375,0.09116076173031373,1.0,1,1.4658839238269687,126,ebdb003908ef,0.6111619472503662,2.863395929336548,0.2222222238779068,0.09116076173031373,0.49657328448786686,1,1.0303705914066623,59,da6e8742f6bf,0.5661412477493286,2.3216867446899414,0.25,0.2027325123874243,0.4955217439342709,1,0.80052574331462,204,62b52b411f3a,0.5884900093078613,2.590597152709961,0.25,0.2027325123874243,0.649843059648709,1,0.9532184927638491,10,365ec2897755,0.46000030636787415,1.0445516109466553,0.10000000149011612,0.09116076173031373,0.13698721884780843,0,0.15186245330734763,181,49ccfbfcfc0a,0.4933205842971802,1.4454760551452637,0.1111111119389534,0.2027325123874243,0.29517521463512275,1,0.40039624780889127,209,2ac9980eb5e6,0.48924317955970764,1.3964149951934814,0.09090909361839294,0.0,0.0,1,0.31313626393675803,157,018f6a0e7f9a,0.435552716255188,0.7503873109817505,0.1538461595773697,0.20273252627630822,0.2879779259520111,1,0.11657380175710859,207.0,7663c229a426,0.46073511242866516,1.0533931255340576,0.125,0.3465735069466602,0.3168037002416423,1.0,0.23333240592323679,49.0,824d3015533f,0.4354589879512787,0.7492595314979553,0.10000000149011612,0.09116076173031373,0.06632027972114751,0.0,0.01078000774331288
7,bfcc3cdee21d,devise research or testing protocols,195,6b483cafcca2,0.4136580526828766,2.5672554969787598,0.0,0.0,0.0,0,1.1908626109361649,56,269bfa3db5c6,0.4142194390296936,2.5820817947387695,0.0,0.11157175065711056,0.0,0,1.1888428279145211,134,469df54e4928,0.40607792139053345,2.367063522338867,0.0,0.4054650386637325,0.0,0,1.0269381431692255,48,23ca56c5d573,0.38701769709587097,1.8636810779571533,0.0,0.0,0.0,0,0.7572509050369263,209,2ac9980eb5e6,0.35336777567863464,0.974983274936676,0.1111111119389534,0.2027325123874243,0.8447488584474885,0,0.4388189858420749,150,3ffc9e8eaffb,0.37474751472473145,1.5396243333816528,0.0,0.0,0.0,0,0.5575353428721428,124,3b11edaeeba4,0.3513905704021454,0.9227650761604309,0.0,0.11157175065711056,0.0,0,0.16620895685093112,59,da6e8742f6bf,0.3431316912174225,0.7046472430229187,0.1428571492433548,0.0,1.0,0,0.34191811522468923,149.0,c9b79bbec6f3,0.3719416558742523,1.4655213356018066,0.0,0.0,0.0,0.0,0.5118657946586609,62.0,c6d9ce80244c,0.3417808711528778,0.6689719557762146,0.0,0.27980784039629336,0.0,0.0,-0.007026895500404473
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.7200222015380859,3.2761075496673584,0.0714285746216774,0.34657354027998,0.9158415841584158,1,1.4758094107655397,94,832ecabbf00a,0.6135136485099792,2.2285585403442383,0.0714285746216774,0.34657354027998,0.6437555760105077,1,0.8998703012146724,72,91e3b64a6f04,0.6049638986587524,2.1444687843322754,0.0625,0.1783374505407972,0.7838983050847457,1,0.9200383387846336,174,003763627ff4,0.5301636457443237,1.408781886100769,0.06666667014360428,0.25541277854966626,0.46893214051547555,1,0.46995110483422003,176,62eda05f366c,0.5923212170600891,2.0201234817504883,0.07692307978868484,0.45814529093709055,1.0,1,0.8966814115319586,92,3f67b920ee49,0.5191096663475037,1.3000620603561401,0.06666667014360428,0.25541277854966626,0.6970344170321796,1,0.48703833560383886,159,3319e1abdfb1,0.6157788634300232,2.250837564468384,0.0714285746216774,0.34657354027998,0.9158415841584158,1,0.9920091485527864,175,825fff3275ff,0.6173059344291687,2.265856981277466,0.0714285746216774,0.34657354027998,0.6437555760105077,1,0.917470539537884,128.0,54e485ae84d0,0.4645390510559082,0.7633408904075623,0.0,0.45814529093709055,0.0,1.0,0.004185470906290942,71.0,1cb040da80f9,0.5017721652984619,1.1295416355133057,0.0,0.1783374505407972,0.0,0.0,0.15704955538444357
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6697796583175659,2.6489951610565186,0.3333333432674408,0.0,1.0,1,1.4833333253860475,84,c6940290ea74,0.6523213982582092,2.4040393829345703,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.27681874698165,182,8729852fc4b8,0.6587285995483398,2.493938446044922,0.25,0.2027325123874243,0.8447488584474884,1,1.3436837675645013,21,c9b70de179fe,0.5810555219650269,1.4041130542755127,0.1428571492433548,0.0,0.4600056990490311,1,0.6277493338139639,2,771b010da2fa,0.5864399671554565,1.4796618223190308,0.0833333358168602,0.4054650386637325,0.2723072551832694,1,0.5802174218393606,59,da6e8742f6bf,0.5903394818305969,1.5343756675720215,0.1428571492433548,0.0,0.5091386755288673,1,0.719051229059131,10,365ec2897755,0.5567790269851685,1.0634913444519043,0.125,0.11157175065711056,0.4945492360194517,1,0.4274847035451381,46,f64f2eefbcb7,0.6138907670974731,1.8648220300674438,0.125,0.11157175065711056,0.4212923481389641,1,0.877926686771818,3.0,33b4e36b0d81,0.57563316822052,1.328032374382019,0.10000000149011612,0.27980784039629336,0.3115379614384862,1.0,0.5134022224660952,49.0,824d3015533f,0.6089860200881958,1.796003818511963,0.2857142984867096,0.11157175065711056,0.8875827192916397,1.0,0.9588561394095251
