q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,167,00c6f12023ab,0.6099096536636353,2.527578592300415,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,1.2674990641920454,40,f64df278da5d,0.5992062091827393,2.371814727783203,0.0,0.11157175065711056,0.0,0,1.0480763216010556,103,6680fc36f234,0.5674048066139221,1.909018635749817,0.1111111119389534,0.0,0.42020984140568113,0,1.01175766102357,191,a9be4c9c15a1,0.5953623056411743,2.31587553024292,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,1.1555712773594722,114,98e7b9000779,0.4980168342590332,0.8992370367050171,0.1666666716337204,0.45814521593713003,0.562135019628792,0,0.7238133310682731,35,e19513a85bed,0.5246648192405701,1.2870368957519531,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.7962226140753962,46,f64f2eefbcb7,0.5659328699111938,1.8875980377197266,0.1111111119389534,0.0,0.4473295481082181,0,1.0122286446659858,184,389dd43f303d,0.5465056896209717,1.6048803329467773,0.125,0.11157175065711056,0.4588237187240411,0,0.9252128223017153,48,23ca56c5d573,0.5906665325164795,2.2475392818450928,0.125,0.11157175065711056,0.48843550658302737,0,1.1216559309357161,37,78a6d412d86e,0.5390938520431519,1.4970180988311768,0.2222222238779068,0.09116076173031373,1.0,0,1.0227873212388932
1,06d678da6c8d,prepare procedural documents,61,dc17b84d2d6b,0.6534450054168701,3.256852865219116,0.1428571492433548,0.2554127452163465,0.4835877978296777,0,1.1938406002524988,95,7c80e08ee743,0.47763073444366455,1.257390022277832,0.5,0.0,1.0,0,0.8036472890526056,77,9b108680399f,0.5345077514648438,1.904228687286377,0.5,0.0,1.0,0,0.9642204940319061,167,00c6f12023ab,0.630706250667572,2.9982542991638184,0.0,0.14384099455923594,0.0,0,1.0255557851929213,196,0f2541e582f8,0.5148738622665405,1.6809406280517578,0.125,0.3465735069466602,0.4460490190027163,0,0.7765025760414057,153,8594b6595861,0.4757733941078186,1.2362672090530396,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.641310069861017,186,4c7ceb754866,0.5032205581665039,1.5484124422073364,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.7214336136003359,124,3b11edaeeba4,0.5279889702796936,1.830093264579773,0.0,0.2554127452163465,0.0,0,0.7161804145704281,17,e1dbddbff402,0.5307812690734863,1.8618489503860474,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.8138682339386559,15,c5e6a1a8c44d,0.5102767944335938,1.6286600828170776,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.7541430313186265
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.8296459913253784,5.330509662628174,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,1.1968031892551203,19,9d76ae41867e,0.5122107267379761,0.8108890652656555,0.0,0.4054650386637325,0.0,0,0.31861106258896055,51,6385c0e2eb2e,0.6161251068115234,2.290414571762085,0.27272728085517883,0.29389328800662196,1.0,0,0.8087660486285767,81,e9ce432833f3,0.6195206642150879,2.3387601375579834,0.1666666716337204,0.29389328800662196,0.6661069603241577,0,0.7389807867660279,198,edb3d68bc36f,0.5142754912376404,0.8402870297431946,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.3731997879439193,191,a9be4c9c15a1,0.48512744903564453,0.42527931928634644,0.0625,0.05889151088374822,0.14839059564256973,0,0.3065432061363973,68,7a9450b42a26,0.502964437007904,0.6792410612106323,0.1818181872367859,0.4054650386637325,0.40979793308446816,0,0.3936557383520858,71,1cb040da80f9,0.5067272782325745,0.7328161001205444,0.0,0.12565719826743915,0.0,0,0.31945378197047813,182,8729852fc4b8,0.5292753577232361,1.0538541078567505,0.0,0.20273252627630822,0.0,0,0.3696636300278804,156,ae5e42c6c3d0,0.5276988744735718,1.0314081907272339,0.0833333358168602,0.4054650386637325,0.30614161182113425,0,0.4294338083459342
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7598580121994019,3.736330986022949,0.27272728085517883,0.0,0.99530758268517,0,1.321554173546239,145,7809c19536e4,0.5268634557723999,0.7182587385177612,0.27272728085517883,0.0,1.0,0,0.686241528019309,15,c5e6a1a8c44d,0.5021337270736694,0.39792460203170776,0.2222222238779068,0.27980784039629336,0.8812522236029512,0,0.5767442802414683,4,9fc64a999e12,0.6351668834686279,2.121156692504883,0.07692307978868484,0.0,0.2439304707225717,0,0.8064463614865283,46,f64f2eefbcb7,0.5958287715911865,1.6115942001342773,0.09090909361839294,0.1682360897391828,0.46928644105215295,0,0.7441352508081989,183,ff9c96c6d776,0.5641586184501648,1.2013579607009888,0.0833333358168602,0.07707532800886907,0.262865712742132,0,0.6094864861132737,12,9251af4a3821,0.5123906135559082,0.5307861566543579,0.20000000298023224,0.1682360897391828,0.6606693773587912,0,0.5561502289805416,83,4ffdd533affb,0.5579915046691895,1.1214728355407715,0.10000000149011612,0.27980784039629336,0.45208944765912534,0,0.628701351573071,84,c6940290ea74,0.6206892728805542,1.9336222410202026,0.09090909361839294,0.1682360897391828,0.28498807470557874,0,0.767124717584993,16,6e6ec1a475b8,0.4994286894798279,0.36288514733314514,0.20000000298023224,0.1682360897391828,0.6227890661610791,0,0.5110312110500453
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",199,0d99df7b9f80,0.6609911322593689,2.926607847213745,0.1818181872367859,0.07707532800886907,0.8768824657917131,0,1.2971850357941546,84,c6940290ea74,0.5787630677223206,1.85364830493927,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.8676385781410952,67,3574e4789085,0.5335261821746826,1.263371229171753,0.09090909361839294,0.1682360897391828,0.5076245470939644,0,0.7630262975422694,103,6680fc36f234,0.6128793358802795,2.2988171577453613,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.9871123558524867,142,c71cb5036aef,0.6314840912818909,2.5415828227996826,0.1666666716337204,0.0,1.0,0,1.2307184413075447,198,edb3d68bc36f,0.6091063618659973,2.2495851516723633,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.9738995707277079,116,1cf7420e0aac,0.5246000289916992,1.146897554397583,0.0833333358168602,0.07707532800886907,0.4682199018857571,0,0.7269000454870019,3,33b4e36b0d81,0.6351668834686279,2.5896379947662354,0.07692307978868484,0.0,0.25027679688765847,0,1.064325442629641,16,6e6ec1a475b8,0.5115195512771606,0.9762159585952759,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.6321544735375663,27,88a991273442,0.5433144569396973,1.3910943269729614,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.8028218575791812
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7029567956924438,4.126926422119141,0.125,0.11157175065711056,0.4243632379262217,0,1.1880122204585837,157,018f6a0e7f9a,0.4432757794857025,0.7338154315948486,0.0833333358168602,0.4054650386637325,0.31748657059665475,0,0.4691726508017982,6,75e527217c38,0.4443211555480957,0.7474747896194458,0.0,0.2027325123874243,0.0,0,0.405832720099251,162,957f012e4031,0.586557149887085,2.6059954166412354,0.1666666716337204,0.14384099455923594,1.0,0,1.0229559162694957,68,7a9450b42a26,0.4091726541519165,0.28820836544036865,0.1428571492433548,0.0,0.46335877870863124,0,0.43465458327369255,182,8729852fc4b8,0.4869975745677948,1.305104374885559,0.0,0.2027325123874243,0.0,0,0.5187018412335321,10,365ec2897755,0.4798939824104309,1.2122856378555298,0.0,0.11157175065711056,0.0,0,0.5044725586167798,127,3d77dabe7560,0.5375180244445801,1.965227723121643,0.1428571492433548,0.0,0.46335877870863124,0,0.7696896205230193,24,2ae9204d54c8,0.412947416305542,0.3375311493873596,0.1428571492433548,0.0,0.46335877870863124,0,0.44450826854841274,155,f6d7dbe3f71e,0.4798177480697632,1.2112895250320435,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.6224940593231304
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.6823859810829163,3.947509765625,0.375,0.09116076173031373,1.0,0,1.3079419619134842,126,ebdb003908ef,0.554253101348877,2.4542503356933594,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.9090338003793897,49,824d3015533f,0.389962375164032,0.5396075248718262,0.10000000149011612,0.09116076173031373,0.2988671198922223,0,0.4223245209854083,187,02b0fa193387,0.3965454697608948,0.6163268685340881,0.10000000149011612,0.09116076173031373,0.27002580046778907,0,0.431724441006276,59,da6e8742f6bf,0.5374099016189575,2.2579598426818848,0.25,0.2027325123874243,0.6211695670957962,0,0.8593905541253591,5,abdac161e57b,0.4443211555480957,1.1731042861938477,0.0,0.2027325123874243,0.0,0,0.4836747321470186,214,fc824bfe7bf0,0.4096342921257019,0.76886385679245,0.10000000149011612,0.09116076173031373,0.4049996907988265,0,0.49849324724689603,208,c1c0caaa937b,0.4596123695373535,1.351307988166809,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.5909394861511299,160,56c85bc2a8f3,0.4326619803905487,1.0372283458709717,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.5230084152273247,181,49ccfbfcfc0a,0.5242239832878113,2.1042912006378174,0.1111111119389534,0.2027325123874243,0.47072232479609577,0,0.7977701639982604
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.6501659154891968,3.579481840133667,0.1428571492433548,0.0,0.7279980425438168,0,1.267713798691851,56,269bfa3db5c6,0.5335773229598999,1.8564356565475464,0.0,0.11157175065711056,0.0,0,0.6963252846590504,141,dbc0d59bd942,0.4449676275253296,0.5468855500221252,0.125,0.11157175065711056,0.666730880547555,0,0.5559088710660045,188,be19a52818cf,0.49028271436691284,1.2165907621383667,0.125,0.11157175065711056,1.0,0,0.7921979029170498,183,ff9c96c6d776,0.4467517137527466,0.5732523202896118,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.5449464973258239,209,2ac9980eb5e6,0.6218950748443604,3.1616711616516113,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,1.136939371024297,195,6b483cafcca2,0.5889445543289185,2.6747000217437744,0.0,0.0,0.0,0,0.89095738530159,48,23ca56c5d573,0.49518805742263794,1.289086103439331,0.0,0.0,0.0,0,0.5708222351968288,187,02b0fa193387,0.46498072147369385,0.8426562547683716,0.125,0.11157175065711056,0.666730880547555,0,0.623467792939574,59,da6e8742f6bf,0.47880643606185913,1.0469845533370972,0.1428571492433548,0.0,0.7279980425438168,0,0.6901992769142211
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.6930978894233704,2.955148220062256,0.0714285746216774,0.34657354027998,0.2791607921593588,0,1.145318665798847,148,253c9a1feb09,0.6526259183883667,2.5097310543060303,0.0714285746216774,0.34657354027998,0.3971492778525809,0,1.0556913299820478,9,3cdbc3929112,0.4883824586868286,0.702138364315033,0.27272728085517883,0.45814529093709055,1.0,0,0.7083632647829222,174,003763627ff4,0.6145662665367126,2.090862989425659,0.06666667014360428,0.25541277854966626,0.20334964494839133,0,0.9001509300745262,81,e9ce432833f3,0.5349780917167664,1.2149498462677002,0.0714285746216774,0.34657354027998,0.22046322892919656,0,0.6652374734397262,72,91e3b64a6f04,0.5746114253997803,1.6511372327804565,0.0625,0.1783374505407972,0.3399328564670396,0,0.8207806165921996,176,62eda05f366c,0.6510254740715027,2.492117404937744,0.07692307978868484,0.45814529093709055,0.43364407635795327,0,1.0540385743244143,25,79d2ac46742b,0.5005075931549072,0.8355823755264282,0.07692307978868484,0.45814529093709055,0.24072201212809577,0,0.5629992997995138,166,505ab84c8d87,0.5030385255813599,0.8634366989135742,0.0,0.25541277854966626,0.0,0,0.5241559100005391,182,8729852fc4b8,0.514529287815094,0.9898990988731384,0.1428571492433548,0.25541277854966626,0.5597556222932607,0,0.6907223785139749
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6946560144424438,3.2610695362091064,0.3333333432674408,0.0,1.0,0,1.3166666626930237,84,c6940290ea74,0.6505595445632935,2.629274845123291,0.2857142984867096,0.11157175065711056,0.7852673921958094,0,1.1099024897004859,195,6b483cafcca2,0.6376032829284668,2.443643093109131,0.1428571492433548,0.0,0.5399943009509689,0,1.0210841078433903,186,4c7ceb754866,0.5417941808700562,1.070932388305664,0.125,0.11157175065711056,0.3639750440568452,0,0.6371685715123521,204,62b52b411f3a,0.5297398567199707,0.8982232809066772,0.3333333432674408,0.0,1.0,0,0.749745050445199,59,da6e8742f6bf,0.565606951713562,1.4121112823486328,0.1428571492433548,0.0,0.5091386755288673,0,0.7614534986511129,182,8729852fc4b8,0.6131641864776611,2.0934903621673584,0.25,0.2027325123874243,0.8447488584474884,0,0.9937228431376463,103,6680fc36f234,0.5343116521835327,0.9637259840965271,0.125,0.11157175065711056,0.3639750440568452,0,0.6109439993008481,8,04d0abdf0b41,0.4883824586868286,0.30567261576652527,0.27272728085517883,0.45814529093709055,0.9727897385813257,0,0.5798952514778904,29,ef7349785e11,0.5525535345077515,1.2250876426696777,0.0,0.0,0.0,0,0.5962379574775696
