q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,30,c6a87cc5d35e,0.5577137470245361,2.4004836082458496,0.2199999988079071,0.2554127452163465,0.35035564487217496,1,1.2723715896936374,40,f64df278da5d,0.4209689199924469,0.8759497404098511,0.078125,0.11157175065711056,0.0,1,0.7051681507817731,62,c6d9ce80244c,0.4727611541748047,1.4533684253692627,0.3787878751754761,0.1682360897391828,0.6090768487392924,1,1.068110595937484,37,78a6d412d86e,0.42145782709121704,0.881400465965271,0.31343284249305725,0.09116076173031373,1.0,1,1.0733969664863525,167,00c6f12023ab,0.48435288667678833,1.58260178565979,0.3888888955116272,0.11157175065711056,0.8065963084128944,1,1.1851595314386294,57,c1933354ef21,0.4864579439163208,1.6060705184936523,0.2075471729040146,0.2554127452163465,0.35035564487217496,1,1.0377247925134616,191,a9be4c9c15a1,0.5193711519241333,1.9730116128921509,0.239130437374115,0.23500177712287373,0.5898036247287963,1,1.2373705294790547,164,0c9fad019eee,0.474523663520813,1.4730181694030762,0.2222222238779068,0.2554127452163465,0.35035564487217496,1,0.995162248167606,100,6002eddcd7d0,0.483792781829834,1.5763572454452515,0.27586206793785095,0.11157175065711056,0.31816080182986706,1,1.0099034684896186,103,6680fc36f234,0.4034312963485718,0.6804271340370178,0.1666666716337204,0.0,0.42020984140568113,1,0.8068301713368621
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.5879737734794617,3.7598297595977783,0.6129032373428345,0.0,1.0,1,1.4467741668224334,198,edb3d68bc36f,0.2207566797733307,-0.09270365536212921,0.17543859779834747,0.2554127452163465,0.5866964104389011,0,0.430900039342693,203,79676bc4eb6a,0.2812538743019104,0.541982114315033,0.028985507786273956,0.3465735069466602,0.0,0,0.3512740102829885,95,7c80e08ee743,0.5105376839637756,2.9474353790283203,0.4571428596973419,0.0,1.0,1,1.308575128018856,124,3b11edaeeba4,0.40566930174827576,1.847244381904602,0.12280701845884323,0.2554127452163465,0.0,1,0.7058414256702435,196,0f2541e582f8,0.28982484340667725,0.6319015026092529,0.12328767031431198,0.3465735069466602,0.4460490190027163,0,0.5432756984867209,186,4c7ceb754866,0.33548402786254883,1.1109193563461304,0.14516128599643707,0.2554127452163465,0.3480953704871541,1,0.6690982310725943,17,e1dbddbff402,0.3742767870426178,1.5179004669189453,0.10000000149011612,0.14384099455923594,0.38008251264002774,1,0.7888562257996222,15,c5e6a1a8c44d,0.31587567925453186,0.9052050113677979,0.13333334028720856,0.14384099455923594,0.38008251264002774,1,0.6404185991397521,188,be19a52818cf,0.28666943311691284,0.598797619342804,0.13333334028720856,0.2554127452163465,0.3480953704871541,0,0.5000123082353368
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6489007472991943,3.810845375061035,0.24137930572032928,0.4054650386637325,0.5410330217665478,1,1.335795102776202,51,6385c0e2eb2e,0.47639530897140503,1.426978588104248,0.23000000417232513,0.29389328800662196,1.0,1,1.020715699571856,81,e9ce432833f3,0.47256794571876526,1.3740880489349365,0.18518517911434174,0.29389328800662196,0.6661069603241577,1,0.8817957793052712,145,7809c19536e4,0.5613511800765991,2.6009907722473145,0.1621621549129486,0.12565719826743915,0.15907974871851754,1,0.9554564073280176,194,094e12b11051,0.46674346923828125,1.2935991287231445,0.10810811072587967,0.29389328800662196,0.18585554800777296,1,0.6822231984614161,9,3cdbc3929112,0.4865459203720093,1.5672507286071777,0.15625,0.4054650386637325,0.20293416593281158,1,0.7365322758286214,157,018f6a0e7f9a,0.40363287925720215,0.42146873474121094,0.125,0.0,0.36036418183651636,1,0.5745934255083683,102,f2c8cd5b27ab,0.5175262689590454,1.9953707456588745,0.12037037312984467,0.29389328800662196,0.2803772187470784,1,0.8714926782529193,24,2ae9204d54c8,0.4121934771537781,0.5397683382034302,0.11999999731779099,0.4054650386637325,0.20686376715165652,1,0.5191428551033336,99,78b76b55f875,0.39907604455947876,0.3584974408149719,0.07216494530439377,0.4054650386637325,0.3341692546148913,0,0.48445515658782257
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7428849935531616,4.3185858726501465,0.42105263471603394,0.0,0.99530758268517,1,1.4928598505532016,145,7809c19536e4,0.533489465713501,1.6125186681747437,0.23529411852359772,0.0,1.0,1,1.00209481716156,15,c5e6a1a8c44d,0.5089645385742188,1.2955772876739502,0.17910447716712952,0.27980784039629336,0.8812522236029512,1,0.8837613706890165,186,4c7ceb754866,0.3899726867675781,-0.24218213558197021,0.23749999701976776,0.1682360897391828,0.6227890661610791,1,0.47322729234943406,103,6680fc36f234,0.5318257808685303,1.5910184383392334,0.2368421107530594,0.1682360897391828,0.6606693773587912,1,0.8534733893624603,35,e19513a85bed,0.47598913311958313,0.8694284558296204,0.27419355511665344,0.4236488349555293,0.7193948505967354,1,0.7170365836316228,83,4ffdd533affb,0.5051302909851074,1.2460263967514038,0.10958904027938843,0.27980784039629336,0.45208944765912534,1,0.7097283167861718,10,365ec2897755,0.4422592222690582,0.43352895975112915,0.08139535039663315,0.1682360897391828,0.41404231592543655,1,0.5356161124194284,46,f64f2eefbcb7,0.5166504383087158,1.3949040174484253,0.14457830786705017,0.1682360897391828,0.46928644105215295,1,0.7486198028405794,191,a9be4c9c15a1,0.4495774805545807,0.5281044840812683,0.22429905831813812,0.06676568738369093,0.4355340937421637,1,0.5577882198094951
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.577830970287323,3.661362648010254,0.21495327353477478,0.0,1.0,1,1.5462616503238678,84,c6940290ea74,0.4684007465839386,2.020531415939331,0.12621359527111053,0.1682360897391828,0.29240259438360094,1,0.8850568373886432,199,0d99df7b9f80,0.538283109664917,3.0683696269989014,0.2380952388048172,0.07707532800886907,0.8768824657917131,1,1.3492717708805972,27,88a991273442,0.36412352323532104,0.45696592330932617,0.17204301059246063,0.27980784039629336,0.5542711270971936,1,0.6071264991109444,18,1c10b347eeee,0.3981742262840271,0.9675328731536865,0.14814814925193787,0.4236488349555293,0.35157930991361547,1,0.6421024476773026,16,6e6ec1a475b8,0.443831205368042,1.652127981185913,0.1318681389093399,0.1682360897391828,0.29240259438360094,1,0.7962506924954738,198,edb3d68bc36f,0.3880738914012909,0.8160852789878845,0.12244898080825806,0.1682360897391828,0.29240259438360094,1,0.5977247421828593,169,2d10ff099811,0.3871321678161621,0.8019647598266602,0.14000000059604645,0.1682360897391828,0.41033208986285585,1,0.639812532396122,115,830e9df61ddd,0.4473186731338501,1.7044202089309692,0.1649484485387802,0.27980784039629336,0.5900009613842612,1,0.9173728688895378,17,e1dbddbff402,0.3922681212425232,0.8789748549461365,0.1473684161901474,0.27980784039629336,0.0,1,0.4876920861696537
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.4687243700027466,3.0532639026641846,0.1666666716337204,0.14384099455923594,1.0,1,1.519200511469319,127,3d77dabe7560,0.46417880058288574,2.9831833839416504,0.12903225421905518,0.0,0.46335877870863124,1,1.3021398589823463,213,f1b4c19341de,0.2534591853618622,-0.2655531167984009,0.08641975373029709,0.2027325123874243,0.7671232876712328,1,0.5469606477516199,157,018f6a0e7f9a,0.3432080149650574,1.1181353330612183,0.0824742242693901,0.4054650386637325,0.31748657059665475,1,0.7308779661115552,155,f6d7dbe3f71e,0.3366440534591675,1.0169365406036377,0.11999999731779099,0.14384099455923594,0.5102462741731951,0,0.7391870072621589,131,c3b47654a283,0.3397209942340851,1.0643748044967651,0.0517241396009922,0.0,0.0,1,0.6134452775120736,70,d5bb4574fc4d,0.47654032707214355,3.1737654209136963,0.06849315017461777,0.11157175065711056,0.4243632379262217,1,1.3470434018400563,75,f634ee56b726,0.44471320509910583,2.6830756664276123,0.12244898080825806,0.14384099455923594,0.5102462741731951,1,1.2349318570036178,209,2ac9980eb5e6,0.3050854802131653,0.5303871631622314,0.07999999821186066,0.2027325123874243,0.3914217993657387,0,0.5620657055079782,219,573d5b3bbb3d,0.3038463890552521,0.5112836956977844,0.0,0.0,0.0,0,0.4177359491586685
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.5962940454483032,3.488097906112671,0.4492753744125366,0.09116076173031373,1.0,1,1.483123094468492,126,ebdb003908ef,0.5557317733764648,3.044853448867798,0.3037974536418915,0.09116076173031373,0.6219592058133134,1,1.2634756229003468,59,da6e8742f6bf,0.4691428542137146,2.0986526012420654,0.22972972691059113,0.2027325123874243,0.6211695670957962,1,1.0467146988147342,188,be19a52818cf,0.30186933279037476,0.27077028155326843,0.0555555559694767,0.09116076173031373,0.0,1,0.37689375790871976,10,365ec2897755,0.36557888984680176,0.9669567942619324,0.1358024626970291,0.09116076173031373,0.3519334053455243,0,0.6328571536615649,204,62b52b411f3a,0.5156574249267578,2.606940746307373,0.24637681245803833,0.2027325123874243,0.7370548607343586,1,1.2119658668892848,157,018f6a0e7f9a,0.3477141857147217,0.7717401385307312,0.16363635659217834,0.20273252627630822,0.4653176280529234,1,0.6718728719712769,183,ff9c96c6d776,0.3362386226654053,0.6463409066200256,0.12999999523162842,0.0,0.24906489358216158,1,0.5680402596031413,181,49ccfbfcfc0a,0.4027518332004547,1.3731642961502075,0.12820513546466827,0.2027325123874243,0.47072232479609577,1,0.8256084019019113,209,2ac9980eb5e6,0.4103022813796997,1.4556719064712524,0.07216494530439377,0.0,0.24906489358216158,1,0.7751291994487033
7,bfcc3cdee21d,devise research or testing protocols,56,269bfa3db5c6,0.3416726589202881,2.7645835876464844,0.07352941483259201,0.11157175065711056,0.0,0,1.1260390330544934,209,2ac9980eb5e6,0.2674354612827301,0.8228371143341064,0.10810811072587967,0.2027325123874243,0.6149755153908953,0,0.8147453421379581,195,6b483cafcca2,0.3381265103816986,2.671830654144287,0.016393441706895828,0.0,0.0,0,1.119381383061409,188,be19a52818cf,0.2836724817752838,1.2475322484970093,0.1230769231915474,0.11157175065711056,1.0,0,1.0899879176608547,150,3ffc9e8eaffb,0.3262997567653656,2.36249041557312,0.07017543911933899,0.0,0.0,0,1.018837347626686,134,469df54e4928,0.3190115690231323,2.171860694885254,0.010416666977107525,0.4054650386637325,0.0,0,0.9574284269389218,124,3b11edaeeba4,0.29411154985427856,1.5205763578414917,0.078125,0.11157175065711056,0.0,0,0.7739901591531262,48,23ca56c5d573,0.29754048585891724,1.610263466835022,0.06060606241226196,0.0,0.0,0,0.8079852908849716,59,da6e8742f6bf,0.24768948554992676,0.3063617944717407,0.15000000596046448,0.0,0.7279980425438168,0,0.7213244311770155,204,62b52b411f3a,0.2536296844482422,0.46173352003097534,0.16363635659217834,0.0,0.7279980425438168,0,0.7630036719402029
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.682024359703064,3.2931416034698486,0.06611569970846176,0.34657354027998,0.3971492778525809,1,1.3250020909459954,94,832ecabbf00a,0.56148761510849,2.2180910110473633,0.18918919563293457,0.34657354027998,0.2791607921593588,1,0.967699540034376,9,3cdbc3929112,0.35661542415618896,0.3908641040325165,0.25531914830207825,0.45814529093709055,1.0,0,0.7204478919344115,72,91e3b64a6f04,0.5860729217529297,2.437363862991333,0.08208955079317093,0.1783374505407972,0.3399328564670396,1,1.0787712506620404,174,003763627ff4,0.4510841369628906,1.2334175109863281,0.1349206417798996,0.25541277854966626,0.20334964494839133,1,0.6930601313104983,130,cbb58925807f,0.3001526892185211,-0.11271926015615463,0.10526315867900848,0.6019862854963265,0.40694789496267003,1,0.4045540509684762,176,62eda05f366c,0.5554087162017822,2.1638741493225098,0.07079645991325378,0.45814529093709055,0.43364407635795327,1,1.0315489059209482,139,80c1c070d6f0,0.3283984661102295,0.13920092582702637,0.1304347813129425,0.34657354027998,0.3384517146224187,0,0.40501397782314863,92,3f67b920ee49,0.4550783634185791,1.2690415382385254,0.0703125,0.25541277854966626,0.30226484596362396,1,0.7504447744030347,159,3319e1abdfb1,0.5785041451454163,2.369858980178833,0.06722689419984818,0.34657354027998,0.3971492778525809,1,1.0781871247442132
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6311672925949097,3.0300097465515137,0.38461539149284363,0.0,1.0,1,1.5038461208343505,84,c6940290ea74,0.5603403449058533,2.171269178390503,0.25,0.11157175065711056,0.7852673921958094,1,1.2281683620593966,182,8729852fc4b8,0.5806663632392883,2.4177117347717285,0.2586206793785095,0.2027325123874243,0.8447488584474884,1,1.3080773394133718,21,c9b70de179fe,0.5023014545440674,1.4675774574279785,0.11290322244167328,0.0,0.4600056990490311,1,0.9468992376131199,8,04d0abdf0b41,0.35661542415618896,-0.2987910211086273,0.25531914830207825,0.45814529093709055,0.9727897385813257,1,0.6589042306800635,2,771b010da2fa,0.4865459203720093,1.2765496969223022,0.15625,0.4054650386637325,0.2723072551832694,1,0.7951520534590032,59,da6e8742f6bf,0.45599085092544556,0.9060851335525513,0.14516128599643707,0.0,0.5091386755288673,1,0.8155452080560142,10,365ec2897755,0.45632344484329224,0.9101176261901855,0.09090909361839294,0.11157175065711056,0.4945492360194517,1,0.8120340629887405,204,62b52b411f3a,0.3954216241836548,0.17171427607536316,0.29411765933036804,0.0,1.0,1,0.8086835265159608,18,1c10b347eeee,0.42577072978019714,0.539681613445282,0.1875,0.14384099455923594,0.4376366601159687,1,0.6801210352030349
