q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,191,a9be4c9c15a1,0.5193711519241333,1.9730116128921509,0.2164948433637619,0.23500177712287373,0.5898036247287963,1,1.38076729697204,167,00c6f12023ab,0.48435288667678833,1.58260178565979,0.35087719559669495,0.11157175065711056,0.8065963084128944,1,1.370230400956501,62,c6d9ce80244c,0.4727611541748047,1.4533684253692627,0.3055555522441864,0.1682360897391828,0.6090768487392924,1,1.2221741038746583,164,0c9fad019eee,0.474523663520813,1.4730181694030762,0.17543859779834747,0.2554127452163465,0.35035564487217496,1,1.0974182599020887,30,c6a87cc5d35e,0.5577137470245361,2.4004836082458496,0.18867924809455872,0.2554127452163465,0.35035564487217496,1,1.3708390109969069,57,c1933354ef21,0.4864579439163208,1.6060705184936523,0.1818181872367859,0.2554127452163465,0.35035564487217496,1,1.1357129328680922,37,78a6d412d86e,0.42145782709121704,0.881400465965271,0.2567567527294159,0.09116076173031373,1.0,1,1.3041770422748507,114,98e7b9000779,0.33800098299980164,-0.049039050936698914,0.15217390656471252,0.45814521593713003,0.562135019628792,1,0.7614413413362917,100,6002eddcd7d0,0.483792781829834,1.5763572454452515,0.2063492089509964,0.11157175065711056,0.31816080182986706,1,1.1090104495886624,46,f64f2eefbcb7,0.4171365201473236,0.833223283290863,0.19117647409439087,0.0,0.4473295481082181,1,0.9743141651795136
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.5879737734794617,3.7598297595977783,0.5483871102333069,0.0,1.0,1,1.6654838997125627,198,edb3d68bc36f,0.2207566797733307,-0.09270365536212921,0.15789473056793213,0.2554127452163465,0.5866964104389011,0,0.5475764022965717,203,79676bc4eb6a,0.2812538743019104,0.541982114315033,0.014705882407724857,0.3465735069466602,0.0,1,0.4321883678855848,95,7c80e08ee743,0.5105376839637756,2.9474353790283203,0.4000000059604645,0.0,1.0,1,1.5338382053375246,196,0f2541e582f8,0.28982484340667725,0.6319015026092529,0.09589041024446487,0.3465735069466602,0.4460490190027163,1,0.7131872277702048,124,3b11edaeeba4,0.40566930174827576,1.847244381904602,0.08771929889917374,0.2554127452163465,0.0,1,0.7384613776336681,186,4c7ceb754866,0.33548402786254883,1.1109193563461304,0.0746268630027771,0.2554127452163465,0.3480953704871541,1,0.7748667610749855,61,dc17b84d2d6b,0.3527013659477234,1.2915492057800293,0.18367347121238708,0.2554127452163465,0.4835877978296777,1,0.883327883703072,17,e1dbddbff402,0.3742767870426178,1.5179004669189453,0.08474576473236084,0.14384099455923594,0.38008251264002774,1,0.8946490320957856,188,be19a52818cf,0.28666943311691284,0.598797619342804,0.10000000149011612,0.2554127452163465,0.3480953704871541,1,0.6507464585766449
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6489007472991943,3.810845375061035,0.20879121124744415,0.4054650386637325,0.5410330217665478,1,1.4717092379856442,51,6385c0e2eb2e,0.47639530897140503,1.426978588104248,0.17307692766189575,0.29389328800662196,1.0,1,1.2537041199987016,81,e9ce432833f3,0.47256794571876526,1.3740880489349365,0.1428571492433548,0.29389328800662196,0.6661069603241577,1,1.0468246449700134,18,1c10b347eeee,0.3857828676700592,0.17479796707630157,0.08602150529623032,0.5493060332229684,0.22346917081886988,1,0.5149217880026817,145,7809c19536e4,0.5613511800765991,2.6009907722473145,0.1315789520740509,0.12565719826743915,0.15907974871851754,1,1.0180879721296663,194,094e12b11051,0.46674346923828125,1.2935991287231445,0.07894736528396606,0.29389328800662196,0.18585554800777296,1,0.7510987326826454,157,018f6a0e7f9a,0.40363287925720215,0.42146873474121094,0.10000000149011612,0.0,0.36036418183651636,1,0.677091354751629,99,78b76b55f875,0.39907604455947876,0.3584974408149719,0.05999999865889549,0.4054650386637325,0.3341692546148913,1,0.6313025303145842,9,3cdbc3929112,0.4865459203720093,1.5672507286071777,0.1340206116437912,0.4054650386637325,0.20293416593281158,1,0.8064750435754825,102,f2c8cd5b27ab,0.5175262689590454,1.9953707456588745,0.0803571417927742,0.29389328800662196,0.2803772187470784,1,0.9614378492562488
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7428849935531616,4.3185858726501465,0.353658527135849,0.0,0.99530758268517,1,1.7210870212726697,145,7809c19536e4,0.533489465713501,1.6125186681747437,0.18888889253139496,0.0,1.0,1,1.2331861409544946,15,c5e6a1a8c44d,0.5089645385742188,1.2955772876739502,0.1428571492433548,0.27980784039629336,0.8812522236029512,1,1.0908717465209423,186,4c7ceb754866,0.3899726867675781,-0.24218213558197021,0.18390804529190063,0.1682360897391828,0.6227890661610791,1,0.6284884552911607,103,6680fc36f234,0.5318257808685303,1.5910184383392334,0.1875,0.1682360897391828,0.6606693773587912,1,1.0170935811574988,35,e19513a85bed,0.47598913311958313,0.8694284558296204,0.23076923191547394,0.4236488349555293,0.7193948505967354,1,0.8906628524088639,83,4ffdd533affb,0.5051302909851074,1.2460263967514038,0.07894736528396606,0.27980784039629336,0.45208944765912534,1,0.8317764753089902,10,365ec2897755,0.4422592222690582,0.43352895975112915,0.06818182021379471,0.1682360897391828,0.41404231592543655,1,0.6483938643112952,191,a9be4c9c15a1,0.4495774805545807,0.5281044840812683,0.18421052396297455,0.06676568738369093,0.4355340937421637,1,0.6751450167128255,77,9b108680399f,0.42458608746528625,0.20513491332530975,0.06756756454706192,0.4236488349555293,0.4061654778214944,1,0.583844241576361
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.577830970287323,3.661362648010254,0.18421052396297455,0.0,1.0,1,1.7747368741035463,199,0d99df7b9f80,0.538283109664917,3.0683696269989014,0.19819819927215576,0.07707532800886907,0.8768824657917131,1,1.5547044861201242,84,c6940290ea74,0.4684007465839386,2.020531415939331,0.10280373692512512,0.1682360897391828,0.29240259438360094,1,0.9740000671227547,27,88a991273442,0.36412352323532104,0.45696592330932617,0.10891088843345642,0.27980784039629336,0.5542711270971936,1,0.7512436541487416,18,1c10b347eeee,0.3981742262840271,0.9675328731536865,0.1325301229953766,0.4236488349555293,0.35157930991361547,1,0.7412623669815741,16,6e6ec1a475b8,0.443831205368042,1.652127981185913,0.09278350323438644,0.1682360897391828,0.29240259438360094,1,0.8876610702355476,198,edb3d68bc36f,0.3880738914012909,0.8160852789878845,0.09803921729326248,0.1682360897391828,0.29240259438360094,1,0.6866762793143364,169,2d10ff099811,0.3871321678161621,0.8019647598266602,0.09433962404727936,0.1682360897391828,0.41033208986285585,1,0.7544866982810999,115,830e9df61ddd,0.4473186731338501,1.7044202089309692,0.11764705926179886,0.27980784039629336,0.5900009613842612,1,1.0688322241765105,154,17f9d29c543d,0.37840795516967773,0.6711511611938477,0.17094017565250397,0.0,0.6014932466855267,1,0.8379528181738031
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.4687243700027466,3.0532639026641846,0.12244898080825806,0.14384099455923594,1.0,1,1.7539904301304368,127,3d77dabe7560,0.46417880058288574,2.9831833839416504,0.095238097012043,0.0,0.46335877870863124,1,1.428330240817937,213,f1b4c19341de,0.2534591853618622,-0.2655531167984009,0.07407407462596893,0.2027325123874243,0.7671232876712328,1,0.7302757705752205,157,018f6a0e7f9a,0.3432080149650574,1.1181353330612183,0.049504950642585754,0.4054650386637325,0.31748657059665475,1,0.8273072103556457,155,f6d7dbe3f71e,0.3366440534591675,1.0169365406036377,0.0784313753247261,0.14384099455923594,0.5102462741731951,1,0.9243692088860626,219,573d5b3bbb3d,0.3038463890552521,0.5112836956977844,0.0,0.0,0.0,1,0.49773595660924913,131,c3b47654a283,0.3397209942340851,1.0643748044967651,0.03448275849223137,0.0,0.0,1,0.6447268295288086,70,d5bb4574fc4d,0.47654032707214355,3.1737654209136963,0.054054055362939835,0.11157175065711056,0.4243632379262217,1,1.4628231725141374,75,f634ee56b726,0.44471320509910583,2.6830756664276123,0.07999999821186066,0.14384099455923594,0.5102462741731951,1,1.3728174645442124,209,2ac9980eb5e6,0.3050854802131653,0.5303871631622314,0.05263157933950424,0.2027325123874243,0.3914217993657387,0,0.6418988026686473
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.5962940454483032,3.488097906112671,0.4166666567325592,0.09116076173031373,1.0,1,1.7004419976762712,126,ebdb003908ef,0.5557317733764648,3.044853448867798,0.2530120611190796,0.09116076173031373,0.6219592058133134,1,1.4179088296864837,59,da6e8742f6bf,0.4691428542137146,2.0986526012420654,0.20000000298023224,0.2027325123874243,0.6211695670957962,1,1.199166478058593,10,365ec2897755,0.36557888984680176,0.9669567942619324,0.12345679104328156,0.09116076173031373,0.3519334053455243,1,0.7818704096045941,188,be19a52818cf,0.30186933279037476,0.27077028155326843,0.021739130839705467,0.09116076173031373,0.0,1,0.4090430790475786,204,62b52b411f3a,0.5156574249267578,2.606940746307373,0.2142857164144516,0.2027325123874243,0.7370548607343586,1,1.3872074683849114,157,018f6a0e7f9a,0.3477141857147217,0.7717401385307312,0.14159291982650757,0.20273252627630822,0.4653176280529234,1,0.7943057133849124,183,ff9c96c6d776,0.3362386226654053,0.6463409066200256,0.08653846383094788,0.0,0.24906489358216158,1,0.6503013873450137,181,49ccfbfcfc0a,0.4027518332004547,1.3731642961502075,0.10126582533121109,0.2027325123874243,0.47072232479609577,1,0.9506462063758627,207,7663c229a426,0.3969210386276245,1.3094482421875,0.13432836532592773,0.3465735069466602,0.4869639139366842,1,0.9323332525310882
7,bfcc3cdee21d,devise research or testing protocols,188,be19a52818cf,0.2836724817752838,1.2475322484970093,0.0923076942563057,0.11157175065711056,1.0,1,1.3719001687757002,209,2ac9980eb5e6,0.2674354612827301,0.8228371143341064,0.09589041024446487,0.2027325123874243,0.6149755153908953,0,0.9368434772686541,56,269bfa3db5c6,0.3416726589202881,2.7645835876464844,0.04411764815449715,0.11157175065711056,0.0,1,1.2111861474505887,195,6b483cafcca2,0.3381265103816986,2.671830654144287,0.0,0.0,0.0,1,1.2033850121498109,59,da6e8742f6bf,0.24768948554992676,0.3063617944717407,0.11666666716337204,0.0,0.7279980425438168,0,0.8678906258583594,150,3ffc9e8eaffb,0.3262997567653656,2.36249041557312,0.03448275849223137,0.0,0.0,1,1.1053141224384309,214,fc824bfe7bf0,0.24061942100524902,0.12143734842538834,0.09375,0.11157175065711056,1.0,1,1.056405750631474,134,469df54e4928,0.3190115690231323,2.171860694885254,0.0,0.4054650386637325,0.0,0,0.9596474929627484,124,3b11edaeeba4,0.29411154985427856,1.5205763578414917,0.046875,0.11157175065711056,0.0,0,0.7777614344350323,205,45b6fa08d56b,0.20726042985916138,-0.751099705696106,0.125,0.14384099455923594,0.8016645111345602,1,0.6903924289902803
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,148,253c9a1feb09,0.682024359703064,3.2931416034698486,0.04958677664399147,0.34657354027998,0.3971492778525809,1,1.4360848876242616,57,c1933354ef21,0.2571347951889038,-0.4963899254798889,0.1827957034111023,0.6019862854963265,0.6591046042245914,0,0.48259539283584435,94,832ecabbf00a,0.56148761510849,2.2180910110473633,0.1111111119389534,0.34657354027998,0.2791607921593588,1,1.063958294273323,9,3cdbc3929112,0.35661542415618896,0.3908641040325165,0.23404255509376526,0.45814529093709055,1.0,1,0.9984301554994749,72,91e3b64a6f04,0.5860729217529297,2.437363862991333,0.028776979073882103,0.1783374505407972,0.3399328564670396,1,1.1862496083161889,92,3f67b920ee49,0.4550783634185791,1.2690415382385254,0.04651162773370743,0.25541277854966626,0.30226484596362396,1,0.8427936183344527,130,cbb58925807f,0.3001526892185211,-0.11271926015615463,0.0833333358168602,0.6019862854963265,0.40694789496267003,1,0.5162034466075861,176,62eda05f366c,0.5554087162017822,2.1638741493225098,0.03448275849223137,0.45814529093709055,0.43364407635795327,1,1.1536750707885628,101,ae138f31c069,0.31357860565185547,0.0070246364921331406,0.07758620381355286,0.34657354027998,0.3384517146224187,1,0.5200085765609925,71,1cb040da80f9,0.4311341345310211,1.0554862022399902,0.012987012974917889,0.1783374505407972,0.0,1,0.6128752519827715
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.6311672925949097,3.0300097465515137,0.3461538553237915,0.0,1.0,1,1.726153873205185,84,c6940290ea74,0.5603403449058533,2.171269178390503,0.234375,0.11157175065711056,0.7852673921958094,1,1.4089744392610706,182,8729852fc4b8,0.5806663632392883,2.4177117347717285,0.20000000298023224,0.2027325123874243,0.8447488584474884,1,1.5110174334543252,8,04d0abdf0b41,0.35661542415618896,-0.2987910211086273,0.23404255509376526,0.45814529093709055,0.9727897385813257,1,0.8820359621814333,21,c9b70de179fe,0.5023014545440674,1.4675774574279785,0.08064515888690948,0.0,0.4600056990490311,1,1.0714629152122708,204,62b52b411f3a,0.3954216241836548,0.17171427607536316,0.23076923191547394,0.0,1.0,1,1.0401158633828163,2,771b010da2fa,0.4865459203720093,1.2765496969223022,0.1340206116437912,0.4054650386637325,0.2723072551832694,1,0.8789377144837742,59,da6e8742f6bf,0.45599085092544556,0.9060851335525513,0.11290322244167328,0.0,0.5091386755288673,1,0.9485935717809816,10,365ec2897755,0.45632344484329224,0.9101176261901855,0.07692307978868484,0.11157175065711056,0.4945492360194517,1,0.9407672122231941,18,1c10b347eeee,0.42577072978019714,0.539681613445282,0.1702127605676651,0.14384099455923594,0.4376366601159687,1,0.7958930700422381
