q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.6296172142028809,2.421759843826294,0.2222222238779068,0.09116076173031373,1.0,1,1.3674113137109638,103,6680fc36f234,0.6446065902709961,2.6610052585601807,0.1111111119389534,0.0,0.42020984140568113,1,1.353840734504262,46,f64f2eefbcb7,0.6325105428695679,2.467940330505371,0.1111111119389534,0.0,0.4473295481082181,1,1.255851798387658,41,babe1d93de49,0.5975903868675232,1.910580039024353,0.1666666716337204,0.45814521593713003,0.562135019628792,1,0.9308867599921559,40,f64df278da5d,0.529984176158905,0.8315181136131287,0.0,0.11157175065711056,0.0,1,0.2142270539833755,62,c6d9ce80244c,0.5552412867546082,1.2346465587615967,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,0.6036863518604377,167,00c6f12023ab,0.5516211986541748,1.1768664121627808,0.2857142984867096,0.11157175065711056,0.8065963084128944,1,0.6320585749320076,191,a9be4c9c15a1,0.5862690210342407,1.7298798561096191,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,0.8613971895205949,30,c6a87cc5d35e,0.5331843495368958,0.8825960159301758,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.3286992360465032,87.0,bd28ef3a0af3,0.5523472428321838,1.1884547472000122,0.0,0.11157175065711056,0.0,1.0,0.41413168394403166
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.6763184070587158,2.845137357711792,0.5,0.0,1.0,1,1.4500000014901162,30,c6a87cc5d35e,0.5651623606681824,1.7966464757919312,0.20000000298023224,0.0,0.4185432430857448,1,0.7899992640839228,95,7c80e08ee743,0.5859827399253845,1.9930368661880493,0.5,0.0,1.0,1,1.0295577704906465,167,00c6f12023ab,0.5989580750465393,2.1154279708862305,0.0,0.14384099455923594,0.0,1,0.842831710366159,153,8594b6595861,0.5526306629180908,1.6784398555755615,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.6872645131477202,61,dc17b84d2d6b,0.5625934600830078,1.772415041923523,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,0.7772922681081944,15,c5e6a1a8c44d,0.5531548261642456,1.6833840608596802,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.7083353969560761,17,e1dbddbff402,0.5604241490364075,1.7519527673721313,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.7442189577327866,121,66497e9d2189,0.5311858654022217,1.4761595726013184,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.5809745676049078,124.0,3b11edaeeba4,0.4399738609790802,0.6157928705215454,0.0,0.2554127452163465,0.0,1.0,0.02445872547836535
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.7500577569007874,4.15471887588501,0.1818181872367859,0.4054650386637325,0.5410330217665478,1,1.3353997741569306,51,6385c0e2eb2e,0.5819971561431885,1.5522074699401855,0.27272728085517883,0.29389328800662196,1.0,1,0.6460620936820669,81,e9ce432833f3,0.5734484195709229,1.419825553894043,0.1666666716337204,0.29389328800662196,0.6661069603241577,1,0.5094375372442493,84,c6940290ea74,0.5735127925872803,1.4208225011825562,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.32013302577934877,102,f2c8cd5b27ab,0.6348294615745544,2.370344877243042,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.7078947309098222,24,2ae9204d54c8,0.554182767868042,1.1214863061904907,0.0833333358168602,0.4054650386637325,0.20686376715165652,1,0.26752623522651997,62,c6d9ce80244c,0.5205247402191162,0.6002731919288635,0.06666667014360428,0.12565719826743915,0.16216015645362905,1,0.11251485061324437,182,8729852fc4b8,0.5516852736473083,1.0828112363815308,0.0,0.20273252627630822,0.0,1,0.21573502751551094,73,a40c650a049f,0.526411235332489,0.6914288401603699,0.0,0.12565719826743915,0.0,0,0.04425293586529701,195.0,6b483cafcca2,0.5478753447532654,1.0238124132156372,0.0,0.4054650386637325,0.0,1.0,0.17598711529904726
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.7708336114883423,4.234505653381348,0.27272728085517883,0.0,0.99530758268517,1,1.4940468305554442,83,4ffdd533affb,0.558482825756073,0.7514209747314453,0.10000000149011612,0.27980784039629336,0.45208944765912534,1,0.2321159751625143,61,dc17b84d2d6b,0.6019313931465149,1.4640862941741943,0.09090909361839294,0.1682360897391828,0.28498807470557874,1,0.4198057829959943,46,f64f2eefbcb7,0.5785632133483887,1.0807896852493286,0.09090909361839294,0.1682360897391828,0.46928644105215295,1,0.35324958746528656,4,9fc64a999e12,0.6604315638542175,2.423635721206665,0.07692307978868484,0.0,0.2439304707225717,1,0.7307767679624724,145,7809c19536e4,0.5501211285591125,0.6142681837081909,0.27272728085517883,0.0,1.0,1,0.38003194439224897,103,6680fc36f234,0.6837993860244751,2.8069264888763428,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,0.9459438447895777,153,8594b6595861,0.559778094291687,0.7726666331291199,0.09090909361839294,0.1682360897391828,0.33780099145550035,1,0.21585510338508845,63,50171927f859,0.584000825881958,1.1699800491333008,0.0,0.0,0.0,1,0.2608343616127968,12.0,9251af4a3821,0.5501433610916138,0.6146328449249268,0.20000000298023224,0.1682360897391828,0.6606693773587912,1.0,0.2619042916278672
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.6778684854507446,2.734858512878418,0.1666666716337204,0.0,1.0,1,1.5166666716337205,84,c6940290ea74,0.6225110292434692,1.9387681484222412,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.8770171954527648,199,0d99df7b9f80,0.6551826000213623,2.4086148738861084,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.297223303790837,3,33b4e36b0d81,0.6604315638542175,2.4840996265411377,0.07692307978868484,0.0,0.25027679688765847,1,1.175291324517233,198,edb3d68bc36f,0.6142842769622803,1.8204599618911743,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.8137535779968055,27,88a991273442,0.5392690896987915,0.7416737675666809,0.10000000149011612,0.27980784039629336,0.5542711270971936,1,0.30411260426817577,103,6680fc36f234,0.6538858413696289,2.3899662494659424,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,1.1182891383066926,169,2d10ff099811,0.5990363955497742,1.6011817455291748,0.09090909361839294,0.1682360897391828,0.41033208986285585,1,0.7318763663979291,16,6e6ec1a475b8,0.5332921743392944,0.6557203531265259,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.19092525553406792,116.0,1cf7420e0aac,0.5756507515907288,1.2648749351501465,0.0833333358168602,0.07707532800886907,0.4682199018857571,1.0,0.5790308772744706
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7206270694732666,3.4591426849365234,0.125,0.11157175065711056,0.4243632379262217,1,1.3411517933319232,162,957f012e4031,0.567612886428833,1.3916977643966675,0.1666666716337204,0.14384099455923594,1.0,1,0.665098332998901,127,3d77dabe7560,0.7016925811767578,3.203310012817383,0.1428571492433548,0.0,0.46335877870863124,1,1.256417387412028,75,f634ee56b726,0.6629037857055664,2.6792168617248535,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.0395359094716408,147,a2140782858a,0.5283762812614441,0.8615540266036987,0.125,0.11157175065711056,0.4243632379262217,1,0.281779636473479,155,f6d7dbe3f71e,0.509825587272644,0.6109070777893066,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,0.20200143083890748,131,c3b47654a283,0.5139250755310059,0.6662971377372742,0.0,0.0,0.0,1,0.08676229203119874,182,8729852fc4b8,0.5177936553955078,0.7185673117637634,0.0,0.2027325123874243,0.0,0,0.03825989015074674,141,dbc0d59bd942,0.5492585897445679,1.1437045335769653,0.0,0.11157175065711056,0.0,1,0.2744482622428388,189.0,a49d5a99c1d7,0.5407990217208862,1.0294033288955688,0.0,0.0,0.0,1.0,0.23799832090735434
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7239991426467896,3.9873886108398438,0.375,0.09116076173031373,1.0,1,1.4658839238269687,10,365ec2897755,0.4495828151702881,0.7253738045692444,0.10000000149011612,0.09116076173031373,0.3519334053455243,0,0.1482859269873395,204,62b52b411f3a,0.625336766242981,2.8145787715911865,0.25,0.2027325123874243,0.7370548607343586,1,1.0055356422461526,126,ebdb003908ef,0.44451189041137695,0.6650952100753784,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,0.2578044692737236,181,49ccfbfcfc0a,0.4811375141143799,1.1004676818847656,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,0.35215093355972926,59,da6e8742f6bf,0.6038452386856079,2.5591068267822266,0.25,0.2027325123874243,0.6211695670957962,1,0.8846606543590516,214,fc824bfe7bf0,0.465395987033844,0.9133465886116028,0.10000000149011612,0.09116076173031373,0.4049996907988265,1,0.2792167896009765,208,c1c0caaa937b,0.4714861512184143,0.9857410192489624,0.1111111119389534,0.2027325123874243,0.29483898213239673,1,0.2597820566732859,187,02b0fa193387,0.4658272862434387,0.918473482131958,0.10000000149011612,0.09116076173031373,0.27002580046778907,1,0.24049777313941118,182.0,8729852fc4b8,0.4912744462490082,1.2209664583206177,0.0,0.0,0.0,0.0,0.22700772434473038
7,bfcc3cdee21d,devise research or testing protocols,204,62b52b411f3a,0.4640192985534668,2.368593692779541,0.1428571492433548,0.0,1.0,1,1.5214285761117936,56,269bfa3db5c6,0.40907013416290283,1.3170874118804932,0.0,0.11157175065711056,0.0,0,0.4808017336709947,126,ebdb003908ef,0.4135398268699646,1.4026193618774414,0.125,0.11157175065711056,0.9158415841584159,1,0.8516989030084091,209,2ac9980eb5e6,0.45758169889450073,2.245404005050659,0.1111111119389534,0.2027325123874243,0.8447488584474885,1,1.3795143994166512,9,3cdbc3929112,0.46132951974868774,2.317122220993042,0.0,0.0,0.0,0,1.1653411388397217,195,6b483cafcca2,0.44983893632888794,2.097238540649414,0.0,0.0,0.0,0,1.01728056371212,183,ff9c96c6d776,0.40505486726760864,1.2402513027191162,0.1111111119389534,0.2027325123874243,0.8447488584474885,0,0.6652198063804764,206,c32f9f13a109,0.40470898151397705,1.2336324453353882,0.125,0.11157175065711056,0.9158415841584159,0,0.6902806557855087,141,dbc0d59bd942,0.41274020075798035,1.3873177766799927,0.125,0.11157175065711056,0.9158415841584159,0,0.7916100569209533,150.0,3ffc9e8eaffb,0.40260934829711914,1.1934539079666138,0.0,0.0,0.0,0.0,0.40870918333530426
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,94,832ecabbf00a,0.7074658274650574,2.762479305267334,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2848051731658225,148,253c9a1feb09,0.6691981554031372,2.31408953666687,0.0714285746216774,0.34657354027998,0.3971492778525809,1,1.0812501103351617,72,91e3b64a6f04,0.6552735567092896,2.1509320735931396,0.0625,0.1783374505407972,0.3399328564670396,1,0.9952555027408677,9,3cdbc3929112,0.5497860312461853,0.9149138331413269,0.27272728085517883,0.45814529093709055,1.0,1,0.4984840176675653,174,003763627ff4,0.5872422456741333,1.3537957668304443,0.06666667014360428,0.25541277854966626,0.20334964494839133,1,0.5208253362511366,176,62eda05f366c,0.6372445821762085,1.9396830797195435,0.07692307978868484,0.45814529093709055,0.43364407635795327,1,0.8808238446897222,92,3f67b920ee49,0.5656169652938843,1.1004080772399902,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,0.41535850152330056,175,825fff3275ff,0.6960302591323853,2.6284866333007812,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2133990471434837,81,e9ce432833f3,0.532059907913208,0.707213282585144,0.0714285746216774,0.34657354027998,0.22046322892919656,1,0.17192350657430777,182.0,8729852fc4b8,0.5924416780471802,1.414718508720398,0.1428571492433548,0.25541277854966626,0.5597556222932607,1.0,0.6542318126106109
9,3cdbc3929112,develop technical methods or processes,182,8729852fc4b8,0.7597647905349731,3.300492763519287,0.25,0.2027325123874243,0.7866528934658932,1,1.41572262276149,84,c6940290ea74,0.72221440076828,2.798091173171997,0.2857142984867096,0.11157175065711056,0.7049130840815638,1,1.1876378095645617,48,23ca56c5d573,0.745762825012207,3.113154888153076,0.3333333432674408,0.0,1.0,1,1.407330720126629,204,62b52b411f3a,0.5629026889801025,0.6665967106819153,0.3333333432674408,0.0,1.0,1,0.41476691598072646,49,824d3015533f,0.6725541353225708,2.133666753768921,0.2857142984867096,0.11157175065711056,0.8455154575758858,1,0.9579977007448431,10,365ec2897755,0.5861016511917114,0.9769847989082336,0.125,0.11157175065711056,0.3054063441187035,1,0.32816617674456217,2,771b010da2fa,0.603948175907135,1.2157604694366455,0.0833333358168602,0.4054650386637325,0.0,1,0.30970165336662653,195,6b483cafcca2,0.5878725647926331,1.000678539276123,0.1428571492433548,0.0,0.3678572414997988,1,0.36739331934403696,103,6680fc36f234,0.5981130599975586,1.1376901865005493,0.125,0.11157175065711056,0.12597045872246856,1,0.3419302541109641,185.0,7b03e0901b8c,0.591796338558197,1.0531762838363647,0.125,0.11157175065711056,0.26657283221679046,1.0,0.3485632775558595
