q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,40,f64df278da5d,0.586201548576355,3.9992516040802,0.0,0.11157175065711056,0.0,0,1.0,191,a9be4c9c15a1,0.3909868896007538,0.9233592748641968,0.1818181872367859,0.23500177712287373,0.5898036247287963,0,0.42069652676582336,100,6002eddcd7d0,0.3565593361854553,0.38090288639068604,0.125,0.11157175065711056,0.31816080182986706,0,0.3185320794582367,167,00c6f12023ab,0.34889110922813416,0.2600787580013275,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,0.29577645659446716,107,750257b28f11,0.3833119571208954,0.8024294972419739,0.0,0.11157175065711056,0.0,0,0.39792102575302124,3,33b4e36b0d81,0.4120952785015106,1.2559528350830078,0.20000000298023224,0.1682360897391828,0.6090768487392924,0,0.48333609104156494,43,61355ce7e829,0.35533249378204346,0.36157217621803284,0.1428571492433548,0.2554127452163465,0.5052523093092118,0,0.31489139795303345,30,c6a87cc5d35e,0.3834959864616394,0.8053291440010071,0.1428571492433548,0.2554127452163465,0.35035564487217496,0,0.39846712350845337,39,202cbfb3aef7,0.37997764348983765,0.74989253282547,0.0,0.2554127452163465,0.0,0,0.3880263864994049,103,6680fc36f234,0.37689730525016785,0.7013573050498962,0.1111111119389534,0.0,0.42020984140568113,0,0.378885418176651
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.7685825824737549,3.8570785522460938,0.5,0.0,1.0,0,1.0,9,3cdbc3929112,0.37719228863716125,0.2660749554634094,0.0,0.14384099455923594,0.0,0,0.26839306950569153,149,c9b79bbec6f3,0.3618353009223938,0.12517468631267548,0.0,0.14384099455923594,0.0,0,0.2396869957447052,44,2d4009710863,0.4472803473472595,0.9091324806213379,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.39940527081489563,124,3b11edaeeba4,0.39517742395401,0.4310884475708008,0.0,0.2554127452163465,0.0,0,0.3020118176937103,27,88a991273442,0.4409124553203583,0.8507071137428284,0.0,0.14384099455923594,0.0,0,0.3875020742416382,15,c5e6a1a8c44d,0.4662623107433319,1.0832918882369995,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.4348873496055603,17,e1dbddbff402,0.3968084454536438,0.44605305790901184,0.1666666716337204,0.14384099455923594,0.38008251264002774,0,0.30506059527397156,68,7a9450b42a26,0.45135992765426636,0.9465625882148743,0.0,0.14384099455923594,0.0,0,0.40703102946281433,56,269bfa3db5c6,0.37640488147735596,0.25885048508644104,0.0,0.2554127452163465,0.0,0,0.26692119240760803
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6047323346138,3.626011610031128,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,1.0,71,1cb040da80f9,0.4164853096008301,1.0859707593917847,0.0,0.12565719826743915,0.0,0,0.464386910200119,55,4805101e52c6,0.38283291459083557,0.6318947076797485,0.07692307978868484,0.29389328800662196,0.34345305712870267,0,0.3686368763446808,73,a40c650a049f,0.34717822074890137,0.15080145001411438,0.0,0.12565719826743915,0.0,0,0.26718974113464355,198,edb3d68bc36f,0.46330326795578003,1.7176913022994995,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.5975965261459351,51,6385c0e2eb2e,0.5117775201797485,2.371760606765747,0.27272728085517883,0.29389328800662196,1.0,0,0.7355186939239502,192,8562bf3caec4,0.3626868426799774,0.3600612282752991,0.07692307978868484,0.29389328800662196,0.18585554800777296,0,0.3113159239292145,154,17f9d29c543d,0.3539779782295227,0.24255143105983734,0.06666667014360428,0.12565719826743915,0.15907974871851754,0,0.2865368723869324,89,b03b706832f2,0.43559500575065613,1.3438202142715454,0.0,0.20273252627630822,0.0,0,0.5187591314315796,102,f2c8cd5b27ab,0.49541983008384705,2.1510441303253174,0.07692307978868484,0.29389328800662196,0.2803772187470784,0,0.6889767050743103
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.6070749759674072,2.6783602237701416,0.27272728085517883,0.0,0.99530758268517,0,1.0,186,4c7ceb754866,0.49508553743362427,1.0494885444641113,0.20000000298023224,0.1682360897391828,0.6227890661610791,0,0.5907750129699707,15,c5e6a1a8c44d,0.5739929676055908,2.1971867084503174,0.2222222238779068,0.27980784039629336,0.8812522236029512,0,0.8791137337684631,78,98d9410b9c2c,0.46471256017684937,0.6077175140380859,0.10000000149011612,0.27980784039629336,0.41020336830242654,0,0.4797879159450531,145,7809c19536e4,0.5736575722694397,2.1923084259033203,0.27272728085517883,0.0,1.0,0,0.8778881430625916,153,8594b6595861,0.477348268032074,0.7915022373199463,0.09090909361839294,0.1682360897391828,0.33780099145550035,0,0.5259605646133423,10,365ec2897755,0.491601824760437,0.9988183379173279,0.09090909361839294,0.1682360897391828,0.41404231592543655,0,0.5780450701713562,198,edb3d68bc36f,0.4656708240509033,0.6216553449630737,0.09090909361839294,0.1682360897391828,0.28498807470557874,0,0.48328956961631775,46,f64f2eefbcb7,0.5053256750106812,1.1984299421310425,0.09090909361839294,0.1682360897391828,0.46928644105215295,0,0.6281939148902893,103,6680fc36f234,0.4655452370643616,0.6198287010192871,0.20000000298023224,0.1682360897391828,0.6606693773587912,0,0.48283064365386963
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.5567910075187683,3.576502799987793,0.1666666716337204,0.0,1.0,0,1.0,84,c6940290ea74,0.33780962228775024,0.25770872831344604,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.3132424056529999,27,88a991273442,0.3617009222507477,0.6197956800460815,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.3881690204143524,17,e1dbddbff402,0.36225077509880066,0.6281290054321289,0.0,0.27980784039629336,0.0,0,0.38989344239234924,103,6680fc36f234,0.3558805286884308,0.5315841436386108,0.09090909361839294,0.1682360897391828,0.29240259438360094,0,0.3699153959751129,183,ff9c96c6d776,0.3414032459259033,0.3121722340583801,0.0833333358168602,0.07707532800886907,0.26970467609811594,0,0.3245125412940979,168,ab35d13698b5,0.4067714214324951,1.3028661012649536,0.0,0.07707532800886907,0.0,0,0.5295166969299316,3,33b4e36b0d81,0.38369154930114746,0.9530767798423767,0.07692307978868484,0.0,0.25027679688765847,0,0.45713481307029724,154,17f9d29c543d,0.4665997624397278,2.2096004486083984,0.1666666716337204,0.0,0.6014932466855267,0,0.7171471118927002,113,322cdff981bb,0.4021112620830536,1.232238531112671,0.0833333358168602,0.07707532800886907,0.3784798271794378,0,0.5149017572402954
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7175503969192505,3.2562332153320312,0.125,0.11157175065711056,0.4243632379262217,0,1.0,193,adb21e5e1a03,0.45415475964546204,0.5464182496070862,0.0,0.11157175065711056,0.0,0,0.4106898307800293,133,70f88532846f,0.4392339587211609,0.39291301369667053,0.0,0.2027325123874243,0.0,0,0.37730666995048523,147,a2140782858a,0.4149330258369446,0.14290493726730347,0.125,0.11157175065711056,0.4243632379262217,0,0.3229367733001709,84,c6940290ea74,0.4172431230545044,0.16667123138904572,0.0,0.11157175065711056,0.0,0,0.32810530066490173,83,4ffdd533affb,0.4800153374671936,0.8124719262123108,0.0,0.0,0.0,0,0.4685491621494293,75,f634ee56b726,0.5763775110244751,1.8038462400436401,0.1666666716337204,0.14384099455923594,0.5102462741731951,0,0.6841458082199097,73,a40c650a049f,0.5121767520904541,1.1433486938476562,0.0,0.27980784039629336,0.0,0,0.5405057668685913,63,50171927f859,0.48596662282943726,0.8736987709999084,0.10000000149011612,0.27980784039629336,0.36322616127583385,0,0.481864333152771,189,a49d5a99c1d7,0.47267037630081177,0.7369069457054138,0.0,0.0,0.0,0,0.45211586356163025
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7765964269638062,4.208022594451904,0.375,0.09116076173031373,1.0,0,1.0,126,ebdb003908ef,0.4616272449493408,0.7557069659233093,0.2222222238779068,0.09116076173031373,0.6219592058133134,0,0.35604140162467957,210,39fb30c0c188,0.4154530465602875,0.2496005743741989,0.0,0.0,0.0,0,0.2616376280784607,157,018f6a0e7f9a,0.42932799458503723,0.40168118476867676,0.1538461595773697,0.20273252627630822,0.4653176280529234,0,0.2900051474571228,207,7663c229a426,0.4640745222568512,0.7825310826301575,0.125,0.3465735069466602,0.4869639139366842,0,0.36104488372802734,189,a49d5a99c1d7,0.41580796241760254,0.25349074602127075,0.0,0.2027325123874243,0.0,0,0.2623632550239563,9,3cdbc3929112,0.45357757806777954,0.6674761176109314,0.1111111119389534,0.2027325123874243,0.3263305849633995,0,0.33958375453948975,218,2f93e8f923e8,0.47584444284439087,0.9115388989448547,0.0,0.09116076173031373,0.0,0,0.3851086497306824,192,8562bf3caec4,0.4262157678604126,0.3675686717033386,0.0,0.09116076173031373,0.0,0,0.2836421728134155,7,bfcc3cdee21d,0.47124502062797546,0.8611255288124084,0.1111111119389534,0.2027325123874243,0.29483898213239673,0,0.3757050633430481
7,bfcc3cdee21d,devise research or testing protocols,220,7cd42be784e2,0.6245636343955994,2.57499623298645,0.0,0.11157175065711056,0.0,0,1.0,6,75e527217c38,0.47124502062797546,0.4926348030567169,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.4551580250263214,211,c7ea79acedc2,0.46320822834968567,0.3834797143936157,0.0,0.11157175065711056,0.0,0,0.4265980124473572,205,45b6fa08d56b,0.5282946825027466,1.2674788236618042,0.1666666716337204,0.14384099455923594,0.8016645111345602,0,0.6578930020332336,209,2ac9980eb5e6,0.479234516620636,0.6011475324630737,0.1111111119389534,0.2027325123874243,0.6149755153908953,0,0.48354995250701904,165,72ea80489538,0.4625803530216217,0.37495195865631104,0.0,0.0,0.0,0,0.4243667423725128,29,ef7349785e11,0.47380733489990234,0.5274359583854675,0.0,0.0,0.0,0,0.46426358819007874,173,49c0d2367c5d,0.5180368423461914,1.128157615661621,0.125,0.11157175065711056,0.666730880547555,0,0.6214401721954346,213,f1b4c19341de,0.46402639150619507,0.39459195733070374,0.1111111119389534,0.2027325123874243,0.9223744292237441,0,0.42950546741485596,158,16ac0e74dbe1,0.5597026944160461,1.69405996799469,0.0,0.0,0.0,0,0.7695063948631287
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,9,3cdbc3929112,0.5453643202781677,2.870131731033325,0.27272728085517883,0.45814529093709055,1.0,0,1.0,139,80c1c070d6f0,0.4228295683860779,1.0871496200561523,0.0714285746216774,0.34657354027998,0.3384517146224187,0,0.5657417178153992,72,91e3b64a6f04,0.4133627116680145,0.9493990540504456,0.0625,0.1783374505407972,0.3399328564670396,0,0.5321915149688721,44,2d4009710863,0.399478942155838,0.7473787665367126,0.0714285746216774,0.34657354027998,0.22046322892919656,0,0.48298802971839905,73,a40c650a049f,0.3836953639984131,0.5177146196365356,0.0625,0.1783374505407972,0.3583795484870567,0,0.4270516335964203,170,57e3b12b8497,0.38304567337036133,0.5082610845565796,0.0714285746216774,0.34657354027998,0.2791607921593588,0,0.4247491657733917,94,832ecabbf00a,0.515148401260376,2.43046498298645,0.0714285746216774,0.34657354027998,0.2791607921593588,0,0.8929159641265869,215,79b70e0eb0dc,0.3890910744667053,0.596226692199707,0.0,0.25541277854966626,0.0,0,0.4461738169193268,11,810124c49b5c,0.38196176290512085,0.4924893081188202,0.07692307978868484,0.34657354027998,0.22046322892919656,0,0.4209078252315521,148,253c9a1feb09,0.39764177799224854,0.7206465005874634,0.0714285746216774,0.34657354027998,0.3971492778525809,0,0.47647717595100403
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7689198851585388,3.685126781463623,0.3333333432674408,0.0,1.0,0,1.0,184,389dd43f303d,0.48382461071014404,0.45200520753860474,0.1428571492433548,0.0,0.3974213994566635,0,0.3351457715034485,98,207462e43a8e,0.5387361645698547,1.0747294425964355,0.10000000149011612,0.27980784039629336,0.3115379614384862,0,0.4632018208503723,59,da6e8742f6bf,0.4910391569137573,0.533821702003479,0.1428571492433548,0.0,0.5091386755288673,0,0.351970374584198,57,c1933354ef21,0.46298104524612427,0.21562886238098145,0.1666666716337204,0.14384099455923594,0.5946365814043407,0,0.28653767704963684,10,365ec2897755,0.5647495985031128,1.3697346448898315,0.125,0.11157175065711056,0.4945492360194517,0,0.5238662362098694,195,6b483cafcca2,0.6156210899353027,1.946642518043518,0.1428571492433548,0.0,0.5399943009509689,0,0.6425006985664368,8,04d0abdf0b41,0.5453643202781677,1.1498959064483643,0.27272728085517883,0.45814529093709055,0.9727897385813257,0,0.4786589741706848,198,edb3d68bc36f,0.6258712410926819,2.0628843307495117,0.125,0.11157175065711056,0.3639750440568452,0,0.6664044857025146,185,7b03e0901b8c,0.5163398385047913,0.820743978023529,0.125,0.11157175065711056,0.4662903711526754,0,0.4109726548194885
